date,owner,station,time,artist,title,ensemble,gender,race,city,b2b_gender,b2b_combinedGender,b2b_lgbtq,b2b_raceGender
1/7/22,Audacy/Entercom,WDAF-FM,12:00:00 AM,"MOON, NIKO",Good Time,solo,men,white,KansasCity,X,X,X,X
1/7/22,Audacy/Entercom,WDAF-FM,12:04:00 AM,"HUNT, SAM",Breaking Up Was Easy In The...,solo,men,white,KansasCity,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Audacy/Entercom,WDAF-FM,12:07:00 AM,"OWEN, JAKE",Made For You,solo,men,white,KansasCity,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Audacy/Entercom,WDAF-FM,12:14:00 AM,"DICKERSON, RUSSELL",Every Little Thing,solo,men,white,KansasCity,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Audacy/Entercom,WDAF-FM,12:17:00 AM,DAN + SHAY,I Should Probably Go To Bed,duo,men,multiethnic,KansasCity,B2Bmen,B2BCombMen,B2BStraight,X
1/7/22,Audacy/Entercom,WDAF-FM,12:20:00 AM,"MCCOLLUM, PARKER",To Be Loved By You,solo,men,white,KansasCity,B2Bmen,B2BCombMen,B2BStraight,X
1/7/22,Audacy/Entercom,WDAF-FM,12:23:00 AM,"COMBS, LUKE",Cold As You,solo,men,white,KansasCity,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Audacy/Entercom,WDAF-FM,12:26:00 AM,"RODGERS, JAMESON",Missing One,solo,men,white,KansasCity,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Audacy/Entercom,WDAF-FM,12:29:00 AM,"LYNCH, DUSTIN/PORTER, MACKENZIE",Thinking 'Bout You,collab,male-female,white,KansasCity,X,X,B2BStraight,X
1/7/22,Audacy/Entercom,WDAF-FM,12:32:00 AM,ZAC BROWN BAND,Colder Weather,group,men,white,KansasCity,X,X,B2BStraight,X
1/7/22,Audacy/Entercom,WDAF-FM,12:36:00 AM,ELI YOUNG BAND,Love Ain't,group,men,white,KansasCity,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Audacy/Entercom,WDAF-FM,12:39:00 AM,"SHELTON, BLAKE/STEFANI, GWEN",Happy Anywhere,collab,male-female,white,KansasCity,X,X,B2BStraight,X
1/7/22,Audacy/Entercom,WDAF-FM,12:42:00 AM,"KING, ELLE/LAMBERT, MIRANDA",Drunk (And I Don't Wanna Go..),collab,women,white,KansasCity,X,B2BCombWomen,B2BStraight,X
1/7/22,Audacy/Entercom,WDAF-FM,12:46:00 AM,"BRICE, LEE",Memory I Don't Mess With,solo,men,white,KansasCity,X,X,B2BStraight,X
1/7/22,Audacy/Entercom,WDAF-FM,12:49:00 AM,OLD DOMINION,One Man Band,group,men,white,KansasCity,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Audacy/Entercom,WDAF-FM,12:52:00 AM,"CLARK, CALLISTA",It's 'Cause I Am,solo,women,white,KansasCity,X,X,B2BStraight,X
1/7/22,Audacy/Entercom,WDAF-FM,12:54:00 AM,"RHETT, THOMAS",Look What God Gave Her,solo,men,white,KansasCity,X,X,B2BStraight,X
1/7/22,Audacy/Entercom,WDAF-FM,12:57:00 AM,"MORRIS, MAREN",Circles Around This Town,solo,women,white,KansasCity,X,X,B2BStraight,X
1/7/22,Audacy/Entercom,WDAF-FM,1:01:00 AM,"MCCREERY, SCOTTY",You Time,solo,men,white,KansasCity,X,X,B2BStraight,X
1/7/22,Audacy/Entercom,WDAF-FM,1:04:00 AM,"BENTLEY, DIERKS",Gone,solo,men,white,KansasCity,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Audacy/Entercom,WDAF-FM,1:07:00 AM,"WALLEN, MORGAN",Whiskey Glasses,solo,men,white,KansasCity,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Audacy/Entercom,WDAF-FM,1:11:00 AM,"CHURCH, ERIC",Heart On Fire,solo,men,white,KansasCity,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Audacy/Entercom,WDAF-FM,1:17:00 AM,"LANE, CHRIS",I Don't Know About You,solo,men,white,KansasCity,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
