date,owner,station,time,artist,title,ensemble,gender,race,city,b2b_gender,b2b_combinedGender,b2b_lgbtq,b2b_raceGender
1/7/22,Hubbard,WUBE-FM,12:43:00 AM,"DICKERSON, RUSSELL",Home Sweet,solo,men,white,Cincinnati,X,X,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,12:46:00 AM,"LYNCH, DUSTIN",Small Town Boy,solo,men,white,Cincinnati,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Hubbard,WUBE-FM,12:50:00 AM,"STAPLETON, CHRIS",You Should Probably Leave,solo,men,white,Cincinnati,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Hubbard,WUBE-FM,12:53:00 AM,"BENTLEY, DIERKS/BRELAND/HARDY",Beers On Me,collab,men,multiethnic,Cincinnati,B2Bmen,B2BCombMen,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,1:01:00 AM,"ALDEAN, JASON",Blame It On You,solo,men,white,Cincinnati,B2Bmen,B2BCombMen,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,1:05:00 AM,"BRYAN, LUKE",Up,solo,men,white,Cincinnati,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Hubbard,WUBE-FM,1:08:00 AM,"UNDERWOOD, CARRIE",Before He Cheats,solo,women,white,Cincinnati,X,X,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,1:11:00 AM,"MCCOLLUM, PARKER",To Be Loved By You,solo,men,white,Cincinnati,X,X,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,1:14:00 AM,DAN + SHAY,Steal My Love,duo,men,multiethnic,Cincinnati,B2Bmen,B2BCombMen,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,1:17:00 AM,"RAY, MICHAEL",Whiskey And Rain,solo,men,white,Cincinnati,B2Bmen,B2BCombMen,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,1:21:00 AM,OLD DOMINION,One Man Band,group,men,white,Cincinnati,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Hubbard,WUBE-FM,1:24:00 AM,"LAMBERT, MIRANDA",If I Was A Cowboy,solo,women,white,Cincinnati,X,X,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,1:31:00 AM,"RICE, CHASE/FLORIDA GEORGIA LINE",Drinkin' Beer Talkin' God Amen,collab,men,white,Cincinnati,X,X,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,1:34:00 AM,"ALLEN, JIMMIE/PAISLEY, BRAD",Freedom Was A Highway,collab,men,multiethnic,Cincinnati,B2Bmen,B2BCombMen,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,1:38:00 AM,"ALDEAN, JASON",Dirt Road Anthem,solo,men,white,Cincinnati,B2Bmen,B2BCombMen,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,1:42:00 AM,"ALAINA, LAUREN/PARDI, JON",Getting Over Him,collab,male-female,white,Cincinnati,X,X,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,1:44:00 AM,"HOUSER, RANDY",How Country Feels,solo,men,white,Cincinnati,X,X,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,1:48:00 AM,ADELE,Easy On Me,solo,women,white,Cincinnati,X,X,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,1:52:00 AM,"RAY, FRANK",Country'd Look Good On You,solo,men,hispanic,Cincinnati,X,X,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,1:59:00 AM,"COMBS, LUKE",Lovin' On You,solo,men,white,Cincinnati,B2Bmen,B2BCombMen,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,2:03:00 AM,"PARDI, JON",Tequila Little Time,solo,men,white,Cincinnati,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Hubbard,WUBE-FM,2:06:00 AM,"OWEN, JAKE",Barefoot Blue Jean Night,solo,men,white,Cincinnati,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Hubbard,WUBE-FM,2:09:00 AM,"ALDEAN, JASON/UNDERWOOD, CARRIE",If I Didn't Love You,collab,male-female,white,Cincinnati,X,X,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,2:13:00 AM,"KING, ELLE/LAMBERT, MIRANDA",Drunk (And I Don't Wanna Go..),collab,women,white,Cincinnati,X,B2BCombWomen,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,2:16:00 AM,"BRYAN, LUKE",Waves,solo,men,white,Cincinnati,X,X,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,2:20:00 AM,"JOHNSON, CODY",Til You Can't,solo,men,white,Cincinnati,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Hubbard,WUBE-FM,2:29:00 AM,"STELL, MATT",Prayed For You,solo,men,white,Cincinnati,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Hubbard,WUBE-FM,2:32:00 AM,"SWINDELL, COLE/WILSON, LAINEY",Never Say Never,collab,male-female,white,Cincinnati,X,X,B2BStraight,X
1/7/22,Hubbard,WUBE-FM,2:35:00 AM,"JANSON, CHRIS",Fix A Drink,solo,men,white,Cincinnati,X,X,B2BStraight,X
