date,owner,station,time,artist,title,ensemble,gender,race,city,b2b_gender,b2b_combinedGender,b2b_lgbtq,b2b_raceGender
1/7/22,Cox,KCYY-FM,12:00:00 AM,"BRYAN, LUKE",Play It Again,solo,men,white,SanAntonio,X,X,X,X
1/7/22,Cox,KCYY-FM,12:01:00 AM,FLORIDA GEORGIA LINE,This Is How We Roll,duo,men,white,SanAntonio,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Cox,KCYY-FM,12:04:00 AM,"PARDI, JON",Tequila Little Time,solo,men,white,SanAntonio,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Cox,KCYY-FM,12:07:00 AM,BROTHERS OSBORNE,I'm Not For Everyone,duo,men,white,SanAntonio,B2Bmen,B2BCombMen,X,B2BwhiteMen
1/7/22,Cox,KCYY-FM,12:12:00 AM,"BARRETT, GABBY",The Good Ones,solo,women,white,SanAntonio,X,X,X,X
1/7/22,Cox,KCYY-FM,12:16:00 AM,"LAMBERT, MIRANDA",If I Was A Cowboy,solo,women,white,SanAntonio,B2Bwomen,B2BCombWomen,B2BStraight,B2BwhiteWomen
1/7/22,Cox,KCYY-FM,12:19:00 AM,FLORIDA GEORGIA LINE,Round Here,duo,men,white,SanAntonio,X,X,B2BStraight,X
1/7/22,Cox,KCYY-FM,12:22:00 AM,"BALLERINI, KELSEA/CHESNEY, KENNY",Half Of My Hometown,collab,male-female,white,SanAntonio,X,X,B2BStraight,X
1/7/22,Cox,KCYY-FM,12:26:00 AM,DAN + SHAY,Steal My Love,duo,men,multiethnic,SanAntonio,X,X,B2BStraight,X
1/7/22,Cox,KCYY-FM,12:29:00 AM,"LYNCH, DUSTIN",Small Town Boy,solo,men,white,SanAntonio,B2Bmen,B2BCombMen,B2BStraight,X
1/7/22,Cox,KCYY-FM,12:32:00 AM,"COMBS, LUKE",Cold As You,solo,men,white,SanAntonio,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Cox,KCYY-FM,12:35:00 AM,"MCCOLLUM, PARKER",To Be Loved By You,solo,men,white,SanAntonio,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Cox,KCYY-FM,12:38:00 AM,"ALLEN, JIMMIE/PAISLEY, BRAD",Freedom Was A Highway,collab,men,multiethnic,SanAntonio,B2Bmen,B2BCombMen,B2BStraight,X
1/7/22,Cox,KCYY-FM,12:43:00 AM,"BROOKS, GARTH",Papa Loved Mama,solo,men,white,SanAntonio,B2Bmen,B2BCombMen,B2BStraight,X
1/7/22,Cox,KCYY-FM,12:46:00 AM,"PEARCE, CARLY/MCBRYDE, ASHLEY",Never Wanted To Be That Girl,collab,women,white,SanAntonio,X,X,B2BStraight,X
1/7/22,Cox,KCYY-FM,12:50:00 AM,"ALAINA, LAUREN/PARDI, JON",Getting Over Him,collab,male-female,white,SanAntonio,X,B2BCombWomen,B2BStraight,X
1/7/22,Cox,KCYY-FM,12:52:00 AM,"ROGERS, RANDY BAND",Picture Frames,group,men,white,SanAntonio,X,X,B2BStraight,X
