date,owner,station,time,artist,title,ensemble,gender,race,city,b2b_gender,b2b_combinedGender,b2b_lgbtq,b2b_raceGender
1/7/22,iHeartMedia,WCOL-FM,12:01:00 AM,"JONES, GEORGE",Finally Friday,solo,men,white,Columbus,X,X,X,X
1/7/22,iHeartMedia,WCOL-FM,12:03:00 AM,"LYNCH, DUSTIN/PORTER, MACKENZIE",Thinking 'Bout You,collab,male-female,white,Columbus,X,X,B2BStraight,X
1/7/22,iHeartMedia,WCOL-FM,12:06:00 AM,"COMBS, LUKE",Cold As You,solo,men,white,Columbus,X,X,B2BStraight,X
1/7/22,iHeartMedia,WCOL-FM,12:08:00 AM,"PARMALEE/BROWN, BLANCO",Just The Way,collab,men,multiethnic,Columbus,B2Bmen,B2BCombMen,B2BStraight,X
1/7/22,iHeartMedia,WCOL-FM,12:12:00 AM,"MORRIS, MAREN",Circles Around This Town,solo,women,white,Columbus,X,X,B2BStraight,X
1/7/22,iHeartMedia,WCOL-FM,12:20:00 AM,"PARDI, JON",Tequila Little Time,solo,men,white,Columbus,X,X,B2BStraight,X
1/7/22,iHeartMedia,WCOL-FM,12:24:00 AM,"SHELTON, BLAKE",Come Back As A Country Boy,solo,men,white,Columbus,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,iHeartMedia,WCOL-FM,12:27:00 AM,LADY ANTEBELLUM,Bartender,trio,male-female,white,Columbus,X,X,B2BStraight,X
1/7/22,iHeartMedia,WCOL-FM,12:30:00 AM,"CHURCH, ERIC",Heart On Fire,solo,men,white,Columbus,X,X,B2BStraight,X
1/7/22,iHeartMedia,WCOL-FM,12:34:00 AM,"RHETT, THOMAS",T-Shirt,solo,men,white,Columbus,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,iHeartMedia,WCOL-FM,12:37:00 AM,"DAVIS, JORDAN/BRYAN, LUKE",Buy Dirt,collab,men,white,Columbus,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,iHeartMedia,WCOL-FM,12:40:00 AM,"RODGERS, JAMESON",Some Girls,solo,men,white,Columbus,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,iHeartMedia,WCOL-FM,12:50:00 AM,"RICE, CHASE",If I Were Rock & Roll,solo,men,white,Columbus,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,iHeartMedia,WCOL-FM,12:54:00 AM,"CLARK, CALLISTA",It's 'Cause I Am,solo,women,white,Columbus,X,X,B2BStraight,X
1/7/22,iHeartMedia,WCOL-FM,12:56:00 AM,"CURRINGTON, BILLY",Do I Make You Wanna,solo,men,white,Columbus,X,X,B2BStraight,X
1/7/22,iHeartMedia,WCOL-FM,1:01:00 AM,"COMBS, LUKE",Lovin' On You,solo,men,white,Columbus,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,iHeartMedia,WCOL-FM,1:04:00 AM,"KING, ELLE/LAMBERT, MIRANDA",Drunk (And I Don't Wanna Go..),collab,women,white,Columbus,X,X,B2BStraight,X
1/7/22,iHeartMedia,WCOL-FM,1:07:00 AM,"ALDEAN, JASON",Tonight Looks Good On You,solo,men,white,Columbus,X,X,B2BStraight,X
1/7/22,iHeartMedia,WCOL-FM,1:11:00 AM,"SWINDELL, COLE/WILSON, LAINEY",Never Say Never,collab,male-female,white,Columbus,X,X,B2BStraight,X
1/7/22,iHeartMedia,WCOL-FM,1:20:00 AM,"CARMICHAEL, DILLON",Son Of A,solo,men,white,Columbus,X,X,B2BStraight,X
1/7/22,iHeartMedia,WCOL-FM,1:24:00 AM,"BROWN, KANE",One Mississippi,solo,men,multiethnic,Columbus,B2Bmen,B2BCombMen,B2BStraight,X
1/7/22,iHeartMedia,WCOL-FM,1:26:00 AM,"BRYAN, LUKE",One Margarita,solo,men,white,Columbus,B2Bmen,B2BCombMen,B2BStraight,X
1/7/22,iHeartMedia,WCOL-FM,1:29:00 AM,"STAPLETON, CHRIS",You Should Probably Leave,solo,men,white,Columbus,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,iHeartMedia,WCOL-FM,1:33:00 AM,OLD DOMINION,Make It Sweet,group,men,white,Columbus,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,iHeartMedia,WCOL-FM,1:35:00 AM,"HUNT, SAM",23,solo,men,white,Columbus,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,iHeartMedia,WCOL-FM,1:38:00 AM,"OWEN, JAKE",The One That Got Away,solo,men,white,Columbus,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,iHeartMedia,WCOL-FM,1:46:00 AM,"SWINDELL, COLE/WILSON, LAINEY",Never Say Never,collab,male-female,white,Columbus,X,X,B2BStraight,X
1/7/22,iHeartMedia,WCOL-FM,1:50:00 AM,"ALLEN, JIMMIE/PAISLEY, BRAD",Freedom Was A Highway,collab,men,multiethnic,Columbus,X,X,B2BStraight,X
1/7/22,iHeartMedia,WCOL-FM,1:53:00 AM,"ALDEAN, JASON",Lights Come On,solo,men,white,Columbus,B2Bmen,B2BCombMen,B2BStraight,X
1/7/22,iHeartMedia,WCOL-FM,1:56:00 AM,"JANSON, CHRIS",Fix A Drink,solo,men,white,Columbus,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,iHeartMedia,WCOL-FM,2:00:00 AM,"HAYES, WALKER",Fancy Like,solo,men,white,Columbus,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,iHeartMedia,WCOL-FM,2:02:00 AM,"LAMBERT, MIRANDA",If I Was A Cowboy,solo,women,white,Columbus,X,X,B2BStraight,X
1/7/22,iHeartMedia,WCOL-FM,2:06:00 AM,"MCCREERY, SCOTTY",See You Tonight,solo,men,white,Columbus,X,X,B2BStraight,X
1/7/22,iHeartMedia,WCOL-FM,2:09:00 AM,"WALLEN, MORGAN",Sand In My Boots,solo,men,white,Columbus,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,iHeartMedia,WCOL-FM,2:18:00 AM,"TENPENNY, MITCHELL",Truth About You,solo,men,white,Columbus,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,iHeartMedia,WCOL-FM,2:21:00 AM,"BRICE, LEE",Memory I Don't Mess With,solo,men,white,Columbus,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,iHeartMedia,WCOL-FM,2:24:00 AM,"PARDI, JON",Tequila Little Time,solo,men,white,Columbus,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,iHeartMedia,WCOL-FM,2:27:00 AM,"BRYAN, LUKE",That's My Kind Of Night,solo,men,white,Columbus,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,iHeartMedia,WCOL-FM,2:30:00 AM,"BALLERINI, KELSEA/CHESNEY, KENNY",Half Of My Hometown,collab,male-female,white,Columbus,X,X,B2BStraight,X
1/7/22,iHeartMedia,WCOL-FM,2:34:00 AM,"COMBS, LUKE/CHURCH, ERIC",Does To Me,collab,men,white,Columbus,X,X,B2BStraight,X
1/7/22,iHeartMedia,WCOL-FM,2:37:00 AM,"RAY, MICHAEL",Whiskey And Rain,solo,men,white,Columbus,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,iHeartMedia,WCOL-FM,2:44:00 AM,ADELE,Easy On Me,solo,women,white,Columbus,X,X,B2BStraight,X
1/7/22,iHeartMedia,WCOL-FM,2:49:00 AM,"URBAN, KEITH",Wild Hearts,solo,men,white,Columbus,X,X,B2BStraight,X
1/7/22,iHeartMedia,WCOL-FM,2:52:00 AM,"MOORE, KIP",Somethin' 'Bout A Truck,solo,men,white,Columbus,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,iHeartMedia,WCOL-FM,2:55:00 AM,DAN + SHAY,Tequila,duo,men,multiethnic,Columbus,B2Bmen,B2BCombMen,B2BStraight,X
1/7/22,iHeartMedia,WCOL-FM,2:59:00 AM,ZAC BROWN BAND,Same Boat,group,men,white,Columbus,B2Bmen,B2BCombMen,B2BStraight,X
1/7/22,iHeartMedia,WCOL-FM,3:02:00 AM,HARDY,Give Heaven Some Hell,solo,men,white,Columbus,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,iHeartMedia,WCOL-FM,3:05:00 AM,"RHETT, THOMAS",Get Me Some Of That,solo,men,white,Columbus,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,iHeartMedia,WCOL-FM,3:08:00 AM,"LYNCH, DUSTIN/PORTER, MACKENZIE",Thinking 'Bout You,collab,male-female,white,Columbus,X,X,B2BStraight,X
1/7/22,iHeartMedia,WCOL-FM,3:15:00 AM,MIDLAND,Sunrise Tells The Story,trio,men,white,Columbus,X,X,B2BStraight,X
1/7/22,iHeartMedia,WCOL-FM,3:19:00 AM,"HURD, RYAN/MORRIS, MAREN",Chasing After You,collab,male-female,white,Columbus,X,X,B2BStraight,X
1/7/22,iHeartMedia,WCOL-FM,3:22:00 AM,"ALAINA, LAUREN/PARDI, JON",Getting Over Him,collab,male-female,white,Columbus,B2Bmixed,B2BCombWomen,B2BStraight,B2BwhiteMixed
1/7/22,iHeartMedia,WCOL-FM,3:25:00 AM,"CHESNEY, KENNY",Save It For A Rainy Day,solo,men,white,Columbus,X,X,B2BStraight,X
1/7/22,iHeartMedia,WCOL-FM,3:28:00 AM,"ALDEAN, JASON/UNDERWOOD, CARRIE",If I Didn't Love You,collab,male-female,white,Columbus,X,X,B2BStraight,X
