date,owner,station,time,artist,title,ensemble,gender,race,city,b2b_gender,b2b_combinedGender,b2b_lgbtq,b2b_raceGender
1/7/22,iHeartMedia,WTQR-FM,12:01:00 AM,"JONES, GEORGE",Finally Friday,solo,men,white,Greensboro,X,X,X,X
1/7/22,iHeartMedia,WTQR-FM,12:03:00 AM,"LYNCH, DUSTIN/PORTER, MACKENZIE",Thinking 'Bout You,collab,male-female,white,Greensboro,X,X,B2BStraight,X
1/7/22,iHeartMedia,WTQR-FM,12:06:00 AM,"COMBS, LUKE",Cold As You,solo,men,white,Greensboro,X,X,B2BStraight,X
1/7/22,iHeartMedia,WTQR-FM,12:08:00 AM,"PARMALEE/BROWN, BLANCO",Just The Way,collab,men,multiethnic,Greensboro,B2Bmen,B2BCombMen,B2BStraight,X
1/7/22,iHeartMedia,WTQR-FM,12:12:00 AM,"MORRIS, MAREN",Circles Around This Town,solo,women,white,Greensboro,X,X,B2BStraight,X
1/7/22,iHeartMedia,WTQR-FM,12:19:00 AM,"JANSON, CHRIS",Bye Mom,solo,men,white,Greensboro,X,X,B2BStraight,X
1/7/22,iHeartMedia,WTQR-FM,12:23:00 AM,"SHELTON, BLAKE",Come Back As A Country Boy,solo,men,white,Greensboro,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,iHeartMedia,WTQR-FM,12:27:00 AM,LADY ANTEBELLUM,Bartender,trio,male-female,white,Greensboro,X,X,B2BStraight,X
1/7/22,iHeartMedia,WTQR-FM,12:30:00 AM,"CHURCH, ERIC",Heart On Fire,solo,men,white,Greensboro,X,X,B2BStraight,X
1/7/22,iHeartMedia,WTQR-FM,12:34:00 AM,"RHETT, THOMAS",T-Shirt,solo,men,white,Greensboro,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,iHeartMedia,WTQR-FM,12:37:00 AM,"DAVIS, JORDAN/BRYAN, LUKE",Buy Dirt,collab,men,white,Greensboro,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,iHeartMedia,WTQR-FM,12:40:00 AM,"RODGERS, JAMESON",Some Girls,solo,men,white,Greensboro,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,iHeartMedia,WTQR-FM,12:50:00 AM,"BRYAN, LUKE",Up,solo,men,white,Greensboro,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,iHeartMedia,WTQR-FM,12:54:00 AM,"CLARK, CALLISTA",It's 'Cause I Am,solo,women,white,Greensboro,X,X,B2BStraight,X
1/7/22,iHeartMedia,WTQR-FM,12:56:00 AM,"CURRINGTON, BILLY",Do I Make You Wanna,solo,men,white,Greensboro,X,X,B2BStraight,X
1/7/22,iHeartMedia,WTQR-FM,1:01:00 AM,"COMBS, LUKE",Lovin' On You,solo,men,white,Greensboro,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,iHeartMedia,WTQR-FM,1:04:00 AM,"KING, ELLE/LAMBERT, MIRANDA",Drunk (And I Don't Wanna Go..),collab,women,white,Greensboro,X,X,B2BStraight,X
1/7/22,iHeartMedia,WTQR-FM,1:07:00 AM,"ALDEAN, JASON",Tonight Looks Good On You,solo,men,white,Greensboro,X,X,B2BStraight,X
1/7/22,iHeartMedia,WTQR-FM,1:11:00 AM,"SWINDELL, COLE/WILSON, LAINEY",Never Say Never,collab,male-female,white,Greensboro,X,X,B2BStraight,X
1/7/22,iHeartMedia,WTQR-FM,1:19:00 AM,"LAMBERT, MIRANDA",If I Was A Cowboy,solo,women,white,Greensboro,X,B2BCombWomen,B2BStraight,X
1/7/22,iHeartMedia,WTQR-FM,1:23:00 AM,"BROWN, KANE",One Mississippi,solo,men,multiethnic,Greensboro,X,X,B2BStraight,X
1/7/22,iHeartMedia,WTQR-FM,1:26:00 AM,"BRYAN, LUKE",One Margarita,solo,men,white,Greensboro,B2Bmen,B2BCombMen,B2BStraight,X
1/7/22,iHeartMedia,WTQR-FM,1:29:00 AM,"STAPLETON, CHRIS",You Should Probably Leave,solo,men,white,Greensboro,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,iHeartMedia,WTQR-FM,1:33:00 AM,OLD DOMINION,Make It Sweet,group,men,white,Greensboro,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,iHeartMedia,WTQR-FM,1:35:00 AM,"HUNT, SAM",23,solo,men,white,Greensboro,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,iHeartMedia,WTQR-FM,1:38:00 AM,"OWEN, JAKE",The One That Got Away,solo,men,white,Greensboro,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,iHeartMedia,WTQR-FM,1:46:00 AM,"SWIFT, TAYLOR",I Bet You Think About Me,solo,women,white,Greensboro,X,X,B2BStraight,X
1/7/22,iHeartMedia,WTQR-FM,1:50:00 AM,"ALLEN, JIMMIE/PAISLEY, BRAD",Freedom Was A Highway,collab,men,multiethnic,Greensboro,X,X,B2BStraight,X
1/7/22,iHeartMedia,WTQR-FM,1:53:00 AM,"ALDEAN, JASON",Lights Come On,solo,men,white,Greensboro,B2Bmen,B2BCombMen,B2BStraight,X
1/7/22,iHeartMedia,WTQR-FM,1:56:00 AM,"JANSON, CHRIS",Fix A Drink,solo,men,white,Greensboro,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,iHeartMedia,WTQR-FM,2:00:00 AM,"HAYES, WALKER",Fancy Like,solo,men,white,Greensboro,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,iHeartMedia,WTQR-FM,2:02:00 AM,"LAMBERT, MIRANDA",If I Was A Cowboy,solo,women,white,Greensboro,X,X,B2BStraight,X
1/7/22,iHeartMedia,WTQR-FM,2:06:00 AM,"MCCREERY, SCOTTY",See You Tonight,solo,men,white,Greensboro,X,X,B2BStraight,X
1/7/22,iHeartMedia,WTQR-FM,2:09:00 AM,"WALLEN, MORGAN",Sand In My Boots,solo,men,white,Greensboro,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,iHeartMedia,WTQR-FM,2:18:00 AM,"BRICE, LEE",Soul,solo,men,white,Greensboro,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,iHeartMedia,WTQR-FM,2:21:00 AM,"BRICE, LEE",Memory I Don't Mess With,solo,men,white,Greensboro,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,iHeartMedia,WTQR-FM,2:24:00 AM,"PARDI, JON",Tequila Little Time,solo,men,white,Greensboro,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,iHeartMedia,WTQR-FM,2:27:00 AM,"BRYAN, LUKE",That's My Kind Of Night,solo,men,white,Greensboro,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,iHeartMedia,WTQR-FM,2:30:00 AM,"BALLERINI, KELSEA/CHESNEY, KENNY",Half Of My Hometown,collab,male-female,white,Greensboro,X,X,B2BStraight,X
1/7/22,iHeartMedia,WTQR-FM,2:34:00 AM,"COMBS, LUKE/CHURCH, ERIC",Does To Me,collab,men,white,Greensboro,X,X,B2BStraight,X
1/7/22,iHeartMedia,WTQR-FM,2:37:00 AM,"RAY, MICHAEL",Whiskey And Rain,solo,men,white,Greensboro,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,iHeartMedia,WTQR-FM,2:46:00 AM,"BOOTH, LACI KAYE",Shuffle,solo,women,white,Greensboro,X,X,B2BStraight,X
1/7/22,iHeartMedia,WTQR-FM,2:49:00 AM,"URBAN, KEITH",Wild Hearts,solo,men,white,Greensboro,X,X,B2BStraight,X
1/7/22,iHeartMedia,WTQR-FM,2:52:00 AM,"MOORE, KIP",Somethin' 'Bout A Truck,solo,men,white,Greensboro,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,iHeartMedia,WTQR-FM,2:55:00 AM,DAN + SHAY,Tequila,duo,men,multiethnic,Greensboro,B2Bmen,B2BCombMen,B2BStraight,X
1/7/22,iHeartMedia,WTQR-FM,2:59:00 AM,ZAC BROWN BAND,Same Boat,group,men,white,Greensboro,B2Bmen,B2BCombMen,B2BStraight,X
1/7/22,iHeartMedia,WTQR-FM,3:02:00 AM,HARDY,Give Heaven Some Hell,solo,men,white,Greensboro,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,iHeartMedia,WTQR-FM,3:05:00 AM,"RHETT, THOMAS",Get Me Some Of That,solo,men,white,Greensboro,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
