date,owner,station,time,artist,title,ensemble,gender,race,city,b2b_gender,b2b_combinedGender,b2b_lgbtq,b2b_raceGender
1/7/22,COX,KKBQ-FM,12:02:00 AM,"WALLEN, MORGAN",More Than My Hometown,solo,men,white,Houston,X,X,X,X
1/7/22,COX,KKBQ-FM,12:05:00 AM,BROOKS & DUNN,You're Gonna Miss Me When ...,duo,men,white,Houston,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,COX,KKBQ-FM,12:08:00 AM,"SWINDELL, COLE/WILSON, LAINEY",Never Say Never,collab,male-female,white,Houston,X,X,B2BStraight,X
1/7/22,COX,KKBQ-FM,12:11:00 AM,"YOUNG, BRETT",Sleep Without You,solo,men,white,Houston,X,X,B2BStraight,X
1/7/22,COX,KKBQ-FM,12:14:00 AM,"ALLEN, JIMMIE/PAISLEY, BRAD",Freedom Was A Highway,collab,men,multiethnic,Houston,B2Bmen,B2BCombMen,B2BStraight,X
1/7/22,COX,KKBQ-FM,12:18:00 AM,RASCAL FLATTS,Bless The Broken Road,trio,men,white,Houston,B2Bmen,B2BCombMen,B2BStraight,X
1/7/22,COX,KKBQ-FM,12:21:00 AM,"LYNCH, DUSTIN/PORTER, MACKENZIE",Thinking 'Bout You,collab,male-female,white,Houston,X,X,B2BStraight,X
1/7/22,COX,KKBQ-FM,12:24:00 AM,"CHURCH, ERIC",Heart On Fire,solo,men,white,Houston,X,X,B2BStraight,X
1/7/22,COX,KKBQ-FM,12:31:00 AM,"PEARCE, CARLY",Every Little Thing,solo,women,white,Houston,X,X,B2BStraight,X
1/7/22,COX,KKBQ-FM,12:34:00 AM,"HUNT, SAM",Breaking Up Was Easy In The...,solo,men,white,Houston,X,X,B2BStraight,X
1/7/22,COX,KKBQ-FM,12:38:00 AM,"BROWN, KANE",One Mississippi,solo,men,multiethnic,Houston,B2Bmen,B2BCombMen,B2BStraight,X
1/7/22,COX,KKBQ-FM,12:41:00 AM,"TWAIN, SHANIA",Any Man Of Mine,solo,women,white,Houston,X,X,B2BStraight,X
1/7/22,COX,KKBQ-FM,12:45:00 AM,"OWEN, JAKE",Made For You,solo,men,white,Houston,X,X,B2BStraight,X
1/7/22,COX,KKBQ-FM,12:49:00 AM,"RAY, MICHAEL",Whiskey And Rain,solo,men,white,Houston,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,COX,KKBQ-FM,12:53:00 AM,"SWINDELL, COLE",Middle Of A Memory,solo,men,white,Houston,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,COX,KKBQ-FM,12:56:00 AM,"EVANS, MORGAN",Love Is Real,solo,men,white,Houston,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,COX,KKBQ-FM,1:03:00 AM,"BALLERINI, KELSEA",Legends,solo,women,white,Houston,X,X,B2BStraight,X
1/7/22,COX,KKBQ-FM,1:06:00 AM,BROOKS & DUNN,That Ain't No Way To Go,duo,men,white,Houston,X,X,B2BStraight,X
1/7/22,COX,KKBQ-FM,1:10:00 AM,"BENTLEY, DIERKS/BRELAND/HARDY",Beers On Me,collab,men,multiethnic,Houston,B2Bmen,B2BCombMen,B2BStraight,X
1/7/22,COX,KKBQ-FM,1:13:00 AM,"RUCKER, DARIUS",Don't Think I Don't Think...,solo,men,black,Houston,B2Bmen,B2BCombMen,B2BStraight,B2BPOCMen
1/7/22,COX,KKBQ-FM,1:16:00 AM,"HAYES, WALKER",Fancy Like,solo,men,white,Houston,B2Bmen,B2BCombMen,B2BStraight,X
1/7/22,COX,KKBQ-FM,1:18:00 AM,"MCGRAW, TIM/SWIFT, TAYLOR",Highway Don't Care,collab,male-female,white,Houston,X,X,B2BStraight,X
1/7/22,COX,KKBQ-FM,1:23:00 AM,"COMBS, LUKE",Forever After All,solo,men,white,Houston,X,X,B2BStraight,X
1/7/22,COX,KKBQ-FM,1:27:00 AM,"KING, ELLE/LAMBERT, MIRANDA",Drunk (And I Don't Wanna Go..),collab,women,white,Houston,X,X,B2BStraight,X
1/7/22,COX,KKBQ-FM,1:34:00 AM,"BROWN, KANE",Cool Again,solo,men,multiethnic,Houston,X,X,B2BStraight,X
1/7/22,COX,KKBQ-FM,1:36:00 AM,"DICKERSON, RUSSELL",Every Little Thing,solo,men,white,Houston,B2Bmen,B2BCombMen,B2BStraight,X
1/7/22,COX,KKBQ-FM,1:39:00 AM,"WALLEN, MORGAN",Sand In My Boots,solo,men,white,Houston,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,COX,KKBQ-FM,1:43:00 AM,"JACKSON, ALAN",Gone Country,solo,men,white,Houston,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,COX,KKBQ-FM,1:46:00 AM,"WILSON, LAINEY",Things A Man Oughta Know,solo,women,white,Houston,X,X,B2BStraight,X
1/7/22,COX,KKBQ-FM,1:50:00 AM,"STAPLETON, CHRIS",You Should Probably Leave,solo,men,white,Houston,X,X,B2BStraight,X
1/7/22,COX,KKBQ-FM,1:53:00 AM,LITTLE BIG TOWN,Boondocks,group,male-female,white,Houston,X,X,B2BStraight,X
1/7/22,COX,KKBQ-FM,1:57:00 AM,"SIMS, RYAN",Songs About Us,solo,men,white,Houston,X,X,B2BStraight,X
1/7/22,COX,KKBQ-FM,2:03:00 AM,"DAN + SHAY/BIEBER, JUSTIN","10,000 Hours",collab,men,multiethnic,Houston,B2Bmen,B2BCombMen,B2BStraight,X
1/7/22,COX,KKBQ-FM,2:05:00 AM,"MCGRAW, TIM",My Best Friend,solo,men,white,Houston,B2Bmen,B2BCombMen,B2BStraight,X
1/7/22,COX,KKBQ-FM,2:10:00 AM,BROTHERS OSBORNE,I'm Not For Everyone,duo,men,white,Houston,B2Bmen,B2BCombMen,X,B2BwhiteMen
1/7/22,COX,KKBQ-FM,2:13:00 AM,"SHELTON, BLAKE",Sangria,solo,men,white,Houston,B2Bmen,B2BCombMen,X,B2BwhiteMen
1/7/22,COX,KKBQ-FM,2:16:00 AM,"JONES, CAROLINE",Come In (But Don't Make...),solo,women,white,Houston,X,X,B2BStraight,X
1/7/22,COX,KKBQ-FM,2:19:00 AM,"CORBIN, EASTON",Baby Be My Love Song,solo,men,white,Houston,X,X,B2BStraight,X
1/7/22,COX,KKBQ-FM,2:22:00 AM,"ALDEAN, JASON/UNDERWOOD, CARRIE",If I Didn't Love You,collab,male-female,white,Houston,X,X,B2BStraight,X
1/7/22,COX,KKBQ-FM,2:26:00 AM,"CLARK, CALLISTA",It's 'Cause I Am,solo,women,white,Houston,X,B2BCombWomen,B2BStraight,X
1/7/22,COX,KKBQ-FM,2:32:00 AM,"COMBS, LUKE",She Got The Best Of Me,solo,men,white,Houston,X,X,B2BStraight,X
1/7/22,COX,KKBQ-FM,2:35:00 AM,"SHANE, ELVIE",My Boy,solo,men,white,Houston,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,COX,KKBQ-FM,2:38:00 AM,"HUNT, SAM",23,solo,men,white,Houston,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,COX,KKBQ-FM,2:41:00 AM,"WALKER, CLAY",She Won't Be Lonely Long,solo,men,white,Houston,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,COX,KKBQ-FM,2:44:00 AM,"YOUNG, BRETT",Lady,solo,men,white,Houston,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,COX,KKBQ-FM,2:47:00 AM,"BALLERINI, KELSEA/CHESNEY, KENNY",Half Of My Hometown,collab,male-female,white,Houston,X,X,B2BStraight,X
1/7/22,COX,KKBQ-FM,2:51:00 AM,"BRYAN, LUKE",Drunk On You,solo,men,white,Houston,X,X,B2BStraight,X
1/7/22,COX,KKBQ-FM,2:54:00 AM,"MCGRAW, TIM",7500 OBO,solo,men,white,Houston,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,COX,KKBQ-FM,3:01:00 AM,"BRICE, LEE",One Of Them Girls,solo,men,white,Houston,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,COX,KKBQ-FM,3:04:00 AM,"CURRINGTON, BILLY",Must Be Doin' Somethin' Right,solo,men,white,Houston,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,COX,KKBQ-FM,3:08:00 AM,"HAYES, WALKER",AA,solo,men,white,Houston,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,COX,KKBQ-FM,3:12:00 AM,"STRAIT, GEORGE",Carried Away,solo,men,white,Houston,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,COX,KKBQ-FM,3:15:00 AM,"PARDI, JON",Tequila Little Time,solo,men,white,Houston,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,COX,KKBQ-FM,3:18:00 AM,"URBAN, KEITH",But For The Grace Of God,solo,men,white,Houston,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,COX,KKBQ-FM,3:22:00 AM,"COMBS, LUKE",Cold As You,solo,men,white,Houston,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,COX,KKBQ-FM,3:25:00 AM,HARDY,Give Heaven Some Hell,solo,men,white,Houston,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,COX,KKBQ-FM,3:31:00 AM,"CHESNEY, KENNY",Get Along,solo,men,white,Houston,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,COX,KKBQ-FM,3:34:00 AM,"JANSON, CHRIS",Drunk Girl,solo,men,white,Houston,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,COX,KKBQ-FM,3:37:00 AM,"DICKERSON, RUSSELL",Home Sweet,solo,men,white,Houston,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,COX,KKBQ-FM,3:41:00 AM,"HUNT, SAM",Break Up In A Small Town,solo,men,white,Houston,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
