date,weekday,dayparts,owner,station,time,artist,title,release,grc,genre,ensemble,gender,race,city,b2b_gender,b2b_combinedGender,b2b_collabGender,b2b_race,b2b_raceGender
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,1:34:00 AM,"KING, ELLE/LAMBERT, MIRANDA",Drunk (And I Don't Wanna Go..),2021,R,c-,collab,women,white,Philadelphia,X,B2BCombWomen,B2BCollabWomen,B2Bwhite,X
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,1:40:00 AM,"BRICE, LEE",Soul,2020,R,c-,solo,men,white,Philadelphia,X,X,X,B2Bwhite,X
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,1:43:00 AM,UNCLE KRACKER,Smile,2009,G,c-,solo,men,white,Philadelphia,B2Bmen,B2BCombMen,B2BCollabMen,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,1:47:00 AM,"OWEN, JAKE",Best Thing Since Backroads,2021,R,c-,solo,men,white,Philadelphia,B2Bmen,B2BCombMen,B2BCollabMen,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,1:50:00 AM,"ALLEN, JIMMIE/PAISLEY, BRAD",Freedom Was A Highway,2020,R,c-,collab,men,multiethnic,Philadelphia,B2Bmen,B2BCombMen,B2BCollabMen,X,X
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,1:53:00 AM,"PARMALEE/BROWN, BLANCO",Just The Way ,2019,R,c-,collab,men,multiethnic,Philadelphia,B2Bmen,B2BCombMen,B2BCollabMen,B2Bnonwhite,B2BnonwhiteMen
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,1:56:00 AM,"BALLERINI, KELSEA/CHESNEY, KENNY",Half Of My Hometown,2020,R,c-,collab,male-female,white,Philadelphia,X,X,X,X,X
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,2:00:00 AM,"LYNCH, DUSTIN/PORTER, MACKENZIE",Thinking 'Bout You,2020,R,c-,collab,male-female,white,Philadelphia,B2Bmixed,B2BCombWomen,B2BCollabWomen,B2Bwhite,B2BwhiteMixed
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,2:03:00 AM,BROTHERS OSBORNE,I'm Not For Everyone,2020,C,c-,duo,men,white,Philadelphia,X,X,X,B2Bwhite,X
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,2:06:00 AM,"HUNT, SAM",Kinfolks,2019,G,c-,solo,men,white,Philadelphia,B2Bmen,B2BCombMen,B2BCollabMen,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,2:09:00 AM,"DICKERSON, RUSSELL",Home Sweet,2020,R,c-,solo,men,white,Philadelphia,B2Bmen,B2BCombMen,B2BCollabMen,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,2:14:00 AM,"MCCOLLUM, PARKER",To Be Loved By You,2020,R,c-,solo,men,white,Philadelphia,B2Bmen,B2BCombMen,B2BCollabMen,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,2:17:00 AM,"WALLEN, MORGAN",Sand In My Boots,2021,R,c-,solo,men,white,Philadelphia,B2Bmen,B2BCombMen,B2BCollabMen,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,2:20:00 AM,"STAPLETON, CHRIS",You Should Probably Leave,2020,R,c-,solo,men,white,Philadelphia,B2Bmen,B2BCombMen,B2BCollabMen,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,2:23:00 AM,"RHETT, THOMAS",Slow Down Summer,2021,R,c-,solo,men,white,Philadelphia,B2Bmen,B2BCombMen,B2BCollabMen,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,2:27:00 AM,FLORIDA GEORGIA LINE,Cruise,2012,G,c-,duo,men,white,Philadelphia,B2Bmen,B2BCombMen,B2BCollabMen,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,2:31:00 AM,"COMBS, LUKE",Forever After All,2020,R,c-,solo,men,white,Philadelphia,B2Bmen,B2BCombMen,B2BCollabMen,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,2:34:00 AM,"BROWN, KANE",One Mississippi,2021,R,c-,solo,men,multiethnic,Philadelphia,B2Bmen,B2BCombMen,B2BCollabMen,X,X
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,2:40:00 AM,MIDLAND,Sunrise Tells The Story,2021,C,c-,trio,men,white,Philadelphia,B2Bmen,B2BCombMen,B2BCollabMen,X,X
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,2:43:00 AM,RASCAL FLATTS,What Hurts The Most,2005,G,c-,trio,men,white,Philadelphia,B2Bmen,B2BCombMen,B2BCollabMen,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,2:46:00 AM,"SWINDELL, COLE/WILSON, LAINEY",Never Say Never,2021,R,c-,collab,male-female,white,Philadelphia,X,X,X,B2Bwhite,X
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,2:49:00 AM,"PARDI, JON",Tequila Little Time,2019,R,c-,solo,men,white,Philadelphia,X,X,X,B2Bwhite,X
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,2:53:00 AM,"DAVIS, JORDAN/BRYAN, LUKE",Buy Dirt,2021,R,c-,collab,men,white,Philadelphia,B2Bmen,B2BCombMen,B2BCollabMen,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,2:56:00 AM,"RAY, FRANK",Country'd Look Good On You,2021,R,c-,solo,men,hispanic,Philadelphia,B2Bmen,B2BCombMen,B2BCollabMen,X,X
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,2:59:00 AM,LADY ANTEBELLUM,What If I Never Get Over You,2019,G,c-,trio,male-female,white,Philadelphia,X,X,X,X,X
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,3:03:00 AM,"RAY, MICHAEL",Whiskey And Rain,2020,R,c-,solo,men,white,Philadelphia,X,X,X,B2Bwhite,X
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,3:06:00 AM,"ELLIS, HANNAH",Us,2021,C,c-,solo,women,white,Philadelphia,X,X,X,B2Bwhite,X
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,3:09:00 AM,"LYNCH, DUSTIN",Seein' Red,2016,G,c-,solo,men,white,Philadelphia,X,X,X,B2Bwhite,X
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,3:12:00 AM,"JOHNSON, CODY",Til You Can't,2021,R,c-,solo,men,white,Philadelphia,B2Bmen,B2BCombMen,B2BCollabMen,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,3:18:00 AM,"MORRIS, MAREN",Circles Around This Town,2022,R,c-,solo,women,white,Philadelphia,X,X,X,B2Bwhite,X
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,3:21:00 AM,"KING, ELLE/LAMBERT, MIRANDA",Drunk (And I Don't Wanna Go..),2021,R,c-,collab,women,white,Philadelphia,B2Bwomen,B2BCombWomen,B2BCollabWomen,B2Bwhite,B2BwhiteWomen
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,3:25:00 AM,"ALLEN, JIMMIE/PAISLEY, BRAD",Freedom Was A Highway,2020,R,c-,collab,men,multiethnic,Philadelphia,X,X,X,X,X
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,3:28:00 AM,"YOUNG, CHRIS/TENPENNY, MITCHELL",At The End Of A Bar,2021,R,c-,collab,men,white,Philadelphia,B2Bmen,B2BCombMen,B2BCollabMen,X,X
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,3:32:00 AM,"COMBS, LUKE",She Got The Best Of Me,2018,G,c-,solo,men,white,Philadelphia,B2Bmen,B2BCombMen,B2BCollabMen,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,3:35:00 AM,DAN + SHAY,I Should Probably Go To Bed,2020,R,c-,duo,men,multiethnic,Philadelphia,B2Bmen,B2BCombMen,B2BCollabMen,X,X
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,3:37:00 AM,"PARDI, JON",Tequila Little Time,2019,R,c-,solo,men,white,Philadelphia,B2Bmen,B2BCombMen,B2BCollabMen,X,X
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,3:42:00 AM,"SCOTT, DYLAN",New Truck,2021,R,c-,solo,men,white,Philadelphia,B2Bmen,B2BCombMen,B2BCollabMen,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,3:45:00 AM,"SWIFT, TAYLOR",You Belong With Me,2008,G,c-,solo,women,white,Philadelphia,X,X,X,B2Bwhite,X
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,3:49:00 AM,HARDY,Give Heaven Some Hell,2020,R,c-,solo,men,white,Philadelphia,X,X,X,B2Bwhite,X
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,3:52:00 AM,ZAC BROWN BAND,Same Boat,2021,R,c-,group,men,white,Philadelphia,B2Bmen,B2BCombMen,B2BCollabMen,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,3:56:00 AM,"LYNCH, DUSTIN/PORTER, MACKENZIE",Thinking 'Bout You,2020,R,c-,collab,male-female,white,Philadelphia,X,X,X,B2Bwhite,X
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,3:58:00 AM,"MCGRAW, TIM",7500 OBO,2020,R,c-,solo,men,white,Philadelphia,X,X,X,B2Bwhite,X
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,4:02:00 AM,"STAPLETON, CHRIS",You Should Probably Leave,2020,R,c-,solo,men,white,Philadelphia,B2Bmen,B2BCombMen,B2BCollabMen,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,4:06:00 AM,"MOON, NIKO",Paradise To Me,2020,C,c-,solo,men,white,Philadelphia,B2Bmen,B2BCombMen,B2BCollabMen,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,4:09:00 AM,"BROWN, KANE/ALAINA, LAUREN",What Ifs,2016,G,c-,collab,male-female,multiethnic,Philadelphia,X,X,X,X,X
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,4:13:00 AM,"MCCOLLUM, PARKER",To Be Loved By You,2020,R,c-,solo,men,white,Philadelphia,X,X,X,X,X
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,4:16:00 AM,"DICKERSON, RUSSELL",Home Sweet,2020,R,c-,solo,men,white,Philadelphia,B2Bmen,B2BCombMen,B2BCollabMen,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,4:20:00 AM,"HUNT, SAM",23,2021,R,c-,solo,men,white,Philadelphia,B2Bmen,B2BCombMen,B2BCollabMen,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,4:23:00 AM,"DAVIS, JORDAN/BRYAN, LUKE",Buy Dirt,2021,R,c-,collab,men,white,Philadelphia,B2Bmen,B2BCombMen,B2BCollabMen,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,4:25:00 AM,"CLARK, CALLISTA",It's 'Cause I Am,2021,R,c-,solo,women,white,Philadelphia,X,X,X,B2Bwhite,X
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,4:28:00 AM,"ALDEAN, JASON",Big Green Tractor,2009,G,c-,solo,men,white,Philadelphia,X,X,X,B2Bwhite,X
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,4:32:00 AM,"RUCKER, DARIUS",Beers And Sunshine,2020,R,c-,solo,men,black,Philadelphia,B2Bmen,B2BCombMen,B2BCollabMen,X,X
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,4:35:00 AM,"BALLERINI, KELSEA/CHESNEY, KENNY",Half Of My Hometown,2020,R,c-,collab,male-female,white,Philadelphia,X,X,X,X,X
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,4:40:00 AM,"JANSON, CHRIS",Bye Mom,2021,R,c-,solo,men,white,Philadelphia,X,X,X,B2Bwhite,X
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,4:44:00 AM,DIXIE CHICKS,Cowboy Take Me Away,1999,G,c-,trio,women,white,Philadelphia,X,X,X,B2Bwhite,X
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,4:48:00 AM,"OWEN, JAKE",Best Thing Since Backroads,2021,R,c-,solo,men,white,Philadelphia,X,X,X,B2Bwhite,X
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,4:51:00 AM,"RODGERS, JAMESON/COMBS, LUKE",Cold Beer Calling…,2020,R,c-,collab,men,white,Philadelphia,B2Bmen,B2BCombMen,B2BCollabMen,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,4:55:00 AM,"RAY, MICHAEL",Whiskey And Rain,2020,R,c-,solo,men,white,Philadelphia,B2Bmen,B2BCombMen,B2BCollabMen,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,4:58:00 AM,PARMALEE,Take My Name,2021,R,c-,group,men,white,Philadelphia,B2Bmen,B2BCombMen,B2BCollabMen,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,5:01:00 AM,"WALLEN, MORGAN",Sand In My Boots,2021,R,c-,solo,men,white,Philadelphia,B2Bmen,B2BCombMen,B2BCollabMen,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,5:04:00 AM,"ELDREDGE, BRETT",Wanna Be That Song,2015,G,c-,solo,men,white,Philadelphia,B2Bmen,B2BCombMen,B2BCollabMen,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,5:08:00 AM,"ALLEN, JIMMIE/PAISLEY, BRAD",Freedom Was A Highway,2020,R,c-,collab,men,multiethnic,Philadelphia,B2Bmen,B2BCombMen,B2BCollabMen,X,X
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,5:14:00 AM,"BRICE, LEE",One Of Them Girls,2020,G,c-,solo,men,white,Philadelphia,B2Bmen,B2BCombMen,B2BCollabMen,X,X
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,5:17:00 AM,"LYNCH, DUSTIN/PORTER, MACKENZIE",Thinking 'Bout You,2020,R,c-,collab,male-female,white,Philadelphia,X,X,X,B2Bwhite,X
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,5:20:00 AM,"JONES, CAROLINE",Come In (But Don't Make...),2021,C,c-,solo,women,white,Philadelphia,X,B2BCombWomen,B2BCollabWomen,B2Bwhite,X
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,5:23:00 AM,"KING, ELLE/LAMBERT, MIRANDA",Drunk (And I Don't Wanna Go..),2021,R,c-,collab,women,white,Philadelphia,B2Bwomen,B2BCombWomen,B2BCollabWomen,B2Bwhite,B2BwhiteWomen
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,5:30:00 AM,"HURD, RYAN/MORRIS, MAREN",Chasing After You,2021,R,c-,collab,male-female,white,Philadelphia,X,B2BCombWomen,B2BCollabWomen,B2Bwhite,X
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,5:34:00 AM,LITTLE BIG TOWN,Boondocks,2005,G,c-,group,male-female,white,Philadelphia,B2Bmixed,B2BCombWomen,X,B2Bwhite,B2BwhiteMixed
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,5:38:00 AM,"SHANE, ELVIE",My Boy,2020,R,c-,solo,men,white,Philadelphia,X,X,X,B2Bwhite,X
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,5:48:00 AM,"STAPLETON, CHRIS",You Should Probably Leave,2020,R,c-,solo,men,white,Philadelphia,B2Bmen,B2BCombMen,B2BCollabMen,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,5:52:00 AM,"CHURCH, ERIC",Heart On Fire,2021,R,c-,solo,men,white,Philadelphia,B2Bmen,B2BCombMen,B2BCollabMen,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,5:56:00 AM,"BENTLEY, DIERKS",Drunk On A Plane,2014,G,c-,solo,men,white,Philadelphia,B2Bmen,B2BCombMen,B2BCollabMen,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",AMD,Beasley,WXTU-FM,6:00:00 AM,"RICE, CHASE/FLORIDA GEORGIA LINE",Drinkin' Beer Talkin' God Amen,2020,R,c-,collab,men,white,Philadelphia,B2Bmen,B2BCombMen,B2BCollabMen,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",AMD,Beasley,WXTU-FM,6:03:00 AM,"BROWN, KANE",One Mississippi,2021,R,c-,solo,men,multiethnic,Philadelphia,B2Bmen,B2BCombMen,B2BCollabMen,X,X
1/7/22,"Friday, Morris",AMD,Beasley,WXTU-FM,6:08:00 AM,"SHELTON, BLAKE",God Gave Me You,2011,G,c-,solo,men,white,Philadelphia,B2Bmen,B2BCombMen,B2BCollabMen,X,X
1/7/22,"Friday, Morris",AMD,Beasley,WXTU-FM,6:18:00 AM,"DAVIS, JORDAN/BRYAN, LUKE",Buy Dirt,2021,R,c-,collab,men,white,Philadelphia,B2Bmen,B2BCombMen,B2BCollabMen,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",AMD,Beasley,WXTU-FM,6:21:00 AM,"BALLERINI, KELSEA",Yeah Boy,2015,G,c-,solo,women,white,Philadelphia,X,X,X,B2Bwhite,X
1/7/22,"Friday, Morris",AMD,Beasley,WXTU-FM,6:31:00 AM,"COMBS, LUKE",Lovin' On You,2019,G,c-,solo,men,white,Philadelphia,X,X,X,B2Bwhite,X
1/7/22,"Friday, Morris",AMD,Beasley,WXTU-FM,6:35:00 AM,"RHETT, THOMAS",What's Your Country Song,2020,R,c-,solo,men,white,Philadelphia,B2Bmen,B2BCombMen,B2BCollabMen,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",AMD,Beasley,WXTU-FM,6:37:00 AM,"RAY, MICHAEL",Whiskey And Rain,2020,R,c-,solo,men,white,Philadelphia,B2Bmen,B2BCombMen,B2BCollabMen,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",AMD,Beasley,WXTU-FM,6:46:00 AM,"URBAN, KEITH",Days Go By,2004,G,c-,solo,men,white,Philadelphia,B2Bmen,B2BCombMen,B2BCollabMen,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",AMD,Beasley,WXTU-FM,6:50:00 AM,"YOUNG, BRETT",Lady,2020,R,c-,solo,men,white,Philadelphia,B2Bmen,B2BCombMen,B2BCollabMen,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",AMD,Beasley,WXTU-FM,6:53:00 AM,"UNDERWOOD, CARRIE",Last Name,2007,G,c-,solo,women,white,Philadelphia,X,X,X,B2Bwhite,X
1/7/22,"Friday, Morris",AMD,Beasley,WXTU-FM,6:57:00 AM,"YOUNG, CHRIS/BROWN, KANE",Famous Friends,2020,R,c-,collab,men,multiethnic,Philadelphia,X,X,X,X,X
1/7/22,"Friday, Morris",AMD,Beasley,WXTU-FM,7:00:00 AM,"LAMBERT, MIRANDA",Mama's Broken Heart,2011,G,c-,solo,women,white,Philadelphia,X,X,X,X,X
1/7/22,"Friday, Morris",AMD,Beasley,WXTU-FM,7:03:00 AM,"ALLEN, JIMMIE/PAISLEY, BRAD",Freedom Was A Highway,2020,R,c-,collab,men,multiethnic,Philadelphia,X,X,X,X,X
1/7/22,"Friday, Morris",AMD,Beasley,WXTU-FM,7:08:00 AM,"BARRETT, GABBY",The Good Ones,2019,R,c-,solo,women,white,Philadelphia,X,X,X,X,X
1/7/22,"Friday, Morris",AMD,Beasley,WXTU-FM,7:17:00 AM,DAN + SHAY,Glad You Exist,2021,R,c-,duo,men,multiethnic,Philadelphia,X,X,X,X,X
1/7/22,"Friday, Morris",AMD,Beasley,WXTU-FM,7:20:00 AM,"MURPHY, DAVID LEE/CHESNEY, KENNY",Everything's Gonna Be Alright,2017,G,c-,collab,men,white,Philadelphia,B2Bmen,B2BCombMen,B2BCollabMen,X,X
1/7/22,"Friday, Morris",AMD,Beasley,WXTU-FM,7:30:00 AM,"LYNCH, DUSTIN/PORTER, MACKENZIE",Thinking 'Bout You,2020,R,c-,collab,male-female,white,Philadelphia,X,X,X,B2Bwhite,X
1/7/22,"Friday, Morris",AMD,Beasley,WXTU-FM,7:34:00 AM,KID ROCK,All Summer Long,2007,G,c-,solo,men,white,Philadelphia,X,X,X,B2Bwhite,X
