date,weekday,dayparts,owner,station,time,artist,title,release,grc,genre,ensemble,gender,race,city,b2b_gender,b2b_combinedGender,b2b_collabGender,b2b_race,b2b_raceGender
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,12:01:00 AM,"STAPLETON, CHRIS",You Should Probably Leave,2020,R,c-,solo,men,white,Philadelphia,X,X,X,X,X
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,12:05:00 AM,"SWINDELL, COLE/WILSON, LAINEY",Never Say Never,2021,R,c-,collab,male-female,white,Philadelphia,X,X,X,B2Bwhite,X
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,12:08:00 AM,"MOORE, KIP",Somethin' 'Bout A Truck,2011,G,c-,solo,men,white,Philadelphia,X,X,X,B2Bwhite,X
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,12:11:00 AM,"SHELTON, BLAKE",Come Back As A Country Boy,2021,R,c-,solo,men,white,Philadelphia,B2Bmen,B2BCombMen,B2BCollabMen,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,12:16:00 AM,"PARDI, JON",Tequila Little Time,2019,R,c-,solo,men,white,Philadelphia,B2Bmen,B2BCombMen,B2BCollabMen,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,12:20:00 AM,"WALLEN, MORGAN",Sand In My Boots,2021,R,c-,solo,men,white,Philadelphia,B2Bmen,B2BCombMen,B2BCollabMen,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,12:23:00 AM,"NIEMANN, JERROD",Drink To That All Night,2013,G,c-,solo,men,white,Philadelphia,B2Bmen,B2BCombMen,B2BCollabMen,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,12:27:00 AM,"CHURCH, ERIC",Heart On Fire,2021,R,c-,solo,men,white,Philadelphia,B2Bmen,B2BCombMen,B2BCollabMen,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,12:31:00 AM,"ARTS, TENILLE","Back Then, Right Now",2021,R,c-,solo,women,white,Philadelphia,X,X,X,B2Bwhite,X
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,12:34:00 AM,"MCBRYDE, ASHLEY",One Night Standards,2019,G,c-,solo,women,white,Philadelphia,B2Bwomen,B2BCombWomen,B2BCollabWomen,B2Bwhite,B2BwhiteWomen
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,12:37:00 AM,"BALLERINI, KELSEA/CHESNEY, KENNY",Half Of My Hometown,2020,R,c-,collab,male-female,white,Philadelphia,X,B2BCombWomen,B2BCollabWomen,B2Bwhite,X
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,12:43:00 AM,"ALAINA, LAUREN/PARDI, JON",Getting Over Him,2020,R,c-,collab,male-female,white,Philadelphia,B2Bmixed,B2BCombWomen,B2BCollabWomen,B2Bwhite,B2BwhiteMixed
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,12:46:00 AM,"KEITH, TOBY",I Wanna Talk About Me,2001,G,c-,solo,men,white,Philadelphia,X,X,X,B2Bwhite,X
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,12:49:00 AM,"URBAN, KEITH",Wild Hearts,2021,R,c-,solo,men,white,Philadelphia,B2Bmen,B2BCombMen,B2BCollabMen,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,12:52:00 AM,"DAVIS, JORDAN/BRYAN, LUKE",Buy Dirt,2021,R,c-,collab,men,white,Philadelphia,B2Bmen,B2BCombMen,B2BCollabMen,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,12:55:00 AM,"HUNT, SAM",Hard To Forget,2020,G,c-,solo,men,white,Philadelphia,B2Bmen,B2BCombMen,B2BCollabMen,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,12:58:00 AM,"BROWN, KANE",One Mississippi,2021,R,c-,solo,men,multiethnic,Philadelphia,B2Bmen,B2BCombMen,B2BCollabMen,X,X
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,1:02:00 AM,"RAY, MICHAEL",Whiskey And Rain,2020,R,c-,solo,men,white,Philadelphia,B2Bmen,B2BCombMen,B2BCollabMen,X,X
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,1:05:00 AM,"CLARK, CALLISTA",It's 'Cause I Am,2021,R,c-,solo,women,white,Philadelphia,X,X,X,B2Bwhite,X
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,1:08:00 AM,"LANE, CHRIS","Big, Big Plans",2019,R,c-,solo,men,white,Philadelphia,X,X,X,B2Bwhite,X
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,1:11:00 AM,"BENTLEY, DIERKS/BRELAND/HARDY",Beers On Me,2021,R,c-,collab,men,multiethnic,Philadelphia,B2Bmen,B2BCombMen,B2BCollabMen,X,X
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,1:14:00 AM,"PEARCE, CARLY/MCBRYDE, ASHLEY",Never Wanted To Be That Girl,2021,R,c-,collab,women,white,Philadelphia,X,X,X,X,X
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,1:18:00 AM,"PARDI, JON",Tequila Little Time,2019,R,c-,solo,men,white,Philadelphia,X,X,X,B2Bwhite,X
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,1:21:00 AM,"SWIFT, TAYLOR",Mean,2010,G,c-,solo,women,white,Philadelphia,X,X,X,B2Bwhite,X
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,1:25:00 AM,DAN + SHAY,Glad You Exist,2021,R,c-,duo,men,multiethnic,Philadelphia,X,X,X,X,X
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,1:27:00 AM,"YOUNG, BRETT",You Didn't,2021,C,c-,solo,men,white,Philadelphia,B2Bmen,B2BCombMen,B2BCollabMen,X,X
1/7/22,"Friday, Morris",OVN,Beasley,WXTU-FM,1:31:00 AM,"SHELTON, BLAKE/STEFANI, GWEN",Happy Anywhere,2020,R,c-,collab,male-female,white,Philadelphia,X,X,X,B2Bwhite,X
