date,weekday,dayparts,owner,station,time,artist,title,release,grc,genre,ensemble,gender,race,city,b2b_gender,b2b_combinedGender,b2b_collabGender,b2b_race,b2b_raceGender
1/7/22,"Friday, Morris",OVN,Mount Wilson FM,KKGO-FM,12:00:00 AM,"PARDI, JON",Tequila Little Time,2019,R,c-,solo,men,white,LosAngeles,X,X,X,X,X
1/7/22,"Friday, Morris",OVN,Mount Wilson FM,KKGO-FM,12:03:00 AM,"RICE, CHASE",Eyes On You,2017,G,c-,solo,men,white,LosAngeles,B2Bmen,B2BCombMen,B2BCollabMen,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Mount Wilson FM,KKGO-FM,12:06:00 AM,"WALLEN, MORGAN",Sand In My Boots,2021,R,c-,solo,men,white,LosAngeles,B2Bmen,B2BCombMen,B2BCollabMen,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Mount Wilson FM,KKGO-FM,12:10:00 AM,BROTHERS OSBORNE,Stay A Little Longer,2013,G,c-,duo,men,white,LosAngeles,B2Bmen,B2BCombMen,B2BCollabMen,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Mount Wilson FM,KKGO-FM,12:15:00 AM,"MCCOLLUM, PARKER",To Be Loved By You,2020,R,c-,solo,men,white,LosAngeles,B2Bmen,B2BCombMen,B2BCollabMen,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Mount Wilson FM,KKGO-FM,12:19:00 AM,"LYNCH, DUSTIN/PORTER, MACKENZIE",Thinking 'Bout You,2020,R,c-,collab,male-female,white,LosAngeles,X,X,X,B2Bwhite,X
1/7/22,"Friday, Morris",OVN,Mount Wilson FM,KKGO-FM,12:21:00 AM,"COMBS, LUKE",She Got The Best Of Me,2018,G,c-,solo,men,white,LosAngeles,X,X,X,B2Bwhite,X
1/7/22,"Friday, Morris",OVN,Mount Wilson FM,KKGO-FM,12:24:00 AM,"RAY, MICHAEL",Whiskey And Rain,2020,R,c-,solo,men,white,LosAngeles,B2Bmen,B2BCombMen,B2BCollabMen,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Mount Wilson FM,KKGO-FM,12:28:00 AM,"JANSON, CHRIS",Bye Mom,2021,R,c-,solo,men,white,LosAngeles,B2Bmen,B2BCombMen,B2BCollabMen,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Mount Wilson FM,KKGO-FM,12:32:00 AM,"SHELTON, BLAKE",Come Back As A Country Boy,2021,R,c-,solo,men,white,LosAngeles,B2Bmen,B2BCombMen,B2BCollabMen,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Mount Wilson FM,KKGO-FM,12:35:00 AM,"RHETT, THOMAS",Slow Down Summer,2021,R,c-,solo,men,white,LosAngeles,B2Bmen,B2BCombMen,B2BCollabMen,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Mount Wilson FM,KKGO-FM,12:39:00 AM,"HUNT, SAM",Leave The Night On,2014,G,c-,solo,men,white,LosAngeles,B2Bmen,B2BCombMen,B2BCollabMen,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Mount Wilson FM,KKGO-FM,12:44:00 AM,"DAVIS, JORDAN/BRYAN, LUKE",Buy Dirt,2021,R,c-,collab,men,white,LosAngeles,B2Bmen,B2BCombMen,B2BCollabMen,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Mount Wilson FM,KKGO-FM,12:47:00 AM,"BENTLEY, DIERKS",Living,2018,G,c-,solo,men,white,LosAngeles,B2Bmen,B2BCombMen,B2BCollabMen,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Mount Wilson FM,KKGO-FM,12:50:00 AM,"BRICE, LEE",Soul,2020,R,c-,solo,men,white,LosAngeles,B2Bmen,B2BCombMen,B2BCollabMen,B2Bwhite,B2BwhiteMen
