date,weekday,dayparts,owner,station,time,artist,title,release,grc,genre,ensemble,gender,race,city,b2b_gender
1/7/22,"Friday, Morris",OVN,Steel City,KBEQ-FM,12:03:00 AM,"EVANS, MORGAN",Love Is Real,2017,G,c-,solo,men,white,KansasCity,X
1/7/22,"Friday, Morris",OVN,Steel City,KBEQ-FM,12:06:00 AM,"PEARCE, CARLY/MCBRYDE, ASHLEY",Never Wanted To Be That Girl,2019,G,c-,collab,women,white,KansasCity,X
1/7/22,"Friday, Morris",OVN,Steel City,KBEQ-FM,12:09:00 AM,"GRIFFIN, RYAN","Salt, Lime & Tequila",2011,G,c-,solo,men,white,KansasCity,X
1/7/22,"Friday, Morris",OVN,Steel City,KBEQ-FM,12:12:00 AM,"WALLEN, MORGAN",Sand In My Boots,2022,C,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KBEQ-FM,12:15:00 AM,"RAY, FRANK",Country'd Look Good On You,2006,G,c-,solo,men,hispanic,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KBEQ-FM,12:21:00 AM,MIDLAND,Sunrise Tells The Story,2021,C,c-,trio,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KBEQ-FM,12:24:00 AM,"JOHNSON, CODY",Til You Can't,2021,C,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KBEQ-FM,12:27:00 AM,"ELLIS, HANNAH",Us,2022,C,c-,solo,women,white,KansasCity,X
1/7/22,"Friday, Morris",OVN,Steel City,KBEQ-FM,12:30:00 AM,"RAY, MICHAEL",Whiskey And Rain,2014,G,c-,solo,men,white,KansasCity,X
1/7/22,"Friday, Morris",OVN,Steel City,KBEQ-FM,12:34:00 AM,"MICHELSON, JACKSON",Tip Jar,2012,G,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KBEQ-FM,12:40:00 AM,PARMALEE,Take My Name,2020,R,c-,group,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KBEQ-FM,12:43:00 AM,DAN + SHAY,Steal My Love,2018,G,c-,duo,men,multiethnic,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KBEQ-FM,12:45:00 AM,HARDY,Give Heaven Some Hell,2021,C,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KBEQ-FM,12:49:00 AM,"LANE, CHRIS",Fill Them Boots,2019,R,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KBEQ-FM,12:51:00 AM,"SHELTON, BLAKE",Come Back As A Country Boy,2013,G,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KBEQ-FM,12:55:00 AM,"MARLOWE, KAMERON",Giving You Up,2018,G,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KBEQ-FM,12:59:00 AM,"BOOTH, LACI KAYE",Shuffle,2021,C,c-,solo,women,white,KansasCity,X
1/7/22,"Friday, Morris",OVN,Steel City,KBEQ-FM,1:02:00 AM,"MCGRAW, TIM",7500 OBO,2022,C,c-,solo,men,white,KansasCity,X
1/7/22,"Friday, Morris",OVN,Steel City,KBEQ-FM,1:05:00 AM,"BALLERINI, KELSEA/CHESNEY, KENNY",Half Of My Hometown ,2022,C,c-,collab,male-female,white,KansasCity,X
1/7/22,"Friday, Morris",OVN,Steel City,KBEQ-FM,1:09:00 AM,"RICE, CHASE",If I Were Rock & Roll,2017,G,c-,solo,men,white,KansasCity,X
1/7/22,"Friday, Morris",OVN,Steel City,KBEQ-FM,1:12:00 AM,"PARDI, JON",Tequila Little Time,2016,G,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KBEQ-FM,1:16:00 AM,"SMITH, CONNER",Learn From It,2022,C,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KBEQ-FM,1:22:00 AM,OLD DOMINION,No Hard Feelings,2018,G,c-,group,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KBEQ-FM,1:25:00 AM,"CLARK, CALLISTA",It's 'Cause I Am,2011,G,c-,solo,women,white,KansasCity,X
1/7/22,"Friday, Morris",OVN,Steel City,KBEQ-FM,1:28:00 AM,"MOON, NIKO",Paradise To Me,2019,R,c-,solo,men,white,KansasCity,X
1/7/22,"Friday, Morris",OVN,Steel City,KBEQ-FM,1:31:00 AM,"PARKER, DREW",While You're Gone,2014,G,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KBEQ-FM,1:35:00 AM,"STAPLETON, CHRIS",You Should Probably Leave,2020,R,c-,solo,men,white,KansasCity,B2Bmen
1/7/22,"Friday, Morris",OVN,Steel City,KBEQ-FM,1:38:00 AM,"WADE, MORGAN",Wilder Days,2021,R,c-,solo,women,white,KansasCity,X
