cityName,stationName,ownerName,onlyWomenSongs_COUNT,onlyWomenSongs_PERCENT,b2bWomenSongs_COUNT,b2bWomenSongs_PERCENT,onlyMenSongs_COUNT,onlyMenSongs_PERCENT,b2bMenSongs_COUNT,b2bMenSongs_PERCENT,onlyMixedGenderSongs_COUNT,onlyMixedGenderSongs_PERCENT,b2bMixedGenderSongs_COUNT,b2bMixedGenderSongs_PERCENT,onlyCombinedGenderSongs_COUNT,onlyCombinedGenderSongs_PERCENT,b2bCombinedGenderSongs_COUNT,b2bCombinedGenderSongs_PERCENT,total_COUNT
Dallas,KSCS-FM,Audacy/Entercom,511,8.035854694134297,13,0.20443465953766315,5171,81.31781726686586,4055,63.76788803270954,677,10.646328038999844,18,0.28306337474445664,1188,18.68218273313414,84,1.320962415474131,6359
Greensboro,WPAW-FM,Audacy/Entercom,691,9.700968692966446,41,0.5756001684683419,5705,80.09265758809491,4508,63.28794047451917,727,10.20637371893865,69,0.968692966446722,1418,19.907342411905095,233,3.27109364032009,7123
Greensboro,WTQR-FM,iHeartMedia,436,7.039070067807556,26,0.4197610590894414,5219,84.25896028414594,4321,69.76105908944139,539,8.701969648046497,17,0.27445915402001936,975,15.741039715854052,92,1.4853083629318695,6194
Houston,KSCS-FM,Audacy/Entercom,511,8.035854694134297,13,0.20443465953766315,5171,81.31781726686586,4055,63.76788803270954,677,10.646328038999844,18,0.28306337474445664,1188,18.68218273313414,84,1.320962415474131,6359
Houston,KKBQ-FM,COX,649,9.980009226510841,46,0.7073658311548516,5223,80.31677687221283,4112,63.232354298016304,631,9.703213901276333,40,0.6151007227433493,1280,19.683223127787176,184,2.8294633246194065,6503
Indianapolis,WFMS-FM,Cumulus,456,7.342995169082125,14,0.22544283413848631,5097,82.07729468599034,4088,65.829307568438,657,10.579710144927535,28,0.45088566827697263,1113,17.92270531400966,111,1.7874396135265702,6210
Indianapolis,WLHK-FM,Emmis,588,8.154208847593953,34,0.47150187213978645,5851,81.13992511440854,4692,65.06725835529052,772,10.705866037997504,66,0.9152683400360561,1360,18.86007488559146,215,2.9815559561780614,7211
KansasCity,KBEQ-FM,Steel City,673,10.730229591836734,24,0.3826530612244898,5135,81.8718112244898,4137,65.95982142857143,464,7.3979591836734695,35,0.5580357142857143,1137,18.128188775510203,151,2.407525510204082,6272
KansasCity,KFKF-FM,Steel City,560,9.073233959818536,10,0.16202203499675957,5345,86.60077770576798,4543,73.60661049902787,267,4.325988334413481,4,0.06480881399870382,827,13.399222294232016,41,0.6642903434867142,6172
KansasCity,WDAF-FM,Audacy/Entercom,824,12.10518583810783,67,0.9842808873218746,5289,77.69942706037902,4026,59.14499779638608,694,10.195387101513148,53,0.7786102541501395,1518,22.300572939620977,268,3.9371235492874983,6807
LosAngeles,KKGO-FM,Mount Wilson FM,819,12.836990595611287,81,1.2695924764890283,4947,77.53918495297806,3792,59.43573667711599,614,9.623824451410657,59,0.9247648902821317,1433,22.460815047021942,285,4.467084639498433,6380
Nashville,WKDF-FM,Cumulus,628,10.567053676594313,39,0.6562342251388188,4686,78.84906612821807,3617,60.86151775197711,629,10.583880195187616,47,0.7908463738852431,1257,21.15093387178193,198,3.331650681474003,5943
Nashville,WSM-FM,Cumulus,1028,15.728274173806609,40,0.6119951040391677,5155,78.87086903304773,3893,59.56242350061199,353,5.400856793145655,6,0.09179926560587516,1381,21.129130966952264,130,1.9889840881272949,6536
Philadelphia,WXTU-FM,Beasley,754,11.812627291242363,58,0.9086636377878741,5005,78.41140529531569,3853,60.36346545511515,624,9.775967413441954,46,0.7206642644524518,1378,21.58859470468432,239,3.744320852263826,6383
SanAntonio,KAJA-FM,iHeartMedia,523,8.997075520385343,37,0.636504386719422,4812,82.77997591605023,3900,67.09100292447961,478,8.222948563564426,17,0.29244796146568036,1001,17.220024083949767,104,1.7890934113194565,5813
SanAntonio,KCYY-FM,Cox,741,11.44578313253012,64,0.9885696632684584,5258,81.2171763978993,4231,65.35372258263824,475,7.3370404695705895,36,0.5560704355885079,1216,18.78282360210071,200,3.0892801977139324,6474
Tampa,WFUS-FM,iHeartMedia,505,8.244897959183675,20,0.326530612244898,5096,83.2,4122,67.29795918367347,524,8.555102040816326,20,0.326530612244898,1029,16.8,69,1.126530612244898,6125
Tampa,WQYK-FM,Beasley,620,9.5048290663805,39,0.5978844090142573,5386,82.56936992181511,4400,67.45362563237775,517,7.925801011804384,37,0.5672236700904493,1137,17.430630078184883,164,2.5141805917522615,6523
WashingtonDC,WMZQ-FM,iHeartMedia,528,9.25503943908852,22,0.38562664329535495,4667,81.80543382997371,3683,64.55740578439965,510,8.939526730937773,14,0.245398773006135,1038,18.194566170026295,72,1.2620508326029798,5705
