date,weekday,dayparts,owner,station,time,artist,title,release,grc,genre,ensemble,gender,race,city,b2b_gender,b2b_combinedGender
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WDAF-FM,12:00:00 AM,"MOON, NIKO",Good Time,2019,R,c-,solo,men,white,KansasCity,X,X
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WDAF-FM,12:04:00 AM,"HUNT, SAM",Breaking Up Was Easy In The...,2020,R,c-,solo,men,white,KansasCity,B2Bmen,B2BCombMen
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WDAF-FM,12:07:00 AM,"OWEN, JAKE",Made For You,2018,R,c-,solo,men,white,KansasCity,B2Bmen,B2BCombMen
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WDAF-FM,12:14:00 AM,"DICKERSON, RUSSELL",Every Little Thing,2016,G,c-,solo,men,white,KansasCity,B2Bmen,B2BCombMen
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WDAF-FM,12:17:00 AM,DAN + SHAY,I Should Probably Go To Bed,2020,R,c-,duo,men,multiethnic,KansasCity,B2Bmen,B2BCombMen
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WDAF-FM,12:20:00 AM,"MCCOLLUM, PARKER",To Be Loved By You,2020,R,c-,solo,men,white,KansasCity,B2Bmen,B2BCombMen
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WDAF-FM,12:23:00 AM,"COMBS, LUKE",Cold As You,2020,R,c-,solo,men,white,KansasCity,B2Bmen,B2BCombMen
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WDAF-FM,12:26:00 AM,"RODGERS, JAMESON",Missing One,2018,C,c-,solo,men,white,KansasCity,B2Bmen,B2BCombMen
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WDAF-FM,12:29:00 AM,"LYNCH, DUSTIN/PORTER, MACKENZIE",Thinking 'Bout You,2020,R,c-,collab,male-female,white,KansasCity,X,X
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WDAF-FM,12:32:00 AM,ZAC BROWN BAND,Colder Weather,2010,G,c-,group,men,white,KansasCity,X,X
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WDAF-FM,12:36:00 AM,ELI YOUNG BAND,Love Ain't,2018,G,c-,group,men,white,KansasCity,B2Bmen,B2BCombMen
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WDAF-FM,12:39:00 AM,"SHELTON, BLAKE/STEFANI, GWEN",Happy Anywhere,2020,R,c-,collab,male-female,white,KansasCity,X,X
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WDAF-FM,12:42:00 AM,"KING, ELLE/LAMBERT, MIRANDA",Drunk (And I Don't Wanna Go..),2021,R,c-,collab,women,white,KansasCity,X,B2BCombWomen
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WDAF-FM,12:46:00 AM,"BRICE, LEE",Memory I Don't Mess With,2020,R,c-,solo,men,white,KansasCity,X,X
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WDAF-FM,12:49:00 AM,OLD DOMINION,One Man Band,2019,G,c-,group,men,white,KansasCity,B2Bmen,B2BCombMen
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WDAF-FM,12:52:00 AM,"CLARK, CALLISTA",It's 'Cause I Am,2021,R,c-,solo,women,white,KansasCity,X,X
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WDAF-FM,12:54:00 AM,"RHETT, THOMAS",Look What God Gave Her,2019,G,c-,solo,men,white,KansasCity,X,X
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WDAF-FM,12:57:00 AM,"MORRIS, MAREN",Circles Around This Town,2022,R,c-,solo,women,white,KansasCity,X,X
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WDAF-FM,1:01:00 AM,"MCCREERY, SCOTTY",You Time,2020,R,c-,solo,men,white,KansasCity,X,X
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WDAF-FM,1:04:00 AM,"BENTLEY, DIERKS",Gone,2020,R,c-,solo,men,white,KansasCity,B2Bmen,B2BCombMen
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WDAF-FM,1:07:00 AM,"WALLEN, MORGAN",Whiskey Glasses,2016,G,c-,solo,men,white,KansasCity,B2Bmen,B2BCombMen
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WDAF-FM,1:11:00 AM,"CHURCH, ERIC",Heart On Fire,2021,R,c-,solo,men,white,KansasCity,B2Bmen,B2BCombMen
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WDAF-FM,1:17:00 AM,"LANE, CHRIS",I Don't Know About You,2018,G,c-,solo,men,white,KansasCity,B2Bmen,B2BCombMen
