date,weekday,dayparts,owner,station,time,artist,title,release,grc,genre,ensemble,gender,race,city,b2b_gender,b2b_combinedGender
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,KSCS-FM,12:00:00 AM,"MCGRAW, TIM",Live Like You Were Dying,2004,G,c-,solo,men,white,Houston,X,X
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,KSCS-FM,12:05:00 AM,"PARDI, JON",Tequila Little Time,2019,R,c-,solo,men,white,Houston,B2Bmen,B2BCombMen
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,KSCS-FM,12:08:00 AM,"MCGRAW, TIM",Live Like You Were Dying,2004,G,c-,solo,men,white,Houston,B2Bmen,B2BCombMen
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,KSCS-FM,12:13:00 AM,"BROWN, KANE",One Mississippi,2021,R,c-,solo,men,multiethnic,Houston,B2Bmen,B2BCombMen
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,KSCS-FM,12:16:00 AM,"YOUNG, BRETT",Lady,2020,R,c-,solo,men,white,Houston,B2Bmen,B2BCombMen
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,KSCS-FM,12:19:00 AM,"MCGRAW, TIM",7500 OBO,2020,R,c-,solo,men,white,Houston,B2Bmen,B2BCombMen
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,KSCS-FM,12:22:00 AM,"COMBS, LUKE",Forever After All,2020,R,c-,solo,men,white,Houston,B2Bmen,B2BCombMen
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,KSCS-FM,12:26:00 AM,"RHETT, THOMAS",Slow Down Summer,2021,R,c-,solo,men,white,Houston,B2Bmen,B2BCombMen
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,KSCS-FM,12:29:00 AM,ELI YOUNG BAND,Drunk Last Night,2013,G,c-,group,men,white,Houston,B2Bmen,B2BCombMen
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,KSCS-FM,12:33:00 AM,"BRICE, LEE",Soul,2020,R,c-,solo,men,white,Houston,B2Bmen,B2BCombMen
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,KSCS-FM,12:38:00 AM,"BLOCK, PRISCILLA",Just About Over You,2020,R,c-,solo,women,white,Houston,X,X
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,KSCS-FM,12:41:00 AM,"YOUNG, CHRIS/BROWN, KANE",Famous Friends,2020,R,c-,collab,men,multiethnic,Houston,X,X
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,KSCS-FM,12:43:00 AM,"STAPLETON, CHRIS",You Should Probably Leave,2020,R,c-,solo,men,white,Houston,B2Bmen,B2BCombMen
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,KSCS-FM,12:47:00 AM,"COMBS, LUKE",Doin' This,2021,R,c-,solo,men,white,Houston,B2Bmen,B2BCombMen
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,KSCS-FM,12:51:00 AM,"CORBIN, EASTON",Baby Be My Love Song,2014,G,c-,solo,men,white,Houston,B2Bmen,B2BCombMen
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,KSCS-FM,12:54:00 AM,"LAMBERT, MIRANDA",If I Was A Cowboy,2021,R,c-,solo,women,white,Houston,X,X
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,KSCS-FM,12:57:00 AM,"ALLEN, JIMMIE/PAISLEY, BRAD",Freedom Was A Highway,2020,R,c-,collab,men,multiethnic,Houston,X,X
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,KSCS-FM,1:01:00 AM,"HURD, RYAN/MORRIS, MAREN",Chasing After You,2021,R,c-,collab,male-female,white,Houston,X,X
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,KSCS-FM,1:04:00 AM,"SHELTON, BLAKE",Come Back As A Country Boy,2021,R,c-,solo,men,white,Houston,X,X
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,KSCS-FM,1:07:00 AM,"SMITH, CANAAN",Love You Like That,2014,G,c-,solo,men,white,Houston,B2Bmen,B2BCombMen
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,KSCS-FM,1:10:00 AM,"COMBS, LUKE",Cold As You,2020,R,c-,solo,men,white,Houston,B2Bmen,B2BCombMen
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,KSCS-FM,1:13:00 AM,"BENTLEY, DIERKS/BRELAND/HARDY",Beers On Me,2021,R,c-,collab,men,multiethnic,Houston,B2Bmen,B2BCombMen
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,KSCS-FM,1:15:00 AM,"JANSON, CHRIS",Done,2019,G,c-,solo,men,white,Houston,B2Bmen,B2BCombMen
