date,weekday,dayparts,owner,station,time,artist,title,release,grc,genre,ensemble,gender,race,city,b2b_gender
1/7/22,"Friday, Morris",OVN,Hubbard,WYGY-FM,12:00:00 AM,"SHELTON, BLAKE",Sure Be Cool If You Did,2013,G,c-,solo,men,white,Cincinnati,X
1/7/22,"Friday, Morris",OVN,Hubbard,WYGY-FM,12:07:00 AM,"RHETT, THOMAS",Country Again,2021,R,c-,solo,men,white,Cincinnati,B2Bmen
1/7/22,"Friday, Morris",OVN,Hubbard,WYGY-FM,12:10:00 AM,"LYNCH, DUSTIN",Small Town Boy,2017,G,c-,solo,men,white,Cincinnati,B2Bmen
1/7/22,"Friday, Morris",OVN,Hubbard,WYGY-FM,12:14:00 AM,"BRICE, LEE",Rumor,2017,G,c-,solo,men,white,Cincinnati,B2Bmen
1/7/22,"Friday, Morris",OVN,Hubbard,WYGY-FM,12:17:00 AM,SAWYER BROWN,Some Girls Do,1992,G,c-,group,men,white,Cincinnati,B2Bmen
1/7/22,"Friday, Morris",OVN,Hubbard,WYGY-FM,12:20:00 AM,"BRYAN, LUKE",Down To One,2020,R,c-,solo,men,white,Cincinnati,B2Bmen
1/7/22,"Friday, Morris",OVN,Hubbard,WYGY-FM,12:24:00 AM,"SWINDELL, COLE",Ain't Worth The Whiskey,2014,G,c-,solo,men,white,Cincinnati,B2Bmen
1/7/22,"Friday, Morris",OVN,Hubbard,WYGY-FM,12:27:00 AM,"CHESNEY, KENNY",I Go Back,2004,G,c-,solo,men,white,Cincinnati,B2Bmen
1/7/22,"Friday, Morris",OVN,Hubbard,WYGY-FM,12:30:00 AM,"BYRD, TRACY",The Keeper Of The Stars,1995,G,c-,solo,men,white,Cincinnati,B2Bmen
1/7/22,"Friday, Morris",OVN,Hubbard,WYGY-FM,12:39:00 AM,"WILSON, LAINEY",Things A Man Oughta Know,2019,R,c-,solo,women,white,Cincinnati,X
1/7/22,"Friday, Morris",OVN,Hubbard,WYGY-FM,12:42:00 AM,"RAYE, COLLIN",That's My Story,1994,G,c-,solo,men,white,Cincinnati,X
1/7/22,"Friday, Morris",OVN,Hubbard,WYGY-FM,12:45:00 AM,RASCAL FLATTS,Life Is A Highway,2006,G,c-,trio,men,white,Cincinnati,B2Bmen
1/7/22,"Friday, Morris",OVN,Hubbard,WYGY-FM,12:49:00 AM,"COMBS, LUKE/CHURCH, ERIC",Does To Me,2019,G,c-,collab,men,white,Cincinnati,B2Bmen
1/7/22,"Friday, Morris",OVN,Hubbard,WYGY-FM,12:53:00 AM,"MCBRIDE, MARTINA",My Baby Loves Me,1993,G,c-,solo,women,white,Cincinnati,X
1/7/22,"Friday, Morris",OVN,Hubbard,WYGY-FM,12:55:00 AM,"RHETT, THOMAS",It Goes Like This,2013,G,c-,solo,men,white,Cincinnati,X
