date,weekday,dayparts,owner,station,time,artist,title,release,grc,genre,ensemble,gender,race,city,lgbtq,b2b_gender,b2b_combinedGender,b2b_collabGender,b2b_lgbtq,b2b_race,b2b_raceGender
1/7/22,"Friday, Morris",OVN,Cox,KCYY-FM,12:00:00 AM,"BRYAN, LUKE",Play It Again,2013,G,c-,solo,men,white,SanAntonio,false,X,X,X,X,X,X
1/7/22,"Monday, Barrett",OVN,Cox,KCYY-FM,12:01:00 AM,FLORIDA GEORGIA LINE,This Is How We Roll,2013,G,c-,duo,men,white,SanAntonio,false,B2Bmen,B2BCombMen,B2BCollabMen,X,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Cox,KCYY-FM,12:04:00 AM,"PARDI, JON",Tequila Little Time,2019,R,c-,solo,men,white,SanAntonio,false,B2Bmen,B2BCombMen,B2BCollabMen,X,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Cox,KCYY-FM,12:07:00 AM,BROTHERS OSBORNE,I'm Not For Everyone,2020,C,c-,duo,men,white,SanAntonio,true,B2Bmen,B2BCombMen,B2BCollabMen,X,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Cox,KCYY-FM,12:12:00 AM,"BARRETT, GABBY",The Good Ones,2019,R,c-,solo,women,white,SanAntonio,false,X,X,X,X,B2Bwhite,X
1/7/22,"Friday, Morris",OVN,Cox,KCYY-FM,12:16:00 AM,"LAMBERT, MIRANDA",If I Was A Cowboy,2021,R,c-,solo,women,white,SanAntonio,false,B2Bwomen,B2BCombWomen,B2BCollabWomen,X,B2Bwhite,B2BwhiteWomen
1/7/22,"Friday, Morris",OVN,Cox,KCYY-FM,12:19:00 AM,FLORIDA GEORGIA LINE,Round Here,2012,G,c-,duo,men,white,SanAntonio,false,X,X,X,X,B2Bwhite,X
1/7/22,"Friday, Morris",OVN,Cox,KCYY-FM,12:22:00 AM,"BALLERINI, KELSEA/CHESNEY, KENNY",Half Of My Hometown,2020,R,c-,collab,male-female,white,SanAntonio,false,X,X,X,X,B2Bwhite,X
1/7/22,"Friday, Morris",OVN,Cox,KCYY-FM,12:26:00 AM,DAN + SHAY,Steal My Love,2021,R,c-,duo,men,multiethnic,SanAntonio,false,X,X,X,X,X,X
1/7/22,"Friday, Morris",OVN,Cox,KCYY-FM,12:29:00 AM,"LYNCH, DUSTIN",Small Town Boy,2017,G,c-,solo,men,white,SanAntonio,false,B2Bmen,B2BCombMen,B2BCollabMen,X,X,X
1/7/22,"Friday, Morris",OVN,Cox,KCYY-FM,12:32:00 AM,"COMBS, LUKE",Cold As You,2020,R,c-,solo,men,white,SanAntonio,false,B2Bmen,B2BCombMen,B2BCollabMen,X,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Cox,KCYY-FM,12:35:00 AM,"MCCOLLUM, PARKER",To Be Loved By You,2020,R,c-,solo,men,white,SanAntonio,false,B2Bmen,B2BCombMen,B2BCollabMen,X,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Cox,KCYY-FM,12:38:00 AM,"ALLEN, JIMMIE/PAISLEY, BRAD",Freedom Was A Highway,2020,R,c-,collab,men,multiethnic,SanAntonio,false,B2Bmen,B2BCombMen,B2BCollabMen,X,X,X
1/7/22,"Friday, Morris",OVN,Cox,KCYY-FM,12:43:00 AM,"BROOKS, GARTH",Papa Loved Mama,1992,G,c-,solo,men,white,SanAntonio,false,B2Bmen,B2BCombMen,B2BCollabMen,X,X,X
1/7/22,"Friday, Morris",OVN,Cox,KCYY-FM,12:46:00 AM,"PEARCE, CARLY/MCBRYDE, ASHLEY",Never Wanted To Be That Girl,2021,R,c-,collab,women,white,SanAntonio,false,X,X,X,X,B2Bwhite,X
1/7/22,"Friday, Morris",OVN,Cox,KCYY-FM,12:50:00 AM,"ALAINA, LAUREN/PARDI, JON",Getting Over Him,2020,R,c-,collab,male-female,white,SanAntonio,false,X,B2BCombWomen,B2BCollabWomen,X,B2Bwhite,X
1/7/22,"Friday, Morris",OVN,Cox,KCYY-FM,12:52:00 AM,"ROGERS, RANDY BAND",Picture Frames,2021,C,c-,group,men,white,SanAntonio,false,X,X,X,X,B2Bwhite,X
1/7/22,"Friday, Morris",OVN,Cox,KCYY-FM,12:55:00 AM,"YOUNG, CHRIS",Lonely Eyes,2013,G,c-,solo,men,white,SanAntonio,false,B2Bmen,B2BCombMen,B2BCollabMen,X,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Cox,KCYY-FM,12:59:00 AM,THOMPSON SQUARE,Are You Gonna Kiss Me Or Not,2010,G,c-,duo,male-female,white,SanAntonio,false,X,X,X,X,B2Bwhite,X
1/7/22,"Friday, Morris",OVN,Cox,KCYY-FM,1:02:00 AM,"RAY, MICHAEL",Whiskey And Rain,2020,R,c-,solo,men,white,SanAntonio,false,X,X,X,X,B2Bwhite,X
1/7/22,"Friday, Morris",OVN,Cox,KCYY-FM,1:05:00 AM,"SHELTON, BLAKE",Come Back As A Country Boy,2021,R,c-,solo,men,white,SanAntonio,false,B2Bmen,B2BCombMen,B2BCollabMen,X,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Cox,KCYY-FM,1:11:00 AM,"MORRIS, MAREN",The Bones,2019,G,c-,solo,women,white,SanAntonio,false,X,X,X,X,B2Bwhite,X
1/7/22,"Friday, Morris",OVN,Cox,KCYY-FM,1:14:00 AM,"RHETT, THOMAS",Slow Down Summer,2021,R,c-,solo,men,white,SanAntonio,false,X,X,X,X,B2Bwhite,X
1/7/22,"Friday, Morris",OVN,Cox,KCYY-FM,1:18:00 AM,"ALDEAN, JASON",Blame It On You,2019,R,c-,solo,men,white,SanAntonio,false,B2Bmen,B2BCombMen,B2BCollabMen,X,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Cox,KCYY-FM,1:21:00 AM,"STAPLETON, CHRIS",You Should Probably Leave,2020,R,c-,solo,men,white,SanAntonio,false,B2Bmen,B2BCombMen,B2BCollabMen,X,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Cox,KCYY-FM,1:24:00 AM,"LAMBERT, MIRANDA",If I Was A Cowboy,2021,R,c-,solo,women,white,SanAntonio,false,X,X,X,X,B2Bwhite,X
1/7/22,"Friday, Morris",OVN,Cox,KCYY-FM,1:28:00 AM,FLORIDA GEORGIA LINE,H.O.L.Y.,2016,G,c-,duo,men,white,SanAntonio,false,X,X,X,X,B2Bwhite,X
1/7/22,"Friday, Morris",OVN,Cox,KCYY-FM,1:31:00 AM,"SWINDELL, COLE",Single Saturday Night,2020,R,c-,solo,men,white,SanAntonio,false,B2Bmen,B2BCombMen,B2BCollabMen,X,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Cox,KCYY-FM,1:34:00 AM,"DAVIS, JORDAN/BRYAN, LUKE",Buy Dirt,2021,R,c-,collab,men,white,SanAntonio,false,B2Bmen,B2BCombMen,B2BCollabMen,X,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Cox,KCYY-FM,1:37:00 AM,"CHURCH, ERIC",Heart On Fire,2021,R,c-,solo,men,white,SanAntonio,false,B2Bmen,B2BCombMen,B2BCollabMen,X,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Cox,KCYY-FM,1:43:00 AM,"CARTER, DEANA",Strawberry Wine,1996,G,c-,solo,women,white,SanAntonio,false,X,X,X,X,B2Bwhite,X
1/7/22,"Friday, Morris",OVN,Cox,KCYY-FM,1:47:00 AM,HARDY,Give Heaven Some Hell,2020,R,c-,solo,men,white,SanAntonio,false,X,X,X,X,B2Bwhite,X
1/7/22,"Friday, Morris",OVN,Cox,KCYY-FM,1:50:00 AM,"URBAN, KEITH",Wild Hearts,2021,R,c-,solo,men,white,SanAntonio,false,B2Bmen,B2BCombMen,B2BCollabMen,X,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Cox,KCYY-FM,1:53:00 AM,"BRICE, LEE",Soul,2020,R,c-,solo,men,white,SanAntonio,false,B2Bmen,B2BCombMen,B2BCollabMen,X,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Cox,KCYY-FM,1:56:00 AM,"MOORE, JUSTIN",Why We Drink,2019,G,c-,solo,men,white,SanAntonio,false,B2Bmen,B2BCombMen,B2BCollabMen,X,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Cox,KCYY-FM,2:00:00 AM,"CORBIN, EASTON",Lovin' You Is Fun,2012,G,c-,solo,men,white,SanAntonio,false,B2Bmen,B2BCombMen,B2BCollabMen,X,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Cox,KCYY-FM,2:03:00 AM,"HURD, RYAN/MORRIS, MAREN",Chasing After You,2021,R,c-,collab,male-female,white,SanAntonio,false,X,X,X,X,B2Bwhite,X
1/7/22,"Friday, Morris",OVN,Cox,KCYY-FM,2:06:00 AM,"BENTLEY, DIERKS/BRELAND/HARDY",Beers On Me,2021,R,c-,collab,men,multiethnic,SanAntonio,false,X,X,X,X,X,X
