date,owner,station,time,artist,title,ensemble,gender,race,city,b2b_gender,b2b_combinedGender,b2b_lgbtq,b2b_raceGender
1/7/22,Audacy/Entercom,KILT-FM,12:00:00 AM,"DAVIS, JORDAN/BRYAN, LUKE",Buy Dirt,collab,men,white,Houston,X,X,X,X
1/7/22,Audacy/Entercom,KILT-FM,12:03:00 AM,"ATKINS, RODNEY",These Are My People,solo,men,white,Houston,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Audacy/Entercom,KILT-FM,12:06:00 AM,"COMBS, LUKE",Forever After All,solo,men,white,Houston,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Audacy/Entercom,KILT-FM,12:10:00 AM,HARDY,Give Heaven Some Hell,solo,men,white,Houston,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Audacy/Entercom,KILT-FM,12:13:00 AM,"WALKER, CLAY",Catching Up With An Ol' Memory,solo,men,white,Houston,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Audacy/Entercom,KILT-FM,12:16:00 AM,"PARDI, JON",Tequila Little Time,solo,men,white,Houston,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Audacy/Entercom,KILT-FM,12:20:00 AM,"HUNT, SAM",23,solo,men,white,Houston,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Audacy/Entercom,KILT-FM,12:23:00 AM,"ALDEAN, JASON/UNDERWOOD, CARRIE",If I Didn't Love You,collab,male-female,white,Houston,X,X,B2BStraight,X
1/7/22,Audacy/Entercom,KILT-FM,12:26:00 AM,"SHELTON, BLAKE",A Guy With A Girl,solo,men,white,Houston,X,X,B2BStraight,X
1/7/22,Audacy/Entercom,KILT-FM,12:29:00 AM,"ARTS, TENILLE","Back Then, Right Now",solo,women,white,Houston,X,X,B2BStraight,X
1/7/22,Audacy/Entercom,KILT-FM,12:36:00 AM,"KEITH, TOBY",Old School,solo,men,white,Houston,X,X,B2BStraight,X
1/7/22,Audacy/Entercom,KILT-FM,12:40:00 AM,"JOHNSON, CODY",Til You Can't,solo,men,white,Houston,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Audacy/Entercom,KILT-FM,12:43:00 AM,"RHETT, THOMAS",Slow Down Summer,solo,men,white,Houston,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Audacy/Entercom,KILT-FM,12:47:00 AM,"BARRETT, GABBY",I Hope,solo,women,white,Houston,X,X,B2BStraight,X
1/7/22,Audacy/Entercom,KILT-FM,12:50:00 AM,ZAC BROWN BAND,Whatever It Is,group,men,white,Houston,X,X,B2BStraight,X
1/7/22,Audacy/Entercom,KILT-FM,12:53:00 AM,"BENTLEY, DIERKS/BRELAND/HARDY",Beers On Me,collab,men,multiethnic,Houston,B2Bmen,B2BCombMen,B2BStraight,X
1/7/22,Audacy/Entercom,KILT-FM,12:56:00 AM,"ELDREDGE, BRETT",Don't Ya,solo,men,white,Houston,B2Bmen,B2BCombMen,B2BStraight,X
1/7/22,Audacy/Entercom,KILT-FM,12:59:00 AM,"JONES, CAROLINE",Come In (But Don't Make...),solo,women,white,Houston,X,X,B2BStraight,X
1/7/22,Audacy/Entercom,KILT-FM,1:03:00 AM,"MORRIS, MAREN",Circles Around This Town,solo,women,white,Houston,B2Bwomen,B2BCombWomen,B2BStraight,B2BwhiteWomen
1/7/22,Audacy/Entercom,KILT-FM,1:06:00 AM,"BRYAN, LUKE",Play It Again,solo,men,white,Houston,X,X,B2BStraight,X
1/7/22,Audacy/Entercom,KILT-FM,1:09:00 AM,"LAMBERT, MIRANDA",If I Was A Cowboy,solo,women,white,Houston,X,X,B2BStraight,X
1/7/22,Audacy/Entercom,KILT-FM,1:12:00 AM,"ALAINA, LAUREN/PARDI, JON",Getting Over Him,collab,male-female,white,Houston,X,B2BCombWomen,B2BStraight,X
1/7/22,Audacy/Entercom,KILT-FM,1:15:00 AM,"CHESNEY, KENNY",Don't Blink,solo,men,white,Houston,X,X,B2BStraight,X
1/7/22,Audacy/Entercom,KILT-FM,1:19:00 AM,"ALLEN, JIMMIE/PAISLEY, BRAD",Freedom Was A Highway,collab,men,multiethnic,Houston,B2Bmen,B2BCombMen,B2BStraight,X
1/7/22,Audacy/Entercom,KILT-FM,1:22:00 AM,"STRAIT, GEORGE",Here For A Good Time,solo,men,white,Houston,B2Bmen,B2BCombMen,B2BStraight,X
1/7/22,Audacy/Entercom,KILT-FM,1:25:00 AM,"RAY, FRANK",Country'd Look Good On You,solo,men,hispanic,Houston,B2Bmen,B2BCombMen,B2BStraight,X
1/7/22,Audacy/Entercom,KILT-FM,1:29:00 AM,MIDLAND,Drinkin' Problem,trio,men,white,Houston,B2Bmen,B2BCombMen,B2BStraight,X
1/7/22,Audacy/Entercom,KILT-FM,1:32:00 AM,"SHELTON, BLAKE",Boys 'Round Here,solo,men,white,Houston,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
