date,owner,station,time,artist,title,ensemble,gender,race,city,b2b_gender,b2b_combinedGender,b2b_lgbtq,b2b_raceGender
1/7/22,Audacy/Entercom,WUSN-FM,12:00:00 AM,"BALLERINI, KELSEA/CHESNEY, KENNY",Half Of My Hometown,collab,male-female,white,Chicago,X,X,X,X
1/7/22,Audacy/Entercom,WUSN-FM,12:04:00 AM,"COMBS, LUKE",Cold As You,solo,men,white,Chicago,X,X,B2BStraight,X
1/7/22,Audacy/Entercom,WUSN-FM,12:06:00 AM,"LANE, CHRIS",Fill Them Boots,solo,men,white,Chicago,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Audacy/Entercom,WUSN-FM,12:09:00 AM,"ALDEAN, JASON/UNDERWOOD, CARRIE",If I Didn't Love You,collab,male-female,white,Chicago,X,X,B2BStraight,X
1/7/22,Audacy/Entercom,WUSN-FM,12:12:00 AM,"RHETT, THOMAS",Sixteen,solo,men,white,Chicago,X,X,B2BStraight,X
1/7/22,Audacy/Entercom,WUSN-FM,12:15:00 AM,"CLARK, CALLISTA",It's 'Cause I Am,solo,women,white,Chicago,X,X,B2BStraight,X
1/7/22,Audacy/Entercom,WUSN-FM,12:18:00 AM,"EVANS, MORGAN",Love Is Real,solo,men,white,Chicago,X,X,B2BStraight,X
1/7/22,Audacy/Entercom,WUSN-FM,12:21:00 AM,"WALLEN, MORGAN",Sand In My Boots,solo,men,white,Chicago,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Audacy/Entercom,WUSN-FM,12:24:00 AM,"RUCKER, DARIUS",Beers And Sunshine,solo,men,black,Chicago,B2Bmen,B2BCombMen,B2BStraight,X
1/7/22,Audacy/Entercom,WUSN-FM,12:27:00 AM,OLD DOMINION,Snapback,group,men,white,Chicago,B2Bmen,B2BCombMen,B2BStraight,X
1/7/22,Audacy/Entercom,WUSN-FM,12:30:00 AM,"YOUNG, BRETT",You Didn't,solo,men,white,Chicago,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Audacy/Entercom,WUSN-FM,12:34:00 AM,"RAY, MICHAEL",Whiskey And Rain,solo,men,white,Chicago,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Audacy/Entercom,WUSN-FM,12:37:00 AM,"CHURCH, ERIC",Hell Of A View,solo,men,white,Chicago,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Audacy/Entercom,WUSN-FM,12:40:00 AM,"BROWN, KANE",One Mississippi,solo,men,multiethnic,Chicago,B2Bmen,B2BCombMen,B2BStraight,X
1/7/22,Audacy/Entercom,WUSN-FM,12:44:00 AM,DAN + SHAY,Steal My Love,duo,men,multiethnic,Chicago,B2Bmen,B2BCombMen,B2BStraight,B2BPOCMen
1/7/22,Audacy/Entercom,WUSN-FM,12:52:00 AM,"DAVIS, JORDAN/BRYAN, LUKE",Buy Dirt,collab,men,white,Chicago,B2Bmen,B2BCombMen,B2BStraight,X
1/7/22,Audacy/Entercom,WUSN-FM,12:55:00 AM,"RAY, FRANK",Country'd Look Good On You,solo,men,hispanic,Chicago,B2Bmen,B2BCombMen,B2BStraight,X
