date,owner,station,time,artist,title,ensemble,gender,race,city,b2b_gender,b2b_combinedGender,b2b_lgbtq,b2b_raceGender
1/7/22,Steel City,KFKF-FM,12:02:00 AM,"ALDEAN, JASON/LAMBERT, MIRANDA",Drowns The Whiskey,collab,male-female,white,KansasCity,X,X,X,X
1/7/22,Steel City,KFKF-FM,12:05:00 AM,FLORIDA GEORGIA LINE,Long Live,duo,men,white,KansasCity,X,X,B2BStraight,X
1/7/22,Steel City,KFKF-FM,12:08:00 AM,"LAWRENCE, TRACY",Alibis,solo,men,white,KansasCity,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Steel City,KFKF-FM,12:11:00 AM,"MOORE, JUSTIN",With A Woman You Love,solo,men,white,KansasCity,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Steel City,KFKF-FM,12:13:00 AM,ZAC BROWN BAND,Whatever It Is,group,men,white,KansasCity,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Steel City,KFKF-FM,12:17:00 AM,"COMBS, LUKE",Doin' This,solo,men,white,KansasCity,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Steel City,KFKF-FM,12:21:00 AM,"BRYAN, LUKE","Huntin', Fishin' And Lovin'...",solo,men,white,KansasCity,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Steel City,KFKF-FM,12:26:00 AM,"HUNT, SAM",Body Like A Back Road,solo,men,white,KansasCity,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Steel City,KFKF-FM,12:29:00 AM,RASCAL FLATTS,Bless The Broken Road,trio,men,white,KansasCity,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Steel City,KFKF-FM,12:33:00 AM,"TRITT, TRAVIS",I'm Gonna Be Somebody,solo,men,white,KansasCity,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Steel City,KFKF-FM,12:37:00 AM,"SWINDELL, COLE/WILSON, LAINEY",Never Say Never,collab,male-female,white,KansasCity,X,X,B2BStraight,X
1/7/22,Steel City,KFKF-FM,12:41:00 AM,"RHETT, THOMAS",Country Again,solo,men,white,KansasCity,X,X,B2BStraight,X
1/7/22,Steel City,KFKF-FM,12:45:00 AM,"MORRIS, MAREN",My Church,solo,women,white,KansasCity,X,X,B2BStraight,X
1/7/22,Steel City,KFKF-FM,12:48:00 AM,"ALLAN, GARY",Nothing On But The Radio,solo,men,white,KansasCity,X,X,B2BStraight,X
1/7/22,Steel City,KFKF-FM,12:52:00 AM,"STELL, MATT",Everywhere But On,solo,men,white,KansasCity,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Steel City,KFKF-FM,12:55:00 AM,"STRAIT, GEORGE",How 'Bout Them Cowgirls,solo,men,white,KansasCity,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Steel City,KFKF-FM,12:58:00 AM,"SMITH, GRANGER",Backroad Song,solo,men,white,KansasCity,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Steel City,KFKF-FM,1:02:00 AM,"MCCREERY, SCOTTY",In Between,solo,men,white,KansasCity,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Steel City,KFKF-FM,1:06:00 AM,"YOUNG, BRETT",Lady,solo,men,white,KansasCity,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Steel City,KFKF-FM,1:09:00 AM,"BYRD, TRACY",Holdin' Heaven,solo,men,white,KansasCity,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Steel City,KFKF-FM,1:11:00 AM,"SCOTT, DYLAN",New Truck,solo,men,white,KansasCity,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Steel City,KFKF-FM,1:14:00 AM,"CHESNEY, KENNY","No Shoes, No Shirt, No ...",solo,men,white,KansasCity,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Steel City,KFKF-FM,1:17:00 AM,"JOHNSON, CODY",Til You Can't,solo,men,white,KansasCity,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Steel City,KFKF-FM,1:20:00 AM,"CURRINGTON, BILLY",Hey Girl,solo,men,white,KansasCity,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Steel City,KFKF-FM,1:25:00 AM,"CHURCH, ERIC",Heart On Fire,solo,men,white,KansasCity,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Steel City,KFKF-FM,1:29:00 AM,"UNDERWOOD, CARRIE",Cowboy Casanova,solo,women,white,KansasCity,X,X,B2BStraight,X
1/7/22,Steel City,KFKF-FM,1:33:00 AM,ALABAMA,Roll On (Eighteen Wheeler),group,men,white,KansasCity,X,X,B2BStraight,X
1/7/22,Steel City,KFKF-FM,1:37:00 AM,"URBAN, KEITH",Wild Hearts,solo,men,white,KansasCity,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Steel City,KFKF-FM,1:42:00 AM,"RODGERS, JAMESON/COMBS, LUKE",Cold Beer Calling…,collab,men,white,KansasCity,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Steel City,KFKF-FM,1:46:00 AM,LADY ANTEBELLUM,Downtown,trio,male-female,white,KansasCity,X,X,B2BStraight,X
1/7/22,Steel City,KFKF-FM,1:49:00 AM,"CORBIN, EASTON",Little More Country Than That,solo,men,white,KansasCity,X,X,B2BStraight,X
1/7/22,Steel City,KFKF-FM,1:52:00 AM,"SWINDELL, COLE",Single Saturday Night,solo,men,white,KansasCity,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Steel City,KFKF-FM,1:55:00 AM,"RUCKER, DARIUS",If I Told You,solo,men,black,KansasCity,B2Bmen,B2BCombMen,B2BStraight,X
1/7/22,Steel City,KFKF-FM,1:58:00 AM,SUGARLAND,All I Want To Do,duo,male-female,white,KansasCity,X,X,B2BStraight,X
1/7/22,Steel City,KFKF-FM,2:02:00 AM,"ALLEN, JIMMIE",Best Shot,solo,men,black,KansasCity,X,X,B2BStraight,X
1/7/22,Steel City,KFKF-FM,2:05:00 AM,"RHETT, THOMAS/PARDI, JON",Beer Can't Fix,collab,men,white,KansasCity,B2Bmen,B2BCombMen,B2BStraight,X
1/7/22,Steel City,KFKF-FM,2:08:00 AM,"BROOKS, GARTH",Shameless,solo,men,white,KansasCity,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Steel City,KFKF-FM,2:13:00 AM,"JANSON, CHRIS",Bye Mom,solo,men,white,KansasCity,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Steel City,KFKF-FM,2:16:00 AM,"ALDEAN, JASON",My Kinda Party,solo,men,white,KansasCity,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Steel City,KFKF-FM,2:21:00 AM,"SHELTON, BLAKE",Come Back As A Country Boy,solo,men,white,KansasCity,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Steel City,KFKF-FM,2:24:00 AM,"GILBERT, BRANTLEY",One Hell Of An Amen,solo,men,white,KansasCity,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Steel City,KFKF-FM,2:30:00 AM,"DAVIS, JORDAN/BRYAN, LUKE",Buy Dirt,collab,men,white,KansasCity,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Steel City,KFKF-FM,2:32:00 AM,"CLARK, TERRI",I Wanna Do It All,solo,women,white,KansasCity,X,X,B2BStraight,X
1/7/22,Steel City,KFKF-FM,2:35:00 AM,"YOAKAM, DWIGHT",A Thousand Miles From Nowhere,solo,men,white,KansasCity,X,X,B2BStraight,X
1/7/22,Steel City,KFKF-FM,2:38:00 AM,"CARMICHAEL, DILLON",Son Of A,solo,men,white,KansasCity,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Steel City,KFKF-FM,2:43:00 AM,ZAC BROWN BAND,Same Boat,group,men,white,KansasCity,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Steel City,KFKF-FM,2:47:00 AM,"YOUNG, CHRIS",Who I Am With You,solo,men,white,KansasCity,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Steel City,KFKF-FM,2:49:00 AM,"CHURCH, ERIC",Drink In My Hand,solo,men,white,KansasCity,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Steel City,KFKF-FM,2:52:00 AM,"LANE, CHRIS","Big, Big Plans",solo,men,white,KansasCity,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Steel City,KFKF-FM,2:56:00 AM,MONTGOMERY GENTRY,My Town,duo,men,white,KansasCity,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Steel City,KFKF-FM,3:00:00 AM,"ELDREDGE, BRETT",The Long Way,solo,men,white,KansasCity,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Steel City,KFKF-FM,3:03:00 AM,"CHESNEY, KENNY",All The Pretty Girls,solo,men,white,KansasCity,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Steel City,KFKF-FM,3:06:00 AM,"WALLEN, MORGAN",More Than My Hometown,solo,men,white,KansasCity,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Steel City,KFKF-FM,3:10:00 AM,BROOKS & DUNN,Brand New Man,duo,men,white,KansasCity,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Steel City,KFKF-FM,3:13:00 AM,"LAMBERT, MIRANDA",If I Was A Cowboy,solo,women,white,KansasCity,X,X,B2BStraight,X
