date,owner,station,time,artist,title,ensemble,gender,race,city,b2b_gender,b2b_combinedGender,b2b_lgbtq,b2b_raceGender
1/7/22,Cumulus,WSM-FM,12:03 AM,ALABAMA,Mountain Music,group,men,white,Nashville,X,X,X,X
1/7/22,Cumulus,WSM-FM,12:06 AM,"MOORE, KIP",Somethin' 'Bout A Truck,solo,men,white,Nashville,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Cumulus,WSM-FM,12:09 AM,"HILL, FAITH",Breathe,solo,women,white,Nashville,X,X,B2BStraight,X
1/7/22,Cumulus,WSM-FM,12:13 AM,"BRICE, LEE",I Don't Dance,solo,men,white,Nashville,X,X,B2BStraight,X
1/7/22,Cumulus,WSM-FM,12:18 AM,"BROOKS, GARTH",Two Pina Coladas,solo,men,white,Nashville,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Cumulus,WSM-FM,12:21 AM,"ALLAN, GARY",Every Storm (Runs Out Of Rain),solo,men,white,Nashville,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Cumulus,WSM-FM,12:25 AM,"LYNCH, DUSTIN",Momma's House,solo,men,white,Nashville,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Cumulus,WSM-FM,12:28 AM,"GRACIN, JOSH",Nothin' To Lose,solo,men,white,Nashville,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Cumulus,WSM-FM,12:31 AM,"MESSINA, JO DEE",Bye Bye,solo,women,white,Nashville,X,X,B2BStraight,X
1/7/22,Cumulus,WSM-FM,12:34 AM,RASCAL FLATTS,Bless The Broken Road,trio,men,white,Nashville,X,X,B2BStraight,X
1/7/22,Cumulus,WSM-FM,12:38 AM,"JACKSON, ALAN",Summertime Blues,solo,men,white,Nashville,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Cumulus,WSM-FM,12:41 AM,ZAC BROWN BAND,Colder Weather,group,men,white,Nashville,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Cumulus,WSM-FM,12:49 AM,"MCBRIDE, MARTINA",Wild Angels,solo,women,white,Nashville,X,X,B2BStraight,X
1/7/22,Cumulus,WSM-FM,12:52 AM,"PAISLEY, BRAD",I'm Gonna Miss Her,solo,men,white,Nashville,X,X,B2BStraight,X
1/7/22,Cumulus,WSM-FM,12:55 AM,"MURPHY, DAVID LEE",Party Crowd,solo,men,white,Nashville,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Cumulus,WSM-FM,12:59 AM,"MCGRAW, TIM",Where The Green Grass Grows,solo,men,white,Nashville,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Cumulus,WSM-FM,1:02 AM,"UNDERWOOD, CARRIE",Blown Away,solo,women,white,Nashville,X,X,B2BStraight,X
1/7/22,Cumulus,WSM-FM,1:06 AM,DIAMOND RIO,Meet In The Middle,group,men,white,Nashville,X,X,B2BStraight,X
1/7/22,Cumulus,WSM-FM,1:09 AM,"STELL, MATT",Prayed For You,solo,men,white,Nashville,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Cumulus,WSM-FM,1:15 AM,"MORGAN, LORRIE",What Part Of No,solo,women,white,Nashville,X,X,B2BStraight,X
1/7/22,Cumulus,WSM-FM,1:18 AM,"CURRINGTON, BILLY",Pretty Good At Drinkin' Beer,solo,men,white,Nashville,X,X,B2BStraight,X
1/7/22,Cumulus,WSM-FM,1:21 AM,"BRYAN, LUKE",What She Wants Tonight,solo,men,white,Nashville,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Cumulus,WSM-FM,1:24 AM,"URBAN, KEITH",Days Go By,solo,men,white,Nashville,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Cumulus,WSM-FM,1:27 AM,"KEITH, TOBY",Should've Been A Cowboy,solo,men,white,Nashville,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Cumulus,WSM-FM,1:30 AM,"BRICE, LEE",Hard To Love,solo,men,white,Nashville,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Cumulus,WSM-FM,1:34 AM,DIXIE CHICKS,Ready To Run,trio,women,white,Nashville,X,X,B2BStraight,X
1/7/22,Cumulus,WSM-FM,1:37 AM,"NICHOLS, JOE",Tequila Makes Her Clothes ...,solo,men,white,Nashville,X,X,B2BStraight,X
1/7/22,Cumulus,WSM-FM,1:43 AM,"GILL, VINCE",One More Last Chance,solo,men,white,Nashville,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Cumulus,WSM-FM,1:45 AM,ZAC BROWN BAND,Keep Me In Mind,group,men,white,Nashville,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Cumulus,WSM-FM,1:49 AM,"DIFFIE, JOE",Prop Me Up Beside The...(If..),solo,men,white,Nashville,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Cumulus,WSM-FM,1:52 AM,"MONTGOMERY, JOHN MICHAEL",I Can Love You Like That,solo,men,white,Nashville,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
