date,owner,station,time,artist,title,ensemble,gender,race,city,b2b_gender,b2b_combinedGender,b2b_lgbtq,b2b_raceGender
1/7/22,Mount Wilson FM,KKGO-FM,12:00:00 AM,"PARDI, JON",Tequila Little Time,solo,men,white,LosAngeles,X,X,X,X
1/7/22,Mount Wilson FM,KKGO-FM,12:03:00 AM,"RICE, CHASE",Eyes On You,solo,men,white,LosAngeles,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Mount Wilson FM,KKGO-FM,12:06:00 AM,"WALLEN, MORGAN",Sand In My Boots,solo,men,white,LosAngeles,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Mount Wilson FM,KKGO-FM,12:10:00 AM,BROTHERS OSBORNE,Stay A Little Longer,duo,men,white,LosAngeles,B2Bmen,B2BCombMen,X,B2BwhiteMen
1/7/22,Mount Wilson FM,KKGO-FM,12:15:00 AM,"MCCOLLUM, PARKER",To Be Loved By You,solo,men,white,LosAngeles,B2Bmen,B2BCombMen,X,B2BwhiteMen
1/7/22,Mount Wilson FM,KKGO-FM,12:19:00 AM,"LYNCH, DUSTIN/PORTER, MACKENZIE",Thinking 'Bout You,collab,male-female,white,LosAngeles,X,X,B2BStraight,X
1/7/22,Mount Wilson FM,KKGO-FM,12:21:00 AM,"COMBS, LUKE",She Got The Best Of Me,solo,men,white,LosAngeles,X,X,B2BStraight,X
1/7/22,Mount Wilson FM,KKGO-FM,12:24:00 AM,"RAY, MICHAEL",Whiskey And Rain,solo,men,white,LosAngeles,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Mount Wilson FM,KKGO-FM,12:28:00 AM,"JANSON, CHRIS",Bye Mom,solo,men,white,LosAngeles,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Mount Wilson FM,KKGO-FM,12:32:00 AM,"SHELTON, BLAKE",Come Back As A Country Boy,solo,men,white,LosAngeles,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Mount Wilson FM,KKGO-FM,12:35:00 AM,"RHETT, THOMAS",Slow Down Summer,solo,men,white,LosAngeles,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Mount Wilson FM,KKGO-FM,12:39:00 AM,"HUNT, SAM",Leave The Night On,solo,men,white,LosAngeles,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Mount Wilson FM,KKGO-FM,12:44:00 AM,"DAVIS, JORDAN/BRYAN, LUKE",Buy Dirt,collab,men,white,LosAngeles,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Mount Wilson FM,KKGO-FM,12:47:00 AM,"BENTLEY, DIERKS",Living,solo,men,white,LosAngeles,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Mount Wilson FM,KKGO-FM,12:50:00 AM,"BRICE, LEE",Soul,solo,men,white,LosAngeles,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Mount Wilson FM,KKGO-FM,12:53:00 AM,"CHESNEY, KENNY",Come Over,solo,men,white,LosAngeles,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Mount Wilson FM,KKGO-FM,12:58:00 AM,DAN + SHAY,I Should Probably Go To Bed,duo,men,multiethnic,LosAngeles,B2Bmen,B2BCombMen,B2BStraight,X
1/7/22,Mount Wilson FM,KKGO-FM,1:00:00 AM,"ALLEN, JIMMIE/PAISLEY, BRAD",Freedom Was A Highway,collab,men,multiethnic,LosAngeles,B2Bmen,B2BCombMen,B2BStraight,B2BPOCMen
1/7/22,Mount Wilson FM,KKGO-FM,1:04:00 AM,"RUCKER, DARIUS",Alright,solo,men,black,LosAngeles,B2Bmen,B2BCombMen,B2BStraight,B2BPOCMen
1/7/22,Mount Wilson FM,KKGO-FM,1:08:00 AM,"RICE, CHASE",If I Were Rock & Roll,solo,men,white,LosAngeles,B2Bmen,B2BCombMen,B2BStraight,X
1/7/22,Mount Wilson FM,KKGO-FM,1:12:00 AM,"ALDEAN, JASON",You Make It Easy,solo,men,white,LosAngeles,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Mount Wilson FM,KKGO-FM,1:15:00 AM,"DICKERSON, RUSSELL",Home Sweet,solo,men,white,LosAngeles,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Mount Wilson FM,KKGO-FM,1:18:00 AM,"RODGERS, JAMESON",Some Girls,solo,men,white,LosAngeles,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Mount Wilson FM,KKGO-FM,1:21:00 AM,"LAMBERT, MIRANDA",If I Was A Cowboy,solo,women,white,LosAngeles,X,X,B2BStraight,X
1/7/22,Mount Wilson FM,KKGO-FM,1:24:00 AM,ZAC BROWN BAND,Same Boat,group,men,white,LosAngeles,X,X,B2BStraight,X
1/7/22,Mount Wilson FM,KKGO-FM,1:27:00 AM,"RHETT, THOMAS",Star Of The Show,solo,men,white,LosAngeles,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Mount Wilson FM,KKGO-FM,1:30:00 AM,HARDY,Give Heaven Some Hell,solo,men,white,LosAngeles,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Mount Wilson FM,KKGO-FM,1:34:00 AM,"BROWN, KANE",One Mississippi,solo,men,multiethnic,LosAngeles,B2Bmen,B2BCombMen,B2BStraight,X
1/7/22,Mount Wilson FM,KKGO-FM,1:37:00 AM,"MCCREERY, SCOTTY",You Time,solo,men,white,LosAngeles,B2Bmen,B2BCombMen,B2BStraight,X
1/7/22,Mount Wilson FM,KKGO-FM,1:40:00 AM,"MCGRAW, TIM",7500 OBO,solo,men,white,LosAngeles,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Mount Wilson FM,KKGO-FM,1:45:00 AM,"CHURCH, ERIC",Heart On Fire,solo,men,white,LosAngeles,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Mount Wilson FM,KKGO-FM,1:49:00 AM,"UNDERWOOD, CARRIE",Before He Cheats,solo,women,white,LosAngeles,X,X,B2BStraight,X
1/7/22,Mount Wilson FM,KKGO-FM,1:53:00 AM,"CLARK, CALLISTA",It's 'Cause I Am,solo,women,white,LosAngeles,B2Bwomen,B2BCombWomen,B2BStraight,B2BwhiteWomen
1/7/22,Mount Wilson FM,KKGO-FM,1:55:00 AM,DAN + SHAY,Speechless,duo,men,multiethnic,LosAngeles,X,X,B2BStraight,X
1/7/22,Mount Wilson FM,KKGO-FM,1:59:00 AM,"HUNT, SAM",23,solo,men,white,LosAngeles,B2Bmen,B2BCombMen,B2BStraight,X
1/7/22,Mount Wilson FM,KKGO-FM,2:02:00 AM,"LANE, CHRIS",Fix,solo,men,white,LosAngeles,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Mount Wilson FM,KKGO-FM,2:05:00 AM,LADY ANTEBELLUM,What A Song Can Do,trio,male-female,white,LosAngeles,X,X,B2BStraight,X
1/7/22,Mount Wilson FM,KKGO-FM,2:09:00 AM,"ALDEAN, JASON",When She Says Baby,solo,men,white,LosAngeles,X,X,B2BStraight,X
1/7/22,Mount Wilson FM,KKGO-FM,2:12:00 AM,"KING, ELLE/LAMBERT, MIRANDA",Drunk (And I Don't Wanna Go..),collab,women,white,LosAngeles,X,X,B2BStraight,X
1/7/22,Mount Wilson FM,KKGO-FM,2:16:00 AM,"BENTLEY, DIERKS",Gone,solo,men,white,LosAngeles,X,X,B2BStraight,X
1/7/22,Mount Wilson FM,KKGO-FM,2:19:00 AM,"COMBS, LUKE",One Number Away,solo,men,white,LosAngeles,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Mount Wilson FM,KKGO-FM,2:23:00 AM,"URBAN, KEITH",Wild Hearts,solo,men,white,LosAngeles,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Mount Wilson FM,KKGO-FM,2:26:00 AM,"MOORE, JUSTIN",With A Woman You Love,solo,men,white,LosAngeles,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Mount Wilson FM,KKGO-FM,2:29:00 AM,"BRICE, LEE",Memory I Don't Mess With,solo,men,white,LosAngeles,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Mount Wilson FM,KKGO-FM,2:32:00 AM,"RAY, MICHAEL",Whiskey And Rain,solo,men,white,LosAngeles,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Mount Wilson FM,KKGO-FM,2:35:00 AM,"ALLEN, JIMMIE",Best Shot,solo,men,black,LosAngeles,B2Bmen,B2BCombMen,B2BStraight,X
1/7/22,Mount Wilson FM,KKGO-FM,2:38:00 AM,DAN + SHAY,Steal My Love,duo,men,multiethnic,LosAngeles,B2Bmen,B2BCombMen,B2BStraight,B2BPOCMen
1/7/22,Mount Wilson FM,KKGO-FM,2:41:00 AM,FLORIDA GEORGIA LINE,H.O.L.Y.,duo,men,white,LosAngeles,B2Bmen,B2BCombMen,B2BStraight,X
1/7/22,Mount Wilson FM,KKGO-FM,2:46:00 AM,"STAPLETON, CHRIS",You Should Probably Leave,solo,men,white,LosAngeles,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Mount Wilson FM,KKGO-FM,2:50:00 AM,"DICKERSON, RUSSELL",Every Little Thing,solo,men,white,LosAngeles,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Mount Wilson FM,KKGO-FM,2:53:00 AM,"YOUNG, BRETT",You Didn't,solo,men,white,LosAngeles,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Mount Wilson FM,KKGO-FM,2:56:00 AM,"UNDERWOOD, CARRIE",Cowboy Casanova,solo,women,white,LosAngeles,X,X,B2BStraight,X
1/7/22,Mount Wilson FM,KKGO-FM,3:00:00 AM,"BRYAN, LUKE",Down To One,solo,men,white,LosAngeles,X,X,B2BStraight,X
1/7/22,Mount Wilson FM,KKGO-FM,3:04:00 AM,"PARDI, JON",Tequila Little Time,solo,men,white,LosAngeles,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Mount Wilson FM,KKGO-FM,3:08:00 AM,"BENTLEY, DIERKS/KING, ELLE",Different For Girls,collab,male-female,white,LosAngeles,X,X,B2BStraight,X
1/7/22,Mount Wilson FM,KKGO-FM,3:10:00 AM,PARMALEE,Take My Name,group,men,white,LosAngeles,X,X,B2BStraight,X
1/7/22,Mount Wilson FM,KKGO-FM,3:14:00 AM,"ELDREDGE, BRETT",Love Someone,solo,men,white,LosAngeles,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Mount Wilson FM,KKGO-FM,3:17:00 AM,"SHELTON, BLAKE",Come Back As A Country Boy,solo,men,white,LosAngeles,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Mount Wilson FM,KKGO-FM,3:21:00 AM,LOCASH,One Big Country Song,duo,men,white,LosAngeles,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Mount Wilson FM,KKGO-FM,3:24:00 AM,"OWEN, JAKE",Best Thing Since Backroads,solo,men,white,LosAngeles,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Mount Wilson FM,KKGO-FM,3:27:00 AM,LADY ANTEBELLUM,Like A Lady,trio,male-female,white,LosAngeles,X,X,B2BStraight,X
1/7/22,Mount Wilson FM,KKGO-FM,3:30:00 AM,"PEARCE, CARLY/MCBRYDE, ASHLEY",Never Wanted To Be That Girl,collab,women,white,LosAngeles,X,B2BCombWomen,B2BStraight,X
1/7/22,Mount Wilson FM,KKGO-FM,3:34:00 AM,"DAVIS, JORDAN/BRYAN, LUKE",Buy Dirt,collab,men,white,LosAngeles,X,X,B2BStraight,X
1/7/22,Mount Wilson FM,KKGO-FM,3:36:00 AM,"RODGERS, JAMESON/COMBS, LUKE",Cold Beer Calling…,collab,men,white,LosAngeles,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Mount Wilson FM,KKGO-FM,3:40:00 AM,"WALLEN, MORGAN",Sand In My Boots,solo,men,white,LosAngeles,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Mount Wilson FM,KKGO-FM,3:45:00 AM,"ALLEN, JIMMIE/PAISLEY, BRAD",Freedom Was A Highway,collab,men,multiethnic,LosAngeles,B2Bmen,B2BCombMen,B2BStraight,X
