date,owner,station,time,artist,title,ensemble,gender,race,city,b2b_gender,b2b_combinedGender,b2b_lgbtq,b2b_raceGender
1/7/22,Audacy/Entercom,WPAW-FM,12:02:00 AM,"DAVIS, JORDAN",Singles You Up,solo,men,white,Greensboro,X,X,X,X
1/7/22,Audacy/Entercom,WPAW-FM,12:05:00 AM,"HUNT, SAM",23,solo,men,white,Greensboro,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Audacy/Entercom,WPAW-FM,12:07:00 AM,"YOUNG, BRETT",Lady,solo,men,white,Greensboro,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Audacy/Entercom,WPAW-FM,12:10:00 AM,"MORRIS, MAREN",Circles Around This Town,solo,women,white,Greensboro,X,X,B2BStraight,X
1/7/22,Audacy/Entercom,WPAW-FM,12:14:00 AM,"MCGRAW, TIM",7500 OBO,solo,men,white,Greensboro,X,X,B2BStraight,X
1/7/22,Audacy/Entercom,WPAW-FM,12:17:00 AM,"RAY, MICHAEL",Whiskey And Rain,solo,men,white,Greensboro,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Audacy/Entercom,WPAW-FM,12:21:00 AM,"CARMICHAEL, DILLON",Son Of A,solo,men,white,Greensboro,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Audacy/Entercom,WPAW-FM,12:24:00 AM,"HAYES, WALKER",AA,solo,men,white,Greensboro,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Audacy/Entercom,WPAW-FM,12:27:00 AM,"MCCOLLUM, PARKER",To Be Loved By You,solo,men,white,Greensboro,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Audacy/Entercom,WPAW-FM,12:30:00 AM,"COMBS, LUKE",Forever After All,solo,men,white,Greensboro,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Audacy/Entercom,WPAW-FM,12:34:00 AM,"DICKERSON, RUSSELL",Home Sweet,solo,men,white,Greensboro,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Audacy/Entercom,WPAW-FM,12:37:00 AM,"REXHA, BEBE/FLORIDA GEORGIA LINE",Meant To Be,collab,male-female,white,Greensboro,X,X,B2BStraight,X
1/7/22,Audacy/Entercom,WPAW-FM,12:40:00 AM,"ALAINA, LAUREN/PARDI, JON",Getting Over Him,collab,male-female,white,Greensboro,B2Bmixed,B2BCombWomen,B2BStraight,B2BwhiteMixed
1/7/22,Audacy/Entercom,WPAW-FM,12:45:00 AM,"DICKERSON, RUSSELL",Love You Like I Used To,solo,men,white,Greensboro,X,X,B2BStraight,X
