date,owner,station,time,artist,title,ensemble,gender,race,city,b2b_gender,b2b_combinedGender,b2b_lgbtq,b2b_raceGender
1/7/22,Steel City,KBEQ-FM,12:03:00 AM,"EVANS, MORGAN",Love Is Real,solo,men,white,KansasCity,X,X,X,X
1/7/22,Steel City,KBEQ-FM,12:06:00 AM,"PEARCE, CARLY/MCBRYDE, ASHLEY",Never Wanted To Be That Girl,collab,women,white,KansasCity,X,X,B2BStraight,X
1/7/22,Steel City,KBEQ-FM,12:09:00 AM,"GRIFFIN, RYAN","Salt, Lime & Tequila",solo,men,white,KansasCity,X,X,B2BStraight,X
1/7/22,Steel City,KBEQ-FM,12:12:00 AM,"WALLEN, MORGAN",Sand In My Boots,solo,men,white,KansasCity,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Steel City,KBEQ-FM,12:15:00 AM,"RAY, FRANK",Country'd Look Good On You,solo,men,hispanic,KansasCity,B2Bmen,B2BCombMen,B2BStraight,X
1/7/22,Steel City,KBEQ-FM,12:21:00 AM,MIDLAND,Sunrise Tells The Story,trio,men,white,KansasCity,B2Bmen,B2BCombMen,B2BStraight,X
1/7/22,Steel City,KBEQ-FM,12:24:00 AM,"JOHNSON, CODY",Til You Can't,solo,men,white,KansasCity,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Steel City,KBEQ-FM,12:27:00 AM,"ELLIS, HANNAH",Us,solo,women,white,KansasCity,X,X,B2BStraight,X
1/7/22,Steel City,KBEQ-FM,12:30:00 AM,"RAY, MICHAEL",Whiskey And Rain,solo,men,white,KansasCity,X,X,B2BStraight,X
1/7/22,Steel City,KBEQ-FM,12:34:00 AM,"MICHELSON, JACKSON",Tip Jar,solo,men,white,KansasCity,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Steel City,KBEQ-FM,12:40:00 AM,PARMALEE,Take My Name,group,men,white,KansasCity,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Steel City,KBEQ-FM,12:43:00 AM,DAN + SHAY,Steal My Love,duo,men,multiethnic,KansasCity,B2Bmen,B2BCombMen,B2BStraight,X
1/7/22,Steel City,KBEQ-FM,12:45:00 AM,HARDY,Give Heaven Some Hell,solo,men,white,KansasCity,B2Bmen,B2BCombMen,B2BStraight,X
1/7/22,Steel City,KBEQ-FM,12:49:00 AM,"LANE, CHRIS",Fill Them Boots,solo,men,white,KansasCity,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Steel City,KBEQ-FM,12:51:00 AM,"SHELTON, BLAKE",Come Back As A Country Boy,solo,men,white,KansasCity,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Steel City,KBEQ-FM,12:55:00 AM,"MARLOWE, KAMERON",Giving You Up,solo,men,white,KansasCity,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Steel City,KBEQ-FM,12:59:00 AM,"BOOTH, LACI KAYE",Shuffle,solo,women,white,KansasCity,X,X,B2BStraight,X
1/7/22,Steel City,KBEQ-FM,1:02:00 AM,"MCGRAW, TIM",7500 OBO,solo,men,white,KansasCity,X,X,B2BStraight,X
1/7/22,Steel City,KBEQ-FM,1:05:00 AM,"BALLERINI, KELSEA/CHESNEY, KENNY",Half Of My Hometown ,collab,male-female,white,KansasCity,X,X,B2BStraight,X
1/7/22,Steel City,KBEQ-FM,1:09:00 AM,"RICE, CHASE",If I Were Rock & Roll,solo,men,white,KansasCity,X,X,B2BStraight,X
1/7/22,Steel City,KBEQ-FM,1:12:00 AM,"PARDI, JON",Tequila Little Time,solo,men,white,KansasCity,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Steel City,KBEQ-FM,1:16:00 AM,"SMITH, CONNER",Learn From It,solo,men,white,KansasCity,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Steel City,KBEQ-FM,1:22:00 AM,OLD DOMINION,No Hard Feelings,group,men,white,KansasCity,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Steel City,KBEQ-FM,1:25:00 AM,"CLARK, CALLISTA",It's 'Cause I Am,solo,women,white,KansasCity,X,X,B2BStraight,X
1/7/22,Steel City,KBEQ-FM,1:28:00 AM,"MOON, NIKO",Paradise To Me,solo,men,white,KansasCity,X,X,B2BStraight,X
1/7/22,Steel City,KBEQ-FM,1:31:00 AM,"PARKER, DREW",While You're Gone,solo,men,white,KansasCity,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Steel City,KBEQ-FM,1:35:00 AM,"STAPLETON, CHRIS",You Should Probably Leave,solo,men,white,KansasCity,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Steel City,KBEQ-FM,1:38:00 AM,"WADE, MORGAN",Wilder Days,solo,women,white,KansasCity,X,X,B2BStraight,X
1/7/22,Steel City,KBEQ-FM,1:46:00 AM,"SWINDELL, COLE/WILSON, LAINEY",Never Say Never,collab,male-female,white,KansasCity,X,B2BCombWomen,B2BStraight,X
1/7/22,Steel City,KBEQ-FM,1:49:00 AM,"BRICE, LEE",Soul,solo,men,white,KansasCity,X,X,B2BStraight,X
1/7/22,Steel City,KBEQ-FM,1:51:00 AM,"OWEN, JAKE",Best Thing Since Backroads,solo,men,white,KansasCity,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Steel City,KBEQ-FM,1:55:00 AM,"TENPENNY, MITCHELL",Truth About You,solo,men,white,KansasCity,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,Steel City,KBEQ-FM,1:58:00 AM,"HUNT, SAM",23,solo,men,white,KansasCity,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
