date,owner,station,time,artist,title,ensemble,gender,race,city,b2b_gender,b2b_combinedGender,b2b_lgbtq,b2b_raceGender
1/7/22,iHeartMedia,WFUS-FM,12:02:00 AM,"JANSON, CHRIS",Bye Mom,solo,men,white,Tampa,X,X,X,X
1/7/22,iHeartMedia,WFUS-FM,12:08:00 AM,"URBAN, KEITH",Cop Car,solo,men,white,Tampa,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,iHeartMedia,WFUS-FM,12:13:00 AM,"ALDEAN, JASON/UNDERWOOD, CARRIE",If I Didn't Love You,collab,male-female,white,Tampa,X,X,B2BStraight,X
1/7/22,iHeartMedia,WFUS-FM,12:16:00 AM,"DICKERSON, RUSSELL",Home Sweet,solo,men,white,Tampa,X,X,B2BStraight,X
1/7/22,iHeartMedia,WFUS-FM,12:19:00 AM,"BRYAN, LUKE",Up,solo,men,white,Tampa,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,iHeartMedia,WFUS-FM,12:22:00 AM,"SHELTON, BLAKE",Boys 'Round Here,solo,men,white,Tampa,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,iHeartMedia,WFUS-FM,12:26:00 AM,"RAY, MICHAEL",Whiskey And Rain,solo,men,white,Tampa,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,iHeartMedia,WFUS-FM,12:29:00 AM,"LYNCH, DUSTIN/PORTER, MACKENZIE",Thinking 'Bout You,collab,male-female,white,Tampa,X,X,B2BStraight,X
1/7/22,iHeartMedia,WFUS-FM,12:32:00 AM,"KING, ELLE/LAMBERT, MIRANDA",Drunk (And I Don't Wanna Go..),collab,women,white,Tampa,X,B2BCombWomen,B2BStraight,X
1/7/22,iHeartMedia,WFUS-FM,12:41:00 AM,"SCOTT, DYLAN",New Truck,solo,men,white,Tampa,X,X,B2BStraight,X
1/7/22,iHeartMedia,WFUS-FM,12:43:00 AM,"COMBS, LUKE",Forever After All,solo,men,white,Tampa,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,iHeartMedia,WFUS-FM,12:47:00 AM,"MCCOLLUM, PARKER",To Be Loved By You,solo,men,white,Tampa,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,iHeartMedia,WFUS-FM,12:50:00 AM,"OWEN, JAKE",Best Thing Since Backroads,solo,men,white,Tampa,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,iHeartMedia,WFUS-FM,12:53:00 AM,"WALLEN, MORGAN",Chasin' You,solo,men,white,Tampa,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,iHeartMedia,WFUS-FM,12:56:00 AM,"ALDEAN, JASON",Burnin' It Down,solo,men,white,Tampa,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,iHeartMedia,WFUS-FM,1:00:00 AM,"DAVIS, JORDAN/BRYAN, LUKE",Buy Dirt,collab,men,white,Tampa,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,iHeartMedia,WFUS-FM,1:03:00 AM,"SWINDELL, COLE",Single Saturday Night,solo,men,white,Tampa,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,iHeartMedia,WFUS-FM,1:06:00 AM,"YOUNG, CHRIS/TENPENNY, MITCHELL",At The End Of A Bar,collab,men,white,Tampa,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,iHeartMedia,WFUS-FM,1:13:00 AM,"MCGRAW, TIM",7500 OBO,solo,men,white,Tampa,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,iHeartMedia,WFUS-FM,1:17:00 AM,"CHURCH, ERIC",Drink In My Hand,solo,men,white,Tampa,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,iHeartMedia,WFUS-FM,1:20:00 AM,"PARDI, JON",Tequila Little Time,solo,men,white,Tampa,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,iHeartMedia,WFUS-FM,1:23:00 AM,"PEARCE, CARLY/MCBRYDE, ASHLEY",Never Wanted To Be That Girl,collab,women,white,Tampa,X,X,B2BStraight,X
1/7/22,iHeartMedia,WFUS-FM,1:27:00 AM,"URBAN, KEITH",Long Hot Summer,solo,men,white,Tampa,X,X,B2BStraight,X
1/7/22,iHeartMedia,WFUS-FM,1:31:00 AM,"RHETT, THOMAS",Slow Down Summer,solo,men,white,Tampa,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,iHeartMedia,WFUS-FM,1:35:00 AM,"MCCREERY, SCOTTY",You Time,solo,men,white,Tampa,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,iHeartMedia,WFUS-FM,1:38:00 AM,"HUNT, SAM",23,solo,men,white,Tampa,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,iHeartMedia,WFUS-FM,1:45:00 AM,"BROWN, KANE",One Mississippi,solo,men,multiethnic,Tampa,B2Bmen,B2BCombMen,B2BStraight,X
1/7/22,iHeartMedia,WFUS-FM,1:48:00 AM,"LYNCH, DUSTIN",Small Town Boy,solo,men,white,Tampa,B2Bmen,B2BCombMen,B2BStraight,X
1/7/22,iHeartMedia,WFUS-FM,1:51:00 AM,"SHELTON, BLAKE",Come Back As A Country Boy,solo,men,white,Tampa,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,iHeartMedia,WFUS-FM,1:55:00 AM,"COMBS, LUKE",Cold As You,solo,men,white,Tampa,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,iHeartMedia,WFUS-FM,1:58:00 AM,"BRYAN, LUKE",Waves,solo,men,white,Tampa,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,iHeartMedia,WFUS-FM,2:01:00 AM,"CHESNEY, KENNY",Knowing You,solo,men,white,Tampa,B2Bmen,B2BCombMen,B2BStraight,B2BwhiteMen
1/7/22,iHeartMedia,WFUS-FM,2:05:00 AM,"PARMALEE/BROWN, BLANCO",Just The Way,collab,men,multiethnic,Tampa,B2Bmen,B2BCombMen,B2BStraight,X
1/7/22,iHeartMedia,WFUS-FM,2:08:00 AM,"JOHNSON, CODY",Til You Can't,solo,men,white,Tampa,B2Bmen,B2BCombMen,B2BStraight,X
1/7/22,iHeartMedia,WFUS-FM,2:15:00 AM,"ALLEN, JIMMIE/PAISLEY, BRAD",Freedom Was A Highway,collab,men,multiethnic,Tampa,B2Bmen,B2BCombMen,B2BStraight,X
1/7/22,iHeartMedia,WFUS-FM,2:19:00 AM,"BENTLEY, DIERKS",What Was I Thinkin',solo,men,white,Tampa,B2Bmen,B2BCombMen,B2BStraight,X
