cityName,stationName,ownerName,total_COUNT,onlyWomenSongs_COUNT,onlyWomenSongs_PERCENT,b2bWomenSongs_COUNT,b2bWomenSongs_PERCENT,onlyMenSongs_COUNT,onlyMenSongs_PERCENT,b2bMenSongs_COUNT,b2bMenSongs_PERCENT,onlyMixedGenderSongs_COUNT,onlyMixedGenderSongs_PERCENT,b2bMixedGenderSongs_COUNT,b2bMixedGenderSongs_PERCENT,onlyCombinedGenderSongs_COUNT,onlyCombinedGenderSongs_PERCENT,b2bCombinedGenderSongs_COUNT,b2bCombinedGenderSongs_PERCENT,onlyCollabGenderSongs_COUNT,onlyCollabGenderSongs_PERCENT,b2bCollabGenderSongs_COUNT,b2bCollabGenderSongs_PERCENT,onlyMixedNOCollabGenderSongs_COUNT,onlyMixedNOCollabGenderSongs_PERCENT,b2bMixedNOCollabGenderSongs_COUNT,b2bMixedNOCollabGenderSongs_PERCENT,onlyLGBTQSongs_COUNT,onlyLGBTQSongs_PERCENT,b2bLGBTQSongs_COUNT,b2bLGBTQSongs_PERCENT,onlyStraightSongs_COUNT,onlyStraightSongs_PERCENT,b2bStraightSongs_COUNT,b2bStraightSongs_PERCENT,onlyPOCMenSongs_COUNT,onlyPOCMenSongs_PERCENT,b2bPOCMenSongs_COUNT,b2bPOCMenSongs_PERCENT,onlyPOCWomenSongs_COUNT,onlyPOCWomenSongs_PERCENT,b2bPOCWomenSongs_COUNT,b2bPOCWomenSongs_PERCENT,onlyPOCMixedSongs_COUNT,onlyPOCMixedSongs_PERCENT,b2bPOCMixedSongs_COUNT,b2bPOCMixedSongs_PERCENT,onlyWhiteMenSongs_COUNT,onlyWhiteMenSongs_PERCENT,b2bWhiteMenSongs_COUNT,b2bWhiteMenSongs_PERCENT,onlyWhiteWomenSongs_COUNT,onlyWhiteWomenSongs_PERCENT,b2bWhiteWomenSongs_COUNT,b2bWhiteWomenSongs_PERCENT,onlyWhiteMixedGenderSongs_COUNT,onlyWhiteMixedGenderSongs_PERCENT,b2bWhiteMixedGenderSongs_COUNT,b2bWhiteMixedGenderSongs_PERCENT,OVNwomenSongs_COUNT,OVNwomenSongs_PERCENT,b2bOVNwomenSongs_COUNT,b2bOVNwomenSongs_PERCENT,AMDwomenSongs_COUNT,AMDwomenSongs_PERCENT,b2bAMDwomenSongs_COUNT,b2bAMDwomenSongs_PERCENT,MIDwomenSongs_COUNT,MIDwomenSongs_PERCENT,b2bMIDwomenSongs_COUNT,b2bMIDwomenSongs_PERCENT,PMDwomenSongs_COUNT,PMDwomenSongs_PERCENT,b2bPMDwomenSongs_COUNT,b2bPMDwomenSongs_PERCENT,EVEwomenSongs_COUNT,EVEwomenSongs_PERCENT,b2bEVEwomenSongs_COUNT,b2bEVEwomenSongs_PERCENT,GwomenSongs_COUNT,GwomenSongs_PERCENT,b2bGwomenSongs_COUNT,b2bGwomenSongs_PERCENT,RwomenSongs_COUNT,RwomenSongs_PERCENT,b2bRwomenSongs_COUNT,b2bRwomenSongs_PERCENT,CwomenSongs_COUNT,CwomenSongs_PERCENT,b2bCwomenSongs_COUNT,b2bCwomenSongs_PERCENT
Austin,KASE-FM,iHeartMedia,5876,581,9.887678692988427,49,0.8339006126616746,4821,82.04560925799865,3864,65.75901974132063,474,8.066712049012933,17,0.2893124574540504,1055,17.95439074200136,114,1.9400953029271615,976,16.60993873383254,105,1.786929884275017,79,1.3444520081688223,0,0,17,0.2893124574540504,0,0,5859,99.71068754254595,5823,99.09802586793737,400,6.8073519400953035,26,0.4424778761061947,0,0,0,0,18,0.3063308373042886,0,0,4421,75.23825731790333,3267,55.59904697072838,581,9.887678692988427,49,0.8339006126616746,456,7.760381211708646,16,0.2722940776038121,224,38.55421686746988,27,55.10204081632652,73,12.564543889845096,12,24.489795918367346,95,16.351118760757316,1,2.0408163265306123,65,11.187607573149743,5,10.204081632653061,124,21.34251290877797,4,8.16326530612245,205,35.28399311531842,13,26.53061224489796,237,40.79173838209983,19,38.775510204081634,139,23.924268502581754,17,34.69387755102041
Austin,KVET-FM,iHeartMedia,5842,746,12.769599452242383,5,0.08558712769599452,4818,82.47175624786031,3800,65.04621704895584,274,4.6901745977405,1,0.017117425539198903,1020,17.459774049982883,16,0.27387880862718245,828,14.173228346456693,12,0.20540910647038688,192,3.28654570352619,1,0.017117425539198903,0,0,0,0,5842,100,5823,99.67476891475522,124,2.1225607668606643,2,0.034234851078397806,0,0,0,0,1,0.017117425539198903,0,0,4694,80.34919548099965,3604,61.691201643272855,746,12.769599452242383,5,0.08558712769599452,273,4.673057172201301,1,0.017117425539198903,204,27.34584450402145,1,20,102,13.672922252010725,2,40,158,21.179624664879356,0,0,119,15.951742627345844,1,20,163,21.84986595174263,1,20,746,100,5,100,0,0,0,0,0,0,0,0
Charlotte,WKKT-FM,iHeartMedia,6118,441,7.208237986270023,19,0.3105590062111801,5108,83.49133703824779,4174,68.22491010134031,569,9.300424975482183,31,0.5067015364498202,1010,16.508662961752208,94,1.5364498202026806,942,15.397188623733246,88,1.4383785550833605,68,1.1114743380189605,0,0,1,0.016345210853220007,0,0,6117,99.98365478914678,6097,99.65675057208237,370,6.047728015691402,13,0.21248774109186006,2,0.032690421706440015,0,0,28,0.4576659038901602,0,0,4738,77.44360902255639,3568,58.319712324288986,439,7.175547564563583,19,0.3105590062111801,541,8.842759071592024,24,0.3922850604772802,184,41.723356009070294,18,94.73684210526315,40,9.070294784580499,1,5.263157894736842,84,19.047619047619047,0,0,49,11.11111111111111,0,0,84,19.047619047619047,0,0,147,33.33333333333333,2,10.526315789473683,204,46.25850340136054,9,47.368421052631575,90,20.408163265306122,8,42.10526315789473
Charlotte,WSOC-FM,Beasley,6454,560,8.676789587852495,25,0.3873566780291292,5218,80.84908583823986,4151,64.31670281995662,676,10.474124573907655,47,0.7282305546947629,1236,19.15091416176015,182,2.8199566160520604,1130,17.50852184691664,151,2.3396343352959406,106,1.642392314843508,1,0.015494267121165169,9,0.13944840409048653,0,0,6445,99.86055159590951,6417,99.4267121165169,482,7.4682367524016104,24,0.37186241090796407,5,0.07747133560582584,0,0,14,0.21691973969631237,0,0,4736,73.38084908583824,3410,52.83545088317323,555,8.599318252246668,25,0.3873566780291292,662,10.257204834211342,46,0.7127362875735977,225,40.17857142857143,13,52,51,9.107142857142856,0,0,92,16.428571428571427,2,8,58,10.357142857142858,0,0,134,23.92857142857143,10,40,97,17.32142857142857,0,0,327,58.392857142857146,18,72,136,24.285714285714285,7,28.000000000000004
Chicago,WUSN-FM,Audacy/Entercom,6619,786,11.87490557486025,79,1.1935337664299743,5298,80.04230246260764,4187,63.25728962078864,535,8.082791962532104,36,0.5438888049554313,1321,19.957697537392356,217,3.278440852092461,1267,19.14186432995921,197,2.9762804048949993,54,0.815833207433147,0,0,33,0.49856473787581207,1,0.015108022359873092,6586,99.50143526212418,6535,98.73092612177065,623,9.412297930200937,45,0.6798610061942891,0,0,0,0,30,0.4532406707961928,0,0,4675,70.63000453240672,3244,49.01042453542831,786,11.87490557486025,79,1.1935337664299743,505,7.629551291735911,27,0.4079166037165735,263,33.460559796437664,32,40.50632911392405,86,10.941475826972011,12,15.18987341772152,155,19.720101781170484,10,12.658227848101266,92,11.704834605597965,6,7.59493670886076,190,24.173027989821882,19,24.050632911392405,157,19.974554707379134,12,15.18987341772152,442,56.234096692111954,45,56.9620253164557,187,23.791348600508904,22,27.848101265822784
Cincinnati,WNNF-FM,Cumulus,6060,621,10.247524752475247,14,0.23102310231023102,4949,81.66666666666667,3922,64.71947194719472,490,8.085808580858085,24,0.39603960396039606,1111,18.333333333333332,95,1.5676567656765676,962,15.874587458745875,77,1.2706270627062706,149,2.458745874587459,0,0,5,0.08250825082508251,0,0,6055,99.91749174917491,6031,99.52145214521451,346,5.70957095709571,19,0.31353135313531355,0,0,0,0,19,0.31353135313531355,0,0,4603,75.95709570957095,3403,56.15511551155116,621,10.247524752475247,14,0.23102310231023102,471,7.772277227722772,22,0.36303630363036304,201,32.367149758454104,11,78.57142857142857,71,11.43317230273752,2,14.285714285714285,134,21.578099838969404,0,0,106,17.06924315619968,1,7.142857142857142,109,17.55233494363929,0,0,411,66.18357487922705,4,28.57142857142857,153,24.637681159420293,7,50,57,9.178743961352657,3,21.428571428571427
Cincinnati,WUBE-FM,Hubbard,6221,648,10.41633177945668,2,0.032149172158816915,5024,80.75872046294808,3833,61.61388844237261,549,8.824947757595242,4,0.06429834431763383,1197,19.24127953705192,19,0.30541713550876065,1139,18.30895354444623,15,0.24111879119112684,58,0.9323259926056904,0,0,3,0.04822375823822536,0,0,6218,99.95177624176176,6196,99.5981353480148,417,6.703102395113326,29,0.4661629963028452,0,0,0,0,45,0.7233563735733805,0,0,4607,74.05561806783474,3221,51.776241761774635,648,10.41633177945668,2,0.032149172158816915,504,8.10159138402186,4,0.06429834431763383,198,30.555555555555557,2,100,71,10.95679012345679,0,0,142,21.91358024691358,0,0,94,14.506172839506174,0,0,143,22.067901234567902,0,0,199,30.709876543209873,0,0,372,57.407407407407405,1,50,77,11.882716049382717,1,50
Cincinnati,WYGY-FM,Hubbard,6696,751,11.215651135005974,13,0.19414575866188769,5607,83.73655913978494,4581,68.41397849462365,338,5.04778972520908,11,0.16427718040621267,1089,16.263440860215052,75,1.1200716845878136,953,14.232377538829152,50,0.7467144563918757,136,2.031063321385902,0,0,14,0.2090800477897252,0,0,6682,99.79091995221027,6651,99.32795698924731,235,3.5095579450418164,7,0.1045400238948626,0,0,0,0,15,0.2240143369175627,0,0,5372,80.22700119474312,4215,62.94802867383512,751,11.215651135005974,13,0.19414575866188769,323,4.8237753882915175,9,0.13440860215053765,192,25.5659121171771,2,15.384615384615385,124,16.511318242343542,2,15.384615384615385,154,20.505992010652463,0,0,134,17.842876165113182,4,30.76923076923077,147,19.573901464713714,5,38.46153846153847,661,88.01597869507324,8,61.53846153846154,90,11.984021304926765,5,38.46153846153847,0,0,0,0
Columbus,WCOL-FM,iHeartMedia,5571,450,8.077544426494345,11,0.1974510859809729,4624,83.00125650691079,3752,67.34877041823731,497,8.921199066594866,33,0.5923532579429186,947,16.99874349308921,91,1.633458984024412,878,15.760186681026745,83,1.4898581942200682,69,1.2385568120624662,0,0,5,0.08975049362771495,0,0,5566,99.91024950637228,5542,99.47944713695925,368,6.60563633099982,14,0.2513013821576019,0,0,0,0,29,0.5205528630407468,0,0,4256,76.39562017591098,3151,56.56076108418596,450,8.077544426494345,11,0.1974510859809729,468,8.40064620355412,29,0.5205528630407468,161,35.77777777777777,6,54.54545454545454,48,10.666666666666668,2,18.181818181818183,82,18.22222222222222,1,9.090909090909092,69,15.333333333333332,1,9.090909090909092,90,20,1,9.090909090909092,110,24.444444444444443,4,36.36363636363637,248,55.111111111111114,5,45.45454545454545,92,20.444444444444446,2,18.181818181818183
Dallas,KPLX-FM,Cumulus,6028,699,11.59588586595886,15,0.24883875248838755,5002,82.9794293297943,4023,66.73855341738553,327,5.424684804246848,9,0.14930325149303253,1026,17.020570670205707,55,0.9124087591240875,894,14.830789648307896,44,0.7299270072992701,132,2.18978102189781,1,0.0165892501658925,22,0.36496350364963503,0,0,6006,99.63503649635037,5965,98.95487723954878,206,3.417385534173855,8,0.13271400132714,0,0,0,0,0,0,0,0,4796,79.56204379562044,3707,61.496350364963504,699,11.59588586595886,15,0.24883875248838755,327,5.424684804246848,9,0.14930325149303253,195,27.896995708154503,9,60,88,12.589413447782546,2,13.333333333333334,155,22.17453505007153,1,6.666666666666667,111,15.879828326180256,3,20,150,21.45922746781116,0,0,558,79.82832618025752,8,53.333333333333336,109,15.593705293276109,4,26.666666666666668,32,4.57796852646638,3,20
