city,station,obs,bin,count
San Antonio,KAJA-FM,37,bin0,0
San Antonio,KAJA-FM,37,bin5,0
San Antonio,KAJA-FM,37,bin10,0
San Antonio,KAJA-FM,37,bin15,0
San Antonio,KAJA-FM,37,bin20,0
San Antonio,KAJA-FM,37,bin25,2
San Antonio,KAJA-FM,37,bin30,8
San Antonio,KAJA-FM,37,bin35,37
San Antonio,KAJA-FM,37,bin40,135
San Antonio,KAJA-FM,37,bin45,233
San Antonio,KAJA-FM,37,bin50,261
San Antonio,KAJA-FM,37,bin55,188
San Antonio,KAJA-FM,37,bin60,82
San Antonio,KAJA-FM,37,bin65,39
San Antonio,KAJA-FM,37,bin70,11
San Antonio,KAJA-FM,37,bin75,3
San Antonio,KAJA-FM,37,bin80,1
San Antonio,KAJA-FM,37,bin85,0
San Antonio,KAJA-FM,37,bin90,0
San Antonio,KAJA-FM,37,bin95,0
San Antonio,KAJA-FM,37,bin100,0
San Antonio,KAJA-FM,37,bin105,0
San Antonio,KAJA-FM,37,bin110,0
San Antonio,KAJA-FM,37,bin115,0
San Antonio,KAJA-FM,37,bin120,0
San Antonio,KAJA-FM,37,bin125,0
San Antonio,KAJA-FM,37,bin130,0
San Antonio,KAJA-FM,37,bin135,0
San Antonio,KAJA-FM,37,bin140,0
San Antonio,KAJA-FM,37,bin145,0
San Antonio,KAJA-FM,37,bin150,0
San Antonio,KAJA-FM,37,bin155,0
San Antonio,KAJA-FM,37,bin160,0
San Antonio,KAJA-FM,37,bin165,0
San Antonio,KAJA-FM,37,bin170,0
San Antonio,KAJA-FM,37,bin175,0
San Antonio,KAJA-FM,37,bin180,0
San Antonio,KAJA-FM,37,bin185,0
San Antonio,KAJA-FM,37,bin190,0
San Antonio,KAJA-FM,37,bin195,0
San Antonio,KAJA-FM,37,bin200,0
San Antonio,KAJA-FM,37,bin205,0
San Antonio,KAJA-FM,37,bin210,0
San Antonio,KAJA-FM,37,bin215,0
San Antonio,KAJA-FM,37,bin220,0
San Antonio,KAJA-FM,37,bin225,0
Austin,KASE-FM,49,bin0,0
Austin,KASE-FM,49,bin5,0
Austin,KASE-FM,49,bin10,0
Austin,KASE-FM,49,bin15,0
Austin,KASE-FM,49,bin20,0
Austin,KASE-FM,49,bin25,1
Austin,KASE-FM,49,bin30,0
Austin,KASE-FM,49,bin35,2
Austin,KASE-FM,49,bin40,11
Austin,KASE-FM,49,bin45,40
Austin,KASE-FM,49,bin50,146
Austin,KASE-FM,49,bin55,212
Austin,KASE-FM,49,bin60,240
Austin,KASE-FM,49,bin65,188
Austin,KASE-FM,49,bin70,99
Austin,KASE-FM,49,bin75,39
Austin,KASE-FM,49,bin80,15
Austin,KASE-FM,49,bin85,7
Austin,KASE-FM,49,bin90,0
Austin,KASE-FM,49,bin95,0
Austin,KASE-FM,49,bin100,0
Austin,KASE-FM,49,bin105,0
Austin,KASE-FM,49,bin110,0
Austin,KASE-FM,49,bin115,0
Austin,KASE-FM,49,bin120,0
Austin,KASE-FM,49,bin125,0
Austin,KASE-FM,49,bin130,0
Austin,KASE-FM,49,bin135,0
Austin,KASE-FM,49,bin140,0
Austin,KASE-FM,49,bin145,0
Austin,KASE-FM,49,bin150,0
Austin,KASE-FM,49,bin155,0
Austin,KASE-FM,49,bin160,0
