Date,Weekday,Dayparts,OWNER,Station,Time Played,Artist,Title,Rel. Date,GRC,genre,ensemble,gender,race,city,b2b_gender
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,2:31:00 AM,"SWINDELL, COLE/WILSON, LAINEY",Never Say Never,2021,R,c-,collab,male-female,white,Tampa,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,2:34:00 AM,"BRYAN, LUKE",Crash My Party,2013,G,c-,solo,men,white,Tampa,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,2:38:00 AM,BROTHERS OSBORNE,I'm Not For Everyone,2020,C,c-,duo,men,white,Tampa,B2Bmen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,2:45:00 AM,OLD DOMINION,No Hard Feelings,2021,R,c-,group,men,white,Tampa,B2Bmen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,2:48:00 AM,"LYNCH, DUSTIN/PORTER, MACKENZIE",Thinking 'Bout You,2020,R,c-,collab,male-female,white,Tampa,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,2:51:00 AM,"WALLEN, MORGAN",Sand In My Boots,2021,R,c-,solo,men,white,Tampa,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,2:54:00 AM,"GRACIN, JOSH",Nothin' To Lose,2004,G,c-,solo,men,white,Tampa,B2Bmen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,2:56:00 AM,"ALDEAN, JASON/UNDERWOOD, CARRIE",If I Didn't Love You,2021,R,c-,collab,male-female,white,Tampa,B2Bmen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,3:00:00 AM,"COMBS, LUKE",Forever After All,2020,R,c-,solo,men,white,Tampa,B2Bmen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,3:04:00 AM,"PARDI, JON",Tequila Little Time,2019,R,c-,solo,men,white,Tampa,B2Bmen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,3:07:00 AM,"BALLERINI, KELSEA/CHESNEY, KENNY",Half Of My Hometown,2020,R,c-,collab,male-female,white,Tampa,B2Bmen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,3:15:00 AM,"RAY, MICHAEL",Whiskey And Rain,2020,R,c-,solo,men,white,Tampa,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,3:18:00 AM,"BRYAN, LUKE",One Margarita,2020,G,c-,solo,men,white,Tampa,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,3:22:00 AM,"BENTLEY, DIERKS/BRELAND/HARDY",Beers On Me,2021,R,c-,collab,men,multiethnic,Tampa,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,3:24:00 AM,"CHURCH, ERIC",Heart On Fire,2021,R,c-,solo,men,white,Tampa,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,3:29:00 AM,KID ROCK,Picture,2001,G,c-,solo,men,white,Tampa,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,3:32:00 AM,"URBAN, KEITH",Wild Hearts,2021,R,c-,solo,men,white,Tampa,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,3:35:00 AM,"BARRETT, GABBY",I Hope,2019,G,c-,solo,women,white,Tampa,B2Bmen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,3:38:00 AM,DAN + SHAY,Steal My Love,2021,R,c-,duo,men,multiethnic,Tampa,B2Bmen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,3:46:00 AM,"KEITH, TOBY",Old School,2021,C,c-,solo,men,white,Tampa,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,3:49:00 AM,"COMBS, LUKE",Cold As You,2020,R,c-,solo,men,white,Tampa,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,3:52:00 AM,"ALAINA, LAUREN/PARDI, JON",Getting Over Him,2020,R,c-,collab,male-female,white,Tampa,B2Bmen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,3:55:00 AM,"MCCREERY, SCOTTY",See You Tonight,2013,G,c-,solo,men,white,Tampa,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,3:59:00 AM,"YOUNG, CHRIS/BROWN, KANE",Famous Friends,2020,R,c-,collab,men,multiethnic,Tampa,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,4:02:00 AM,"CHESNEY, KENNY",Knowing You,2020,R,c-,solo,men,white,Tampa,B2Bmen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,4:05:00 AM,"KING, ELLE/LAMBERT, MIRANDA",Drunk (And I Don't Wanna Go..),2021,R,c-,collab,women,white,Tampa,B2Bmen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,4:09:00 AM,"JANSON, CHRIS",Bye Mom,2021,R,c-,solo,men,white,Tampa,B2Bmen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,4:17:00 AM,"BRICE, LEE",Hard To Love,2012,G,c-,solo,men,white,Tampa,B2Bmen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,4:21:00 AM,"RICE, CHASE/FLORIDA GEORGIA LINE",Drinkin' Beer Talkin' God Amen,2020,R,c-,collab,men,white,Tampa,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,4:23:00 AM,"DICKERSON, RUSSELL",Home Sweet,2020,R,c-,solo,men,white,Tampa,B2Bwomen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,4:27:00 AM,"BRYAN, LUKE",Up,2021,R,c-,solo,men,white,Tampa,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,4:29:00 AM,"COMBS, LUKE",Hurricane,2015,G,c-,solo,men,white,Tampa,B2Bmen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,4:33:00 AM,"OWEN, JAKE",Best Thing Since Backroads,2021,R,c-,solo,men,white,Tampa,B2Bmen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,4:36:00 AM,"LYNCH, DUSTIN/PORTER, MACKENZIE",Thinking 'Bout You,2020,R,c-,collab,male-female,white,Tampa,B2Bmen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,4:38:00 AM,"CLARK, CALLISTA",It's 'Cause I Am,2021,R,c-,solo,women,white,Tampa,B2Bmen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,4:45:00 AM,"SCOTT, DYLAN",New Truck,2021,R,c-,solo,men,white,Tampa,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,4:48:00 AM,ZAC BROWN BAND,Same Boat,2021,R,c-,group,men,white,Tampa,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,4:51:00 AM,"LAMBERT, MIRANDA",If I Was A Cowboy,2021,R,c-,solo,women,white,Tampa,B2Bmen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,4:54:00 AM,"HUNT, SAM",23,2021,R,c-,solo,men,white,Tampa,B2Bmen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,4:57:00 AM,"ALDEAN, JASON/UNDERWOOD, CARRIE",If I Didn't Love You,2021,R,c-,collab,male-female,white,Tampa,B2Bmen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,5:07:00 AM,"WALLEN, MORGAN",Whiskey Glasses,2016,G,c-,solo,men,white,Tampa,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,5:11:00 AM,"DAVIS, JORDAN/BRYAN, LUKE",Buy Dirt,2021,R,c-,collab,men,white,Tampa,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,5:13:00 AM,FLORIDA GEORGIA LINE,Sippin' On Fire,2014,G,c-,duo,men,white,Tampa,B2Bmen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,5:17:00 AM,"COMBS, LUKE",Forever After All,2020,R,c-,solo,men,white,Tampa,B2Bmen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,5:29:00 AM,"PARDI, JON",Tequila Little Time,2019,R,c-,solo,men,white,Tampa,B2Bmen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,5:32:00 AM,"PAISLEY, BRAD",The World,2005,G,c-,solo,men,white,Tampa,B2Bmen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,5:36:00 AM,"STAPLETON, CHRIS",You Should Probably Leave,2020,R,c-,solo,men,white,Tampa,B2Bmen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,5:39:00 AM,"MCCOLLUM, PARKER",To Be Loved By You,2020,R,c-,solo,men,white,Tampa,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,5:43:00 AM,"BRICE, LEE",Memory I Don't Mess With,2020,R,c-,solo,men,white,Tampa,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,5:45:00 AM,LADY ANTEBELLUM,Downtown,2013,G,c-,trio,male-female,white,Tampa,B2Bmen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,5:49:00 AM,"RHETT, THOMAS",Slow Down Summer,2021,R,c-,solo,men,white,Tampa,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,5:52:00 AM,"BENTLEY, DIERKS",Gone,2020,R,c-,solo,men,white,Tampa,B2Bwomen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,5:55:00 AM,"COMBS, LUKE",Cold As You,2020,R,c-,solo,men,white,Tampa,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,5:58:00 AM,MONTGOMERY GENTRY,Something To Be Proud Of,2004,G,c-,duo,men,white,Tampa,X
1/7/22,"Friday, Morris",AMD,iHeartMedia,WFUS-FM,6:06:00 AM,"MORRIS, MAREN",Circles Around This Town,2022,R,c-,solo,women,white,Tampa,X
1/7/22,"Friday, Morris",AMD,iHeartMedia,WFUS-FM,6:09:00 AM,ZAC BROWN BAND,Toes,2008,G,c-,group,men,white,Tampa,B2Bmen
1/7/22,"Friday, Morris",AMD,iHeartMedia,WFUS-FM,6:20:00 AM,"WALLEN, MORGAN",Sand In My Boots,2021,R,c-,solo,men,white,Tampa,B2Bmen
1/7/22,"Friday, Morris",AMD,iHeartMedia,WFUS-FM,6:26:00 AM,FLORIDA GEORGIA LINE,Long Live,2020,R,c-,duo,men,white,Tampa,B2Bmen
1/7/22,"Friday, Morris",AMD,iHeartMedia,WFUS-FM,6:37:00 AM,"RAY, MICHAEL",Whiskey And Rain,2020,R,c-,solo,men,white,Tampa,X
1/7/22,"Friday, Morris",AMD,iHeartMedia,WFUS-FM,6:47:00 AM,"URBAN, KEITH",Better Life,2004,G,c-,solo,men,white,Tampa,B2Bmixed
1/7/22,"Friday, Morris",AMD,iHeartMedia,WFUS-FM,6:51:00 AM,"BRYAN, LUKE",Waves,2021,R,c-,solo,men,white,Tampa,X
1/7/22,"Friday, Morris",AMD,iHeartMedia,WFUS-FM,6:56:00 AM,"MORRIS, MAREN",Circles Around This Town,2022,R,c-,solo,women,white,Tampa,B2Bmen
1/7/22,"Friday, Morris",AMD,iHeartMedia,WFUS-FM,7:01:00 AM,BROOKS & DUNN,Brand New Man,1991,G,c-,duo,men,white,Tampa,X
1/7/22,"Friday, Morris",AMD,iHeartMedia,WFUS-FM,7:02:00 AM,"MELLENCAMP, JOHN C",Jack & Diane,1982,G,c-,solo,men,white,Tampa,X
1/7/22,"Friday, Morris",AMD,iHeartMedia,WFUS-FM,7:05:00 AM,"BALLERINI, KELSEA",Love Me Like You Mean It,2014,G,c-,solo,women,white,Tampa,B2Bmen
1/7/22,"Friday, Morris",AMD,iHeartMedia,WFUS-FM,7:07:00 AM,"UNDERWOOD, CARRIE",Before He Cheats,2005,G,c-,solo,women,white,Tampa,B2Bmen
1/7/22,"Friday, Morris",AMD,iHeartMedia,WFUS-FM,7:08:00 AM,COOLIO,Gangsta's Paradise,1995,G,p-,solo,men,black,Tampa,B2Bmen
1/7/22,"Friday, Morris",AMD,iHeartMedia,WFUS-FM,7:10:00 AM,"MUSGRAVES, KACEY",Follow Your Arrow,2013,G,c-,solo,women,white,Tampa,B2Bmen
1/7/22,"Friday, Morris",AMD,iHeartMedia,WFUS-FM,7:12:00 AM,USHER/LUDACRIS/LIL JON,Yeah,2003,G,p-,collab,men,black,Tampa,X
1/7/22,"Friday, Morris",AMD,iHeartMedia,WFUS-FM,7:26:00 AM,"SWINDELL, COLE",Single Saturday Night,2020,R,c-,solo,men,white,Tampa,B2Bwomen
1/7/22,"Friday, Morris",AMD,iHeartMedia,WFUS-FM,7:40:00 AM,"PARDI, JON",Tequila Little Time,2019,R,c-,solo,men,white,Tampa,X
1/7/22,"Friday, Morris",AMD,iHeartMedia,WFUS-FM,7:49:00 AM,ZAC BROWN BAND,Toes,2008,G,c-,group,men,white,Tampa,X
1/7/22,"Friday, Morris",AMD,iHeartMedia,WFUS-FM,7:53:00 AM,"LYNCH, DUSTIN/PORTER, MACKENZIE",Thinking 'Bout You,2020,R,c-,collab,male-female,white,Tampa,X
1/7/22,"Friday, Morris",AMD,iHeartMedia,WFUS-FM,7:57:00 AM,"ALDEAN, JASON/UNDERWOOD, CARRIE",If I Didn't Love You,2021,R,c-,collab,male-female,white,Tampa,X
1/7/22,"Friday, Morris",AMD,iHeartMedia,WFUS-FM,8:05:00 AM,"HUNT, SAM",Kinfolks,2019,G,c-,solo,men,white,Tampa,X
1/7/22,"Friday, Morris",AMD,iHeartMedia,WFUS-FM,8:18:00 AM,"DICKERSON, RUSSELL",Love You Like I Used To,2020,G,c-,solo,men,white,Tampa,B2Bmen
1/7/22,"Friday, Morris",AMD,iHeartMedia,WFUS-FM,8:25:00 AM,"MORRIS, MAREN",Circles Around This Town,2022,R,c-,solo,women,white,Tampa,X
1/7/22,"Friday, Morris",AMD,iHeartMedia,WFUS-FM,8:48:00 AM,"MCGRAW, TIM",Just To See You Smile,1997,G,c-,solo,men,white,Tampa,X
1/7/22,"Friday, Morris",AMD,iHeartMedia,WFUS-FM,8:52:00 AM,ZAC BROWN BAND,Same Boat,2021,R,c-,group,men,white,Tampa,B2Bmen
1/7/22,"Friday, Morris",AMD,iHeartMedia,WFUS-FM,8:57:00 AM,"MOON, NIKO",Good Time,2019,R,c-,solo,men,white,Tampa,X
1/7/22,"Friday, Morris",AMD,iHeartMedia,WFUS-FM,9:01:00 AM,BROOKS & DUNN,Brand New Man,1991,G,c-,duo,men,white,Tampa,B2Bwomen
1/7/22,"Friday, Morris",AMD,iHeartMedia,WFUS-FM,9:02:00 AM,"MELLENCAMP, JOHN C",Jack & Diane,1982,G,c-,solo,men,white,Tampa,X
1/7/22,"Friday, Morris",AMD,iHeartMedia,WFUS-FM,9:07:00 AM,"UNDERWOOD, CARRIE",Before He Cheats,2005,G,c-,solo,women,white,Tampa,B2Bmen
1/7/22,"Friday, Morris",AMD,iHeartMedia,WFUS-FM,9:08:00 AM,COOLIO,Gangsta's Paradise,1995,G,p-,solo,men,black,Tampa,B2Bmen
1/7/22,"Friday, Morris",AMD,iHeartMedia,WFUS-FM,9:10:00 AM,"MUSGRAVES, KACEY",Follow Your Arrow,2013,G,c-,solo,women,white,Tampa,B2Bmen
1/7/22,"Friday, Morris",AMD,iHeartMedia,WFUS-FM,9:11:00 AM,USHER/LUDACRIS/LIL JON,Yeah,2003,G,p-,collab,men,black,Tampa,B2Bmen
1/7/22,"Friday, Morris",AMD,iHeartMedia,WFUS-FM,9:19:00 AM,"MORRIS, MAREN",Circles Around This Town,2022,R,c-,solo,women,white,Tampa,B2Bmen
1/7/22,"Friday, Morris",AMD,iHeartMedia,WFUS-FM,9:27:00 AM,"RAY, MICHAEL",Whiskey And Rain,2020,R,c-,solo,men,white,Tampa,X
1/7/22,"Friday, Morris",AMD,iHeartMedia,WFUS-FM,9:49:00 AM,"COMBS, LUKE",Cold As You,2020,R,c-,solo,men,white,Tampa,X
1/7/22,"Friday, Morris",AMD,iHeartMedia,WFUS-FM,9:52:00 AM,"KEITH, TOBY",As Good As I Once Was,2005,G,c-,solo,men,white,Tampa,X
1/7/22,"Friday, Morris",AMD,iHeartMedia,WFUS-FM,9:56:00 AM,"RAY, MICHAEL",Whiskey And Rain,2020,R,c-,solo,men,white,Tampa,X
1/7/22,"Friday, Morris",AMD,iHeartMedia,WFUS-FM,9:59:00 AM,"WALLEN, MORGAN",More Than My Hometown,2020,R,c-,solo,men,white,Tampa,X
1/7/22,"Friday, Morris",MID,iHeartMedia,WFUS-FM,10:03:00 AM,"MORRIS, MAREN",Circles Around This Town,2022,R,c-,solo,women,white,Tampa,X
1/7/22,"Friday, Morris",MID,iHeartMedia,WFUS-FM,10:06:00 AM,"COMBS, LUKE",When It Rains It Pours,2017,G,c-,solo,men,white,Tampa,B2Bmen
1/7/22,"Friday, Morris",MID,iHeartMedia,WFUS-FM,10:10:00 AM,"CHESNEY, KENNY",Knowing You,2020,R,c-,solo,men,white,Tampa,B2Bmen
1/7/22,"Friday, Morris",MID,iHeartMedia,WFUS-FM,10:19:00 AM,"CHURCH, ERIC",Springsteen,2011,G,c-,solo,men,white,Tampa,B2Bmen
1/7/22,"Friday, Morris",MID,iHeartMedia,WFUS-FM,10:23:00 AM,"PARMALEE/BROWN, BLANCO",Just The Way,2019,R,c-,collab,men,multiethnic,Tampa,B2Bmen
1/7/22,"Friday, Morris",MID,iHeartMedia,WFUS-FM,10:26:00 AM,ZAC BROWN BAND,Same Boat,2021,R,c-,group,men,white,Tampa,B2Bmen
1/7/22,"Friday, Morris",MID,iHeartMedia,WFUS-FM,10:29:00 AM,BROOKS & DUNN,Ain't Nothing 'Bout You,2001,G,c-,duo,men,white,Tampa,X
1/7/22,"Friday, Morris",MID,iHeartMedia,WFUS-FM,10:32:00 AM,"HAYES, WALKER",Fancy Like,2021,R,c-,solo,men,white,Tampa,X
1/7/22,"Friday, Morris",MID,iHeartMedia,WFUS-FM,10:35:00 AM,"BENTLEY, DIERKS",Gone,2020,R,c-,solo,men,white,Tampa,B2Bmen
1/7/22,"Friday, Morris",MID,iHeartMedia,WFUS-FM,10:38:00 AM,"LYNCH, DUSTIN/PORTER, MACKENZIE",Thinking 'Bout You,2020,R,c-,collab,male-female,white,Tampa,B2Bmen
1/7/22,"Friday, Morris",MID,iHeartMedia,WFUS-FM,10:48:00 AM,"BRYAN, LUKE",Kiss Tomorrow Goodbye,2011,G,c-,solo,men,white,Tampa,B2Bmen
1/7/22,"Friday, Morris",MID,iHeartMedia,WFUS-FM,10:51:00 AM,"COMBS, LUKE",Forever After All,2020,R,c-,solo,men,white,Tampa,X
1/7/22,"Friday, Morris",MID,iHeartMedia,WFUS-FM,10:55:00 AM,"CHESNEY, KENNY",Summertime,2005,G,c-,solo,men,white,Tampa,X
1/7/22,"Friday, Morris",MID,iHeartMedia,WFUS-FM,10:58:00 AM,ELI YOUNG BAND,Love Ain't,2018,G,c-,group,men,white,Tampa,B2Bmen
1/7/22,"Friday, Morris",MID,iHeartMedia,WFUS-FM,11:01:00 AM,"MORRIS, MAREN",Circles Around This Town,2022,R,c-,solo,women,white,Tampa,B2Bmen
1/7/22,"Friday, Morris",MID,iHeartMedia,WFUS-FM,11:04:00 AM,"GILBERT, BRANTLEY",Bottoms Up,2013,G,c-,solo,men,white,Tampa,B2Bmen
1/7/22,"Friday, Morris",MID,iHeartMedia,WFUS-FM,11:08:00 AM,"ALDEAN, JASON/UNDERWOOD, CARRIE",If I Didn't Love You,2021,R,c-,collab,male-female,white,Tampa,B2Bmen
1/7/22,"Friday, Morris",MID,iHeartMedia,WFUS-FM,11:19:00 AM,"HUNT, SAM",Body Like A Back Road,2017,G,c-,solo,men,white,Tampa,B2Bmen
1/7/22,"Friday, Morris",MID,iHeartMedia,WFUS-FM,11:21:00 AM,"BRICE, LEE",Memory I Don't Mess With,2020,R,c-,solo,men,white,Tampa,B2Bmen
1/7/22,"Friday, Morris",MID,iHeartMedia,WFUS-FM,11:24:00 AM,"MCGRAW, TIM","I Like It, I Love It",1995,G,c-,solo,men,white,Tampa,B2Bmen
