Date,Weekday,Dayparts,OWNER,Station,Time Played,Artist,Title,Rel. Date,GRC,genre,ensemble,gender,race,city,b2b_gender
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,12:02:00 AM,"JANSON, CHRIS",Bye Mom,2021,R,c-,solo,men,white,Tampa,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,12:08:00 AM,"URBAN, KEITH",Cop Car,2013,G,c-,solo,men,white,Tampa,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,12:13:00 AM,"ALDEAN, JASON/UNDERWOOD, CARRIE",If I Didn't Love You,2021,R,c-,collab,male-female,white,Tampa,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,12:16:00 AM,"DICKERSON, RUSSELL",Home Sweet,2020,R,c-,solo,men,white,Tampa,B2Bmen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,12:19:00 AM,"BRYAN, LUKE",Up,2021,R,c-,solo,men,white,Tampa,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,12:22:00 AM,"SHELTON, BLAKE",Boys 'Round Here,2013,G,c-,solo,men,white,Tampa,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,12:26:00 AM,"RAY, MICHAEL",Whiskey And Rain,2020,R,c-,solo,men,white,Tampa,B2Bmen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,12:29:00 AM,"LYNCH, DUSTIN/PORTER, MACKENZIE",Thinking 'Bout You,2020,R,c-,collab,male-female,white,Tampa,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,12:32:00 AM,"KING, ELLE/LAMBERT, MIRANDA",Drunk (And I Don't Wanna Go..),2021,R,c-,collab,women,white,Tampa,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,12:41:00 AM,"SCOTT, DYLAN",New Truck,2021,R,c-,solo,men,white,Tampa,B2Bmen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,12:43:00 AM,"COMBS, LUKE",Forever After All,2020,R,c-,solo,men,white,Tampa,B2Bmen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,12:47:00 AM,"MCCOLLUM, PARKER",To Be Loved By You,2020,R,c-,solo,men,white,Tampa,B2Bmen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,12:50:00 AM,"OWEN, JAKE",Best Thing Since Backroads,2021,R,c-,solo,men,white,Tampa,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,12:53:00 AM,"WALLEN, MORGAN",Chasin' You,2018,G,c-,solo,men,white,Tampa,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,12:56:00 AM,"ALDEAN, JASON",Burnin' It Down,2014,G,c-,solo,men,white,Tampa,B2Bmen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,1:00:00 AM,"DAVIS, JORDAN/BRYAN, LUKE",Buy Dirt,2021,R,c-,collab,men,white,Tampa,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,1:03:00 AM,"SWINDELL, COLE",Single Saturday Night,2020,R,c-,solo,men,white,Tampa,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,1:06:00 AM,"YOUNG, CHRIS/TENPENNY, MITCHELL",At The End Of A Bar,2021,R,c-,collab,men,white,Tampa,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,1:13:00 AM,"MCGRAW, TIM",7500 OBO,2020,R,c-,solo,men,white,Tampa,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,1:17:00 AM,"CHURCH, ERIC",Drink In My Hand,2011,G,c-,solo,men,white,Tampa,B2Bmen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,1:20:00 AM,"PARDI, JON",Tequila Little Time,2019,R,c-,solo,men,white,Tampa,B2Bmen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,1:23:00 AM,"PEARCE, CARLY/MCBRYDE, ASHLEY",Never Wanted To Be That Girl,2021,R,c-,collab,women,white,Tampa,B2Bmen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,1:27:00 AM,"URBAN, KEITH",Long Hot Summer,2010,G,c-,solo,men,white,Tampa,B2Bmen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,1:31:00 AM,"RHETT, THOMAS",Slow Down Summer,2021,R,c-,solo,men,white,Tampa,B2Bmen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,1:35:00 AM,"MCCREERY, SCOTTY",You Time,2020,R,c-,solo,men,white,Tampa,B2Bmen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,1:38:00 AM,"HUNT, SAM",23,2021,R,c-,solo,men,white,Tampa,B2Bmen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,1:45:00 AM,"BROWN, KANE",One Mississippi,2021,R,c-,solo,men,multiethnic,Tampa,B2Bmen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,1:48:00 AM,"LYNCH, DUSTIN",Small Town Boy,2017,G,c-,solo,men,white,Tampa,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,1:51:00 AM,"SHELTON, BLAKE",Come Back As A Country Boy,2021,R,c-,solo,men,white,Tampa,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,1:55:00 AM,"COMBS, LUKE",Cold As You,2020,R,c-,solo,men,white,Tampa,B2Bmen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,1:58:00 AM,"BRYAN, LUKE",Waves,2021,R,c-,solo,men,white,Tampa,B2Bmen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,2:01:00 AM,"CHESNEY, KENNY",Knowing You,2020,R,c-,solo,men,white,Tampa,B2Bmen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,2:05:00 AM,"PARMALEE/BROWN, BLANCO",Just The Way,2019,R,c-,collab,men,multiethnic,Tampa,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,2:08:00 AM,"JOHNSON, CODY",Til You Can't,2021,R,c-,solo,men,white,Tampa,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,2:15:00 AM,"ALLEN, JIMMIE/PAISLEY, BRAD",Freedom Was A Highway,2020,R,c-,collab,men,multiethnic,Tampa,B2Bmen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,2:19:00 AM,"BENTLEY, DIERKS",What Was I Thinkin',2003,G,c-,solo,men,white,Tampa,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,2:22:00 AM,"RICE, CHASE",If I Were Rock & Roll,2021,R,c-,solo,men,white,Tampa,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,2:25:00 AM,ZAC BROWN BAND,Same Boat,2021,R,c-,group,men,white,Tampa,B2Bmen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WFUS-FM,2:29:00 AM,"HAYES, WALKER",Fancy Like,2021,R,c-,solo,men,white,Tampa,B2Bmen
