Date,Weekday,Daypart,OWNER,Station,Time Played,Artist,Title,Rel. Date,GRC,genre,ensemble,gender,race,city,b2b_gender
1/7/22,"Friday, Morris",OVN,iHeartMedia,KASE-FM,12:01 AM,"JONES, GEORGE",Finally Friday,1993,G,c-,solo,men,white,Austin,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,KASE-FM,12:03 AM,"LYNCH, DUSTIN/PORTER, MACKENZIE",Thinking 'Bout You,2020,R,c-,collab,male-female,white,Austin,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,KASE-FM,12:06 AM,"COMBS, LUKE",Cold As You,2020,R,c-,solo,men,white,Austin,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,KASE-FM,12:09 AM,"PARMALEE/BROWN, BLANCO",Just The Way,2019,R,c-,collab,men,multiethnic,Austin,B2Bmen
1/7/22,"Friday, Morris",OVN,iHeartMedia,KASE-FM,12:12 AM,"MORRIS, MAREN",Circles Around This Town,2022,R,c-,solo,women,white,Austin,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,KASE-FM,12:20 AM,"BRYAN, LUKE",Up,2021,R,c-,solo,men,white,Austin,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,KASE-FM,12:23 AM,"CHURCH, ERIC",Heart On Fire,2021,R,c-,solo,men,white,Austin,B2Bmen
1/7/22,"Friday, Morris",OVN,iHeartMedia,KASE-FM,12:27 AM,LADY ANTEBELLUM,Bartender,2014,G,c-,trio,male-female,white,Austin,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,KASE-FM,12:30 AM,"CHURCH, ERIC",Heart On Fire,2021,R,c-,solo,men,white,Austin,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,KASE-FM,12:34 AM,"RHETT, THOMAS",T-Shirt,2015,G,c-,solo,men,white,Austin,B2Bmen
1/7/22,"Friday, Morris",OVN,iHeartMedia,KASE-FM,12:38 AM,"DAVIS, JORDAN/BRYAN, LUKE",Buy Dirt,2021,R,c-,collab,men,white,Austin,B2Bmen
1/7/22,"Friday, Morris",OVN,iHeartMedia,KASE-FM,12:40 AM,"RODGERS, JAMESON",Some Girls,2017,G,c-,solo,men,white,Austin,B2Bmen
1/7/22,"Friday, Morris",OVN,iHeartMedia,KASE-FM,12:54 AM,"CLARK, CALLISTA",It's 'Cause I Am,2021,R,c-,solo,women,white,Austin,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,KASE-FM,12:57 AM,"CURRINGTON, BILLY",Do I Make You Wanna,2015,G,c-,solo,men,white,Austin,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,KASE-FM,1:01 AM,"COMBS, LUKE",Lovin' On You,2019,G,c-,solo,men,white,Austin,B2Bmen
1/7/22,"Friday, Morris",OVN,iHeartMedia,KASE-FM,1:04 AM,"KING, ELLE/LAMBERT, MIRANDA",Drunk (And I Don't Wanna Go..),2021,R,c-,collab,women,white,Austin,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,KASE-FM,1:07 AM,"ALDEAN, JASON",Tonight Looks Good On You,2014,G,c-,solo,men,white,Austin,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,KASE-FM,1:11 AM,"SWINDELL, COLE/WILSON, LAINEY",Never Say Never,2021,R,c-,collab,male-female,white,Austin,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,KASE-FM,1:19 AM,"BRICE, LEE",Soul,2020,R,c-,solo,men,white,Austin,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,KASE-FM,1:22 AM,"HUNT, SAM",23,2021,R,c-,solo,men,white,Austin,B2Bmen
1/7/22,"Friday, Morris",OVN,iHeartMedia,KASE-FM,1:25 AM,"BROWN, KANE",One Mississippi,2021,R,c-,solo,men,multiethnic,Austin,B2Bmen
1/7/22,"Friday, Morris",OVN,iHeartMedia,KASE-FM,1:26 AM,"BRYAN, LUKE",One Margarita,2020,G,c-,solo,men,white,Austin,B2Bmen
1/7/22,"Friday, Morris",OVN,iHeartMedia,KASE-FM,1:29 AM,"STAPLETON, CHRIS",You Should Probably Leave,2020,R,c-,solo,men,white,Austin,B2Bmen
1/7/22,"Friday, Morris",OVN,iHeartMedia,KASE-FM,1:33 AM,OLD DOMINION,Make It Sweet,2018,G,c-,group,men,white,Austin,B2Bmen
1/7/22,"Friday, Morris",OVN,iHeartMedia,KASE-FM,1:36 AM,"HUNT, SAM",23,2021,R,c-,solo,men,white,Austin,B2Bmen
1/7/22,"Friday, Morris",OVN,iHeartMedia,KASE-FM,1:39 AM,"OWEN, JAKE",The One That Got Away,2011,G,c-,solo,men,white,Austin,B2Bmen
1/7/22,"Friday, Morris",OVN,iHeartMedia,KASE-FM,1:45 AM,"RHETT, THOMAS",Slow Down Summer,2021,R,c-,solo,men,white,Austin,B2Bmen
1/7/22,"Friday, Morris",OVN,iHeartMedia,KASE-FM,1:48 AM,"SWIFT, TAYLOR",I Bet You Think About Me,2021,C,c-,solo,women,white,Austin,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,KASE-FM,1:52 AM,"ALLEN, JIMMIE/PAISLEY, BRAD",Freedom Was A Highway,2020,R,c-,collab,men,multiethnic,Austin,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,KASE-FM,1:53 AM,"ALDEAN, JASON",Lights Come On,2016,G,c-,solo,men,white,Austin,B2Bmen
1/7/22,"Friday, Morris",OVN,iHeartMedia,KASE-FM,1:57 AM,"JANSON, CHRIS",Fix A Drink,2017,G,c-,solo,men,white,Austin,B2Bmen
1/7/22,"Friday, Morris",OVN,iHeartMedia,KASE-FM,2:00 AM,"HAYES, WALKER",Fancy Like,2021,R,c-,solo,men,white,Austin,B2Bmen
1/7/22,"Friday, Morris",OVN,iHeartMedia,KASE-FM,2:03 AM,"LAMBERT, MIRANDA",If I Was A Cowboy,2021,R,c-,solo,women,white,Austin,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,KASE-FM,2:06 AM,"MCCREERY, SCOTTY",See You Tonight,2013,G,c-,solo,men,white,Austin,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,KASE-FM,2:09 AM,"WALLEN, MORGAN",Sand In My Boots,2021,R,c-,solo,men,white,Austin,B2Bmen
1/7/22,"Friday, Morris",OVN,iHeartMedia,KASE-FM,2:18 AM,"SWINDELL, COLE/WILSON, LAINEY",Never Say Never,2021,R,c-,collab,male-female,white,Austin,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,KASE-FM,2:20 AM,"BENTLEY, DIERKS/BRELAND/HARDY",Beers On Me,2021,R,c-,collab,men,multiethnic,Austin,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,KASE-FM,2:24 AM,"PARDI, JON",Tequila Little Time,2019,R,c-,solo,men,white,Austin,B2Bmen
1/7/22,"Friday, Morris",OVN,iHeartMedia,KASE-FM,2:27 AM,"BRYAN, LUKE",That's My Kind Of Night,2013,G,c-,solo,men,white,Austin,B2Bmen
1/7/22,"Friday, Morris",OVN,iHeartMedia,KASE-FM,2:30 AM,"BALLERINI, KELSEA/CHESNEY, KENNY",Half Of My Hometown,2020,R,c-,collab,male-female,white,Austin,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,KASE-FM,2:34 AM,"COMBS, LUKE/CHURCH, ERIC",Does To Me,2019,G,c-,collab,men,white,Austin,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,KASE-FM,2:37 AM,"RAY, MICHAEL",Whiskey And Rain,2020,R,c-,solo,men,white,Austin,B2Bmen
1/7/22,"Friday, Morris",OVN,iHeartMedia,KASE-FM,2:44 AM,MIDLAND,Sunrise Tells The Story,2021,C,c-,trio,men,white,Austin,B2Bmen
1/7/22,"Friday, Morris",OVN,iHeartMedia,KASE-FM,2:47 AM,"ARTS, TENILLE","Back Then, Right Now",2021,R,c-,solo,women,white,Austin,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,KASE-FM,2:50 AM,"URBAN, KEITH",Wild Hearts,2021,R,c-,solo,men,white,Austin,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,KASE-FM,2:52 AM,"MOORE, KIP",Somethin' 'Bout A Truck,2011,G,c-,solo,men,white,Austin,B2Bmen
1/7/22,"Friday, Morris",OVN,iHeartMedia,KASE-FM,2:55 AM,DAN + SHAY,Tequila,2018,G,c-,duo,men,multiethnic,Austin,B2Bmen
1/7/22,"Friday, Morris",OVN,iHeartMedia,KASE-FM,2:59 AM,ZAC BROWN BAND,Same Boat,2021,R,c-,group,men,white,Austin,B2Bmen
1/7/22,"Friday, Morris",OVN,iHeartMedia,KASE-FM,3:02 AM,HARDY,Give Heaven Some Hell,2020,R,c-,solo,men,white,Austin,B2Bmen
1/7/22,"Friday, Morris",OVN,iHeartMedia,KASE-FM,3:05 AM,"RHETT, THOMAS",Get Me Some Of That,2013,G,c-,solo,men,white,Austin,B2Bmen
1/7/22,"Friday, Morris",OVN,iHeartMedia,KASE-FM,3:08 AM,"LYNCH, DUSTIN/PORTER, MACKENZIE",Thinking 'Bout You,2020,R,c-,collab,male-female,white,Austin,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,KASE-FM,3:16 AM,"BARNES, NATE",You Ain't Pretty,2020,R,c-,solo,men,white,Austin,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,KASE-FM,3:19 AM,"ALAINA, LAUREN/PARDI, JON",Getting Over Him,2020,R,c-,collab,male-female,white,Austin,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,KASE-FM,3:25 AM,"CHESNEY, KENNY",Save It For A Rainy Day,2014,G,c-,solo,men,white,Austin,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,KASE-FM,3:28 AM,"ALDEAN, JASON/UNDERWOOD, CARRIE",If I Didn't Love You,2021,R,c-,collab,male-female,white,Austin,X
