date,weekday,dayparts,owner,station,time,artist,title,release,grc,genre,ensemble,gender,race,city,b2b_gender,b2b_combinedGender
1/7/22,"Friday, Morris",OVN,Beasley,WSOC-FM,12:03 AM,"WALLEN, MORGAN",Chasin' You,2018,G,c-,solo,men,white,Charlotte,X,X
1/7/22,"Friday, Morris",OVN,Beasley,WSOC-FM,12:09 AM,"PARDI, JON",Tequila Little Time,2019,R,c-,solo,men,white,Charlotte,B2Bmen,B2BCombMen
1/7/22,"Friday, Morris",OVN,Beasley,WSOC-FM,12:12 AM,"YOUNG, CHRIS/TENPENNY, MITCHELL",At The End Of A Bar,2021,R,c-,collab,men,white,Charlotte,B2Bmen,B2BCombMen
1/7/22,"Friday, Morris",OVN,Beasley,WSOC-FM,12:15 AM,"RHETT, THOMAS",What's Your Country Song,2020,R,c-,solo,men,white,Charlotte,B2Bmen,B2BCombMen
1/7/22,"Friday, Morris",OVN,Beasley,WSOC-FM,12:18 AM,"DICKERSON, RUSSELL",Home Sweet,2020,R,c-,solo,men,white,Charlotte,B2Bmen,B2BCombMen
1/7/22,"Friday, Morris",OVN,Beasley,WSOC-FM,12:21 AM,"BRICE, LEE",Soul,2020,R,c-,solo,men,white,Charlotte,B2Bmen,B2BCombMen
1/7/22,"Friday, Morris",OVN,Beasley,WSOC-FM,12:24 AM,"COMBS, LUKE",Forever After All,2020,R,c-,solo,men,white,Charlotte,B2Bmen,B2BCombMen
1/7/22,"Friday, Morris",OVN,Beasley,WSOC-FM,12:28 AM,"BROWN, KANE",One Mississippi,2021,R,c-,solo,men,multiethnic,Charlotte,B2Bmen,B2BCombMen
1/7/22,"Friday, Morris",OVN,Beasley,WSOC-FM,12:31 AM,"BALLERINI, KELSEA/CHESNEY, KENNY",Half Of My Hometown,2020,R,c-,collab,male-female,white,Charlotte,X,X
1/7/22,"Friday, Morris",OVN,Beasley,WSOC-FM,12:35 AM,OLD DOMINION,No Hard Feelings,2021,R,c-,group,men,white,Charlotte,X,X
1/7/22,"Friday, Morris",OVN,Beasley,WSOC-FM,12:38 AM,"RUCKER, DARIUS",If I Told You,2016,G,c-,solo,men,black,Charlotte,B2Bmen,B2BCombMen
1/7/22,"Friday, Morris",OVN,Beasley,WSOC-FM,12:42 AM,RASCAL FLATTS,Life Is A Highway,2006,G,c-,trio,men,white,Charlotte,B2Bmen,B2BCombMen
1/7/22,"Friday, Morris",OVN,Beasley,WSOC-FM,12:46 AM,"RICE, CHASE/FLORIDA GEORGIA LINE",Drinkin' Beer Talkin' God Amen,2020,R,c-,collab,men,white,Charlotte,B2Bmen,B2BCombMen
