date,weekday,dayparts,owner,station,time,artist,title,release,grc,genre,ensemble,gender,race,city,lgbtq,b2b_gender,b2b_combinedGender,b2b_collabGender,b2b_lgbtq,b2b_race,b2b_raceGender
1/7/22,"Friday, Morris",OVN,COX,KKBQ-FM,12:02:00 AM,"WALLEN, MORGAN",More Than My Hometown,2020,R,c-,solo,men,white,Houston,false,X,X,X,X,X,X
1/7/22,"Friday, Morris",OVN,COX,KKBQ-FM,12:05:00 AM,BROOKS & DUNN,You're Gonna Miss Me When ...,1994,G,c-,duo,men,white,Houston,false,B2Bmen,B2BCombMen,B2BCollabMen,X,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,COX,KKBQ-FM,12:08:00 AM,"SWINDELL, COLE/WILSON, LAINEY",Never Say Never,2021,R,c-,collab,male-female,white,Houston,false,X,X,X,X,B2Bwhite,X
1/7/22,"Friday, Morris",OVN,COX,KKBQ-FM,12:11:00 AM,"YOUNG, BRETT",Sleep Without You,2016,G,c-,solo,men,white,Houston,false,X,X,X,X,B2Bwhite,X
1/7/22,"Friday, Morris",OVN,COX,KKBQ-FM,12:14:00 AM,"ALLEN, JIMMIE/PAISLEY, BRAD",Freedom Was A Highway,2020,R,c-,collab,men,multiethnic,Houston,false,B2Bmen,B2BCombMen,B2BCollabMen,X,X,X
1/7/22,"Friday, Morris",OVN,COX,KKBQ-FM,12:18:00 AM,RASCAL FLATTS,Bless The Broken Road,2004,G,c-,trio,men,white,Houston,false,B2Bmen,B2BCombMen,B2BCollabMen,X,X,X
1/7/22,"Friday, Morris",OVN,COX,KKBQ-FM,12:21:00 AM,"LYNCH, DUSTIN/PORTER, MACKENZIE",Thinking 'Bout You,2020,R,c-,collab,male-female,white,Houston,false,X,X,X,X,B2Bwhite,X
1/7/22,"Friday, Morris",OVN,COX,KKBQ-FM,12:24:00 AM,"CHURCH, ERIC",Heart On Fire,2021,R,c-,solo,men,white,Houston,false,X,X,X,X,B2Bwhite,X
1/7/22,"Friday, Morris",OVN,COX,KKBQ-FM,12:31:00 AM,"PEARCE, CARLY",Every Little Thing,2016,G,c-,solo,women,white,Houston,false,X,X,X,X,B2Bwhite,X
1/7/22,"Friday, Morris",OVN,COX,KKBQ-FM,12:34:00 AM,"HUNT, SAM",Breaking Up Was Easy In The...,2020,R,c-,solo,men,white,Houston,false,X,X,X,X,B2Bwhite,X
1/7/22,"Friday, Morris",OVN,COX,KKBQ-FM,12:38:00 AM,"BROWN, KANE",One Mississippi,2021,R,c-,solo,men,multiethnic,Houston,false,B2Bmen,B2BCombMen,B2BCollabMen,X,X,X
1/7/22,"Friday, Morris",OVN,COX,KKBQ-FM,12:41:00 AM,"TWAIN, SHANIA",Any Man Of Mine,1995,G,c-,solo,women,white,Houston,false,X,X,X,X,X,X
1/7/22,"Friday, Morris",OVN,COX,KKBQ-FM,12:45:00 AM,"OWEN, JAKE",Made For You,2018,R,c-,solo,men,white,Houston,false,X,X,X,X,B2Bwhite,X
1/7/22,"Friday, Morris",OVN,COX,KKBQ-FM,12:49:00 AM,"RAY, MICHAEL",Whiskey And Rain,2020,R,c-,solo,men,white,Houston,false,B2Bmen,B2BCombMen,B2BCollabMen,X,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,COX,KKBQ-FM,12:53:00 AM,"SWINDELL, COLE",Middle Of A Memory,2016,G,c-,solo,men,white,Houston,false,B2Bmen,B2BCombMen,B2BCollabMen,X,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,COX,KKBQ-FM,12:56:00 AM,"EVANS, MORGAN",Love Is Real,2021,C,c-,solo,men,white,Houston,false,B2Bmen,B2BCombMen,B2BCollabMen,X,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,COX,KKBQ-FM,1:03:00 AM,"BALLERINI, KELSEA",Legends,2017,G,c-,solo,women,white,Houston,false,X,X,X,X,B2Bwhite,X
1/7/22,"Friday, Morris",OVN,COX,KKBQ-FM,1:06:00 AM,BROOKS & DUNN,That Ain't No Way To Go,1994,G,c-,duo,men,white,Houston,false,X,X,X,X,B2Bwhite,X
1/7/22,"Friday, Morris",OVN,COX,KKBQ-FM,1:10:00 AM,"BENTLEY, DIERKS/BRELAND/HARDY",Beers On Me,2021,R,c-,collab,men,multiethnic,Houston,false,B2Bmen,B2BCombMen,B2BCollabMen,X,X,X
1/7/22,"Friday, Morris",OVN,COX,KKBQ-FM,1:13:00 AM,"RUCKER, DARIUS",Don't Think I Don't Think...,2008,G,c-,solo,men,black,Houston,false,B2Bmen,B2BCombMen,B2BCollabMen,X,B2BPOC,B2BPOCMen
1/7/22,"Friday, Morris",OVN,COX,KKBQ-FM,1:16:00 AM,"HAYES, WALKER",Fancy Like,2021,R,c-,solo,men,white,Houston,false,B2Bmen,B2BCombMen,B2BCollabMen,X,X,X
1/7/22,"Friday, Morris",OVN,COX,KKBQ-FM,1:18:00 AM,"MCGRAW, TIM/SWIFT, TAYLOR",Highway Don't Care,2013,G,c-,collab,male-female,white,Houston,false,X,X,X,X,B2Bwhite,X
