date,weekday,dayparts,owner,station,time,artist,title,release,grc,genre,ensemble,gender,race,city,lgbtq,b2b_gender,b2b_combinedGender,b2b_collabGender,b2b_lgbtq,b2b_race,b2b_raceGender
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WUSN-FM,1:37:00 AM,"CHURCH, ERIC",Heart On Fire,2021,R,c-,solo,men,white,Chicago,false,B2Bmen,B2BCombMen,B2BCollabMen,X,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WUSN-FM,1:41:00 AM,"COMBS, LUKE",Doin' This,2021,R,c-,solo,men,white,Chicago,false,B2Bmen,B2BCombMen,B2BCollabMen,X,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WUSN-FM,1:51:00 AM,"ALLEN, JIMMIE/PAISLEY, BRAD",Freedom Was A Highway,2020,R,c-,collab,men,multiethnic,Chicago,false,B2Bmen,B2BCombMen,B2BCollabMen,X,X,X
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WUSN-FM,1:55:00 AM,"MCGRAW, TIM",7500 OBO,2020,R,c-,solo,men,white,Chicago,false,B2Bmen,B2BCombMen,B2BCollabMen,X,X,X
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WUSN-FM,1:58:00 AM,"YOUNG, CHRIS/BROWN, KANE",Famous Friends,2020,R,c-,collab,men,multiethnic,Chicago,false,B2Bmen,B2BCombMen,B2BCollabMen,X,X,X
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WUSN-FM,2:01:00 AM,"KING, ELLE/LAMBERT, MIRANDA",Drunk (And I Don't Wanna Go..),2021,R,c-,collab,women,white,Chicago,false,X,X,X,X,X,X
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WUSN-FM,2:05:00 AM,"STAPLETON, CHRIS",You Should Probably Leave,2020,R,c-,solo,men,white,Chicago,false,X,X,X,X,B2Bwhite,X
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WUSN-FM,2:08:00 AM,BROTHERS OSBORNE,I'm Not For Everyone,2020,C,c-,duo,men,white,Chicago,true,B2Bmen,B2BCombMen,B2BCollabMen,X,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WUSN-FM,2:11:00 AM,"HAYES, WALKER",Fancy Like,2021,R,c-,solo,men,white,Chicago,false,B2Bmen,B2BCombMen,B2BCollabMen,X,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WUSN-FM,2:13:00 AM,"MORRIS, MAREN",I Could Use A Love Song,2016,G,c-,solo,women,white,Chicago,false,X,X,X,X,B2Bwhite,X
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WUSN-FM,2:17:00 AM,"ALAINA, LAUREN/PARDI, JON",Getting Over Him,2020,R,c-,collab,male-female,white,Chicago,false,X,B2BCombWomen,B2BCollabWomen,X,B2Bwhite,X
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WUSN-FM,2:19:00 AM,"KEITH, TOBY",Old School,2021,C,c-,solo,men,white,Chicago,false,X,X,X,X,B2Bwhite,X
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WUSN-FM,2:23:00 AM,"DICKERSON, RUSSELL",Home Sweet,2020,R,c-,solo,men,white,Chicago,false,B2Bmen,B2BCombMen,B2BCollabMen,X,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WUSN-FM,2:26:00 AM,"WILSON, LAINEY",Things A Man Oughta Know,2019,R,c-,solo,women,white,Chicago,false,X,X,X,X,B2Bwhite,X
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WUSN-FM,2:29:00 AM,"ALDEAN, JASON",When She Says Baby,2012,G,c-,solo,men,white,Chicago,false,X,X,X,X,B2Bwhite,X
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WUSN-FM,2:32:00 AM,"MCCREERY, SCOTTY",Damn Strait,2021,R,c-,solo,men,white,Chicago,false,B2Bmen,B2BCombMen,B2BCollabMen,X,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WUSN-FM,2:35:00 AM,"COMBS, LUKE",Cold As You,2020,R,c-,solo,men,white,Chicago,false,B2Bmen,B2BCombMen,B2BCollabMen,X,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WUSN-FM,2:38:00 AM,"BROWN, KANE",Good As You,2018,G,c-,solo,men,multiethnic,Chicago,false,B2Bmen,B2BCombMen,B2BCollabMen,X,X,X
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WUSN-FM,2:41:00 AM,HARDY,Give Heaven Some Hell,2020,R,c-,solo,men,white,Chicago,false,B2Bmen,B2BCombMen,B2BCollabMen,X,X,X
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WUSN-FM,2:44:00 AM,"HAYES, WALKER",AA,2021,R,c-,solo,men,white,Chicago,false,B2Bmen,B2BCombMen,B2BCollabMen,X,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WUSN-FM,2:51:00 AM,"RAY, MICHAEL",Whiskey And Rain,2020,R,c-,solo,men,white,Chicago,false,B2Bmen,B2BCombMen,B2BCollabMen,X,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WUSN-FM,2:55:00 AM,"SWIFT, TAYLOR",I Bet You Think About Me,2021,C,c-,solo,women,white,Chicago,false,X,X,X,X,B2Bwhite,X
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WUSN-FM,2:59:00 AM,"BENTLEY, DIERKS/BRELAND/HARDY",Beers On Me,2021,R,c-,collab,men,multiethnic,Chicago,false,X,X,X,X,X,X
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WUSN-FM,3:02:00 AM,"DAVIS, JORDAN/BRYAN, LUKE",Buy Dirt,2021,R,c-,collab,men,white,Chicago,false,B2Bmen,B2BCombMen,B2BCollabMen,X,X,X
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WUSN-FM,3:05:00 AM,"RHETT, THOMAS",Slow Down Summer,2021,R,c-,solo,men,white,Chicago,false,B2Bmen,B2BCombMen,B2BCollabMen,X,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WUSN-FM,3:08:00 AM,"RODGERS, JAMESON/COMBS, LUKE",Cold Beer Calling…,2020,R,c-,collab,men,white,Chicago,false,B2Bmen,B2BCombMen,B2BCollabMen,X,B2Bwhite,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Audacy/Entercom,WUSN-FM,3:11:00 AM,"ELDREDGE, BRETT",Don't Ya,2012,G,c-,solo,men,white,Chicago,false,B2Bmen,B2BCombMen,B2BCollabMen,X,B2Bwhite,B2BwhiteMen
