Date,Weekday,Daypart,OWNER,Station,Time Played,Artist,Title,Rel. Date,GRC,genre,ensemble,gender,race,city,b2b_gender
1/28/22,"Friday, regular",OVN,Cumulus,WKDF-FM,12:00 AM,FLORIDA GEORGIA LINE,This Is How We Roll,2013,G,c-,duo,men,white,Nashville,X
1/28/22,"Friday, regular",OVN,Cumulus,WKDF-FM,2:36 AM,"YOUNG, CHRIS/TENPENNY, MITCHELL",At The End Of A Bar,2021,R,c-,collab,men,white,Nashville,B2Bmen
1/28/22,"Friday, regular",OVN,Cumulus,WKDF-FM,12:07 AM,"JOHNSON, CODY",Til You Can't,2021,R,c-,solo,men,white,Nashville,B2Bmen
2/25/22,"Friday, regular",OVN,Cumulus,WKDF-FM,3:39 AM,"YOUNG, CHRIS/TENPENNY, MITCHELL",At The End Of A Bar,2021,R,c-,collab,men,white,Nashville,B2Bmen
1/28/22,"Friday, regular",OVN,Cumulus,WKDF-FM,12:17 AM,"STAPLETON, CHRIS",You Should Probably Leave,2020,R,c-,solo,men,white,Nashville,B2Bmen
2/25/22,"Friday, regular",OVN,Cumulus,WKDF-FM,4:26 AM,"YOUNG, CHRIS/TENPENNY, MITCHELL",At The End Of A Bar,2021,R,c-,collab,men,white,Nashville,B2Bmen
1/28/22,"Friday, regular",OVN,Cumulus,WKDF-FM,12:24 AM,"COMBS, LUKE",Forever After All,2020,R,c-,solo,men,white,Nashville,B2Bmen
1/28/22,"Friday, regular",OVN,Cumulus,WKDF-FM,12:28 AM,"HUNT, SAM",23,2021,R,c-,solo,men,white,Nashville,B2Bmen
1/28/22,"Friday, regular",OVN,Cumulus,WKDF-FM,12:31 AM,"RUCKER, DARIUS",Beers And Sunshine,2020,R,c-,solo,men,black,Nashville,B2Bmen
1/28/22,"Friday, regular",OVN,Cumulus,WKDF-FM,12:33 AM,"MCCREERY, SCOTTY",Damn Strait,2021,R,c-,solo,men,white,Nashville,B2Bmen
1/28/22,"Friday, regular",OVN,Cumulus,WKDF-FM,12:37 AM,"ALDEAN, JASON/UNDERWOOD, CARRIE",If I Didn't Love You,2021,R,c-,collab,male-female,white,Nashville,X
1/28/22,"Friday, regular",OVN,Cumulus,WKDF-FM,12:41 AM,"RAY, FRANK",Country'd Look Good On You,2021,R,c-,solo,men,hispanic,Nashville,X
3/25/22,"Friday, regular",OVN,Cumulus,WKDF-FM,12:06 AM,"YOUNG, CHRIS/TENPENNY, MITCHELL",At The End Of A Bar,2021,R,c-,collab,men,white,Nashville,B2Bmen
1/28/22,"Friday, regular",OVN,Cumulus,WKDF-FM,12:46 AM,"CLARK, CALLISTA",It's 'Cause I Am,2021,R,c-,solo,women,white,Nashville,X
1/28/22,"Friday, regular",AMD,Cumulus,WKDF-FM,7:06 AM,"ALDEAN, JASON/UNDERWOOD, CARRIE",If I Didn't Love You,2021,R,c-,collab,male-female,white,Nashville,X
