Date,Weekday,Daypart,OWNER,Station,Time Played,Artist,Title,Rel. Date,GRC,genre,ensemble,gender,race,city,b2b_gender
1/28/22,"Friday, regular",OVN,Cumulus,WKDF-FM,12:54 AM,"SCOTT, DYLAN",New Truck,2021,R,c-,solo,men,white,Nashville,X
1/28/22,"Friday, regular",OVN,Cumulus,WKDF-FM,12:57 AM,FLORIDA GEORGIA LINE,Long Live,2020,R,c-,duo,men,white,Nashville,B2Bmen
1/28/22,"Friday, regular",OVN,Cumulus,WKDF-FM,1:00 AM,"CHURCH, ERIC",Heart On Fire,2021,R,c-,solo,men,white,Nashville,B2Bmen
1/28/22,"Friday, regular",OVN,Cumulus,WKDF-FM,1:04 AM,"BENTLEY, DIERKS",Gone,2020,R,c-,solo,men,white,Nashville,B2Bmen
3/25/22,"Friday, regular",EVE,Cumulus,WKDF-FM,9:53 PM,"YOUNG, CHRIS/TENPENNY, MITCHELL",At The End Of A Bar,2021,R,c-,collab,men,white,Nashville,B2Bmen
4/29/22,"Friday, regular",OVN,Cumulus,WKDF-FM,3:50 AM,"YOUNG, CHRIS/TENPENNY, MITCHELL",At The End Of A Bar,2021,R,c-,collab,men,white,Nashville,B2Bmen
1/28/22,"Friday, regular",OVN,Cumulus,WKDF-FM,1:17 AM,DAN + SHAY,Steal My Love,2021,R,c-,duo,men,multiethnic,Nashville,B2Bmen
1/28/22,"Friday, regular",OVN,Cumulus,WKDF-FM,1:19 AM,"BROWN, KANE",One Mississippi,2021,R,c-,solo,men,multiethnic,Nashville,B2Bmen
1/28/22,"Friday, regular",OVN,Cumulus,WKDF-FM,1:23 AM,"JANSON, CHRIS",Bye Mom,2021,R,c-,solo,men,white,Nashville,B2Bmen
1/28/22,"Friday, regular",OVN,Cumulus,WKDF-FM,1:29 AM,"SHANE, ELVIE",My Boy,2020,R,c-,solo,men,white,Nashville,B2Bmen
1/28/22,"Friday, regular",OVN,Cumulus,WKDF-FM,1:32 AM,"KEITH, TOBY",Old School,2021,C,c-,solo,men,white,Nashville,B2Bmen
1/28/22,"Friday, regular",AMD,Cumulus,WKDF-FM,9:14 AM,"ALDEAN, JASON/UNDERWOOD, CARRIE",If I Didn't Love You,2021,R,c-,collab,male-female,white,Nashville,X
1/28/22,"Friday, regular",OVN,Cumulus,WKDF-FM,1:38 AM,"MCCOLLUM, PARKER",To Be Loved By You,2020,R,c-,solo,men,white,Nashville,X
1/28/22,"Friday, regular",OVN,Cumulus,WKDF-FM,1:41 AM,"MORRIS, MAREN",The Bones,2019,G,c-,solo,women,white,Nashville,X
4/29/22,"Friday, regular",PMD,Cumulus,WKDF-FM,4:32 PM,"YOUNG, CHRIS/TENPENNY, MITCHELL",At The End Of A Bar,2021,R,c-,collab,men,white,Nashville,X
1/28/22,"Friday, regular",OVN,Cumulus,WKDF-FM,1:53 AM,"WALLEN, MORGAN",Sand In My Boots,2021,R,c-,solo,men,white,Nashville,B2Bmen
1/28/22,"Friday, regular",OVN,Cumulus,WKDF-FM,1:56 AM,"ALDEAN, JASON",Blame It On You,2019,R,c-,solo,men,white,Nashville,B2Bmen
1/28/22,"Friday, regular",OVN,Cumulus,WKDF-FM,2:00 AM,"SHELTON, BLAKE",Come Back As A Country Boy,2021,R,c-,solo,men,white,Nashville,B2Bmen
1/28/22,"Friday, regular",OVN,Cumulus,WKDF-FM,2:03 AM,MADDIE & TAE,Die From A Broken Heart,2018,G,c-,duo,women,white,Nashville,X
1/28/22,"Friday, regular",OVN,Cumulus,WKDF-FM,2:06 AM,"MCGRAW, TIM",7500 OBO,2020,R,c-,solo,men,white,Nashville,X
4/29/22,"Friday, regular",EVE,Cumulus,WKDF-FM,9:35 PM,"YOUNG, CHRIS/TENPENNY, MITCHELL",At The End Of A Bar,2021,R,c-,collab,men,white,Nashville,B2Bmen
5/27/22,"Friday, regular",OVN,Cumulus,WKDF-FM,12:02 AM,"YOUNG, CHRIS/TENPENNY, MITCHELL",At The End Of A Bar,2021,R,c-,collab,men,white,Nashville,B2Bmen
5/27/22,"Friday, regular",OVN,Cumulus,WKDF-FM,3:26 AM,"YOUNG, CHRIS/TENPENNY, MITCHELL",At The End Of A Bar,2021,R,c-,collab,men,white,Nashville,B2Bmen
1/28/22,"Friday, regular",MID,Cumulus,WKDF-FM,11:20 AM,"ALDEAN, JASON/UNDERWOOD, CARRIE",If I Didn't Love You,2021,R,c-,collab,male-female,white,Nashville,X
1/28/22,"Friday, regular",OVN,Cumulus,WKDF-FM,2:26 AM,"STAPLETON, CHRIS",You Should Probably Leave,2020,R,c-,solo,men,white,Nashville,X
1/28/22,"Friday, regular",OVN,Cumulus,WKDF-FM,2:29 AM,"BRICE, LEE",Memory I Don't Mess With,2020,R,c-,solo,men,white,Nashville,B2Bmen
1/28/22,"Friday, regular",OVN,Cumulus,WKDF-FM,2:32 AM,"SWIFT, TAYLOR",Our Song,2006,G,c-,solo,women,white,Nashville,X
5/27/22,"Friday, regular",MID,Cumulus,WKDF-FM,1:36 PM,"YOUNG, CHRIS/TENPENNY, MITCHELL",At The End Of A Bar,2021,R,c-,collab,men,white,Nashville,X
1/28/22,"Friday, regular",OVN,Cumulus,WKDF-FM,2:39 AM,BROTHERS OSBORNE,I'm Not For Everyone,2020,C,c-,duo,men,white,Nashville,B2Bmen
5/27/22,"Friday, regular",PMD,Cumulus,WKDF-FM,6:15 PM,"YOUNG, CHRIS/TENPENNY, MITCHELL",At The End Of A Bar,2021,R,c-,collab,men,white,Nashville,B2Bmen
1/28/22,"Friday, regular",OVN,Cumulus,WKDF-FM,2:45 AM,"CLARK, CALLISTA",It's 'Cause I Am,2021,R,c-,solo,women,white,Nashville,X
1/28/22,"Friday, regular",MID,Cumulus,WKDF-FM,2:20 PM,"ALDEAN, JASON/UNDERWOOD, CARRIE",If I Didn't Love You,2021,R,c-,collab,male-female,white,Nashville,X
1/28/22,"Friday, regular",OVN,Cumulus,WKDF-FM,2:52 AM,"MOON, NIKO",Good Time,2019,R,c-,solo,men,white,Nashville,X
1/28/22,"Friday, regular",OVN,Cumulus,WKDF-FM,2:55 AM,"GREEN, RILEY",I Wish Grandpas Never Died,2019,G,c-,solo,men,white,Nashville,B2Bmen
5/27/22,"Friday, regular",EVE,Cumulus,WKDF-FM,10:25 PM,"YOUNG, CHRIS/TENPENNY, MITCHELL",At The End Of A Bar,2021,R,c-,collab,men,white,Nashville,B2Bmen
1/28/22,"Friday, regular",OVN,Cumulus,WKDF-FM,3:02 AM,"DICKERSON, RUSSELL",Home Sweet,2020,R,c-,solo,men,white,Nashville,B2Bmen
1/28/22,"Friday, regular",OVN,Cumulus,WKDF-FM,3:06 AM,"OWEN, JAKE",Best Thing Since Backroads,2021,R,c-,solo,men,white,Nashville,B2Bmen
6/24/22,"Friday, regular",OVN,Cumulus,WKDF-FM,12:39 AM,"YOUNG, CHRIS/TENPENNY, MITCHELL",At The End Of A Bar,2021,R,c-,collab,men,white,Nashville,B2Bmen
1/28/22,"Friday, regular",PMD,Cumulus,WKDF-FM,6:05 PM,"ALDEAN, JASON/UNDERWOOD, CARRIE",If I Didn't Love You,2021,R,c-,collab,male-female,white,Nashville,X
1/28/22,"Friday, regular",OVN,Cumulus,WKDF-FM,3:19 AM,"SWIFT, TAYLOR",I Bet You Think About Me,2021,C,c-,solo,women,white,Nashville,X
1/28/22,"Friday, regular",OVN,Cumulus,WKDF-FM,3:23 AM,"BRYAN, LUKE",Waves,2021,R,c-,solo,men,white,Nashville,X
6/24/22,"Friday, regular",OVN,Cumulus,WKDF-FM,3:00 AM,"YOUNG, CHRIS/TENPENNY, MITCHELL",At The End Of A Bar,2021,R,c-,collab,men,white,Nashville,B2Bmen
1/28/22,"Friday, regular",OVN,Cumulus,WKDF-FM,3:31 AM,"RHETT, THOMAS",What's Your Country Song,2020,R,c-,solo,men,white,Nashville,B2Bmen
1/28/22,"Friday, regular",OVN,Cumulus,WKDF-FM,3:33 AM,"CLARK, CALLISTA",It's 'Cause I Am,2021,R,c-,solo,women,white,Nashville,X
1/28/22,"Friday, regular",OVN,Cumulus,WKDF-FM,3:36 AM,"YOUNG, BRETT",Lady,2020,R,c-,solo,men,white,Nashville,X
1/28/22,"Friday, regular",OVN,Cumulus,WKDF-FM,3:39 AM,"MOORE, JUSTIN",Why We Drink,2019,G,c-,solo,men,white,Nashville,B2Bmen
6/24/22,"Friday, regular",OVN,Cumulus,WKDF-FM,5:09 AM,"YOUNG, CHRIS/TENPENNY, MITCHELL",At The End Of A Bar,2021,R,c-,collab,men,white,Nashville,B2Bmen
1/28/22,"Friday, regular",OVN,Cumulus,WKDF-FM,3:49 AM,"BROWN, KANE",One Mississippi,2021,R,c-,solo,men,multiethnic,Nashville,B2Bmen
1/28/22,"Friday, regular",OVN,Cumulus,WKDF-FM,3:53 AM,HARDY,Give Heaven Some Hell,2020,R,c-,solo,men,white,Nashville,B2Bmen
1/28/22,"Friday, regular",OVN,Cumulus,WKDF-FM,3:57 AM,DAN + SHAY,I Should Probably Go To Bed,2020,R,c-,duo,men,multiethnic,Nashville,B2Bmen
6/24/22,"Friday, regular",MID,Cumulus,WKDF-FM,10:11 AM,"YOUNG, CHRIS/TENPENNY, MITCHELL",At The End Of A Bar,2021,R,c-,collab,men,white,Nashville,B2Bmen
1/28/22,"Friday, regular",OVN,Cumulus,WKDF-FM,4:06 AM,"BROWN, KANE",One Mississippi,2021,R,c-,solo,men,multiethnic,Nashville,B2Bmen
1/28/22,"Friday, regular",OVN,Cumulus,WKDF-FM,4:12 AM,"ALDEAN, JASON",You Make It Easy,2018,G,c-,solo,men,white,Nashville,B2Bmen
1/28/22,"Friday, regular",OVN,Cumulus,WKDF-FM,4:15 AM,"URBAN, KEITH",Wild Hearts,2021,R,c-,solo,men,white,Nashville,B2Bmen
6/24/22,"Friday, regular",PMD,Cumulus,WKDF-FM,3:09 PM,"YOUNG, CHRIS/TENPENNY, MITCHELL",At The End Of A Bar,2021,R,c-,collab,men,white,Nashville,B2Bmen
1/28/22,"Friday, regular",OVN,Cumulus,WKDF-FM,4:27 AM,"BRICE, LEE",Memory I Don't Mess With,2020,R,c-,solo,men,white,Nashville,B2Bmen
1/28/22,"Friday, regular",OVN,Cumulus,WKDF-FM,4:32 AM,"CHURCH, ERIC",Heart On Fire,2021,R,c-,solo,men,white,Nashville,B2Bmen
1/28/22,"Friday, regular",OVN,Cumulus,WKDF-FM,4:40 AM,"JANSON, CHRIS",Buy Me A Boat,2015,G,c-,solo,men,white,Nashville,B2Bmen
6/24/22,"Friday, regular",EVE,Cumulus,WKDF-FM,7:22 PM,"YOUNG, CHRIS/TENPENNY, MITCHELL",At The End Of A Bar,2021,R,c-,collab,men,white,Nashville,B2Bmen
1/28/22,"Friday, regular",OVN,Cumulus,WKDF-FM,4:51 AM,"RAY, MICHAEL",Whiskey And Rain,2020,R,c-,solo,men,white,Nashville,B2Bmen
7/29/22,"Friday, regular",OVN,Cumulus,WKDF-FM,1:36 AM,"YOUNG, CHRIS/TENPENNY, MITCHELL",At The End Of A Bar,2021,R,c-,collab,men,white,Nashville,B2Bmen
7/29/22,"Friday, regular",OVN,Cumulus,WKDF-FM,5:31 AM,"YOUNG, CHRIS/TENPENNY, MITCHELL",At The End Of A Bar,2021,R,c-,collab,men,white,Nashville,B2Bmen
7/29/22,"Friday, regular",AMD,Cumulus,WKDF-FM,8:09 AM,"YOUNG, CHRIS/TENPENNY, MITCHELL",At The End Of A Bar,2021,R,c-,collab,men,white,Nashville,B2Bmen
1/28/22,"Friday, regular",OVN,Cumulus,WKDF-FM,5:10 AM,LITTLE BIG TOWN,The Star Spangled Banner,2006,G,c-,group,male-female,white,Nashville,X
1/28/22,"Friday, regular",OVN,Cumulus,WKDF-FM,5:13 AM,"JONES, GEORGE",Finally Friday,1993,G,c-,solo,men,white,Nashville,X
1/28/22,"Friday, regular",OVN,Cumulus,WKDF-FM,5:15 AM,"LAMBERT, MIRANDA",If I Was A Cowboy,2021,R,c-,solo,women,white,Nashville,X
7/29/22,"Friday, regular",MID,Cumulus,WKDF-FM,1:49 PM,"YOUNG, CHRIS/TENPENNY, MITCHELL",At The End Of A Bar,2021,R,c-,collab,men,white,Nashville,X
1/28/22,"Friday, regular",OVN,Cumulus,WKDF-FM,5:26 AM,"MCGRAW, TIM",Where The Green Grass Grows,1997,G,c-,solo,men,white,Nashville,B2Bmen
1/28/22,"Friday, regular",EVE,Cumulus,WKDF-FM,8:08 PM,"ALDEAN, JASON/UNDERWOOD, CARRIE",If I Didn't Love You,2021,R,c-,collab,male-female,white,Nashville,X
1/28/22,"Friday, regular",OVN,Cumulus,WKDF-FM,5:33 AM,"STAPLETON, CHRIS",You Should Probably Leave,2020,R,c-,solo,men,white,Nashville,X
1/28/22,"Friday, regular",OVN,Cumulus,WKDF-FM,5:37 AM,"PARDI, JON",Heartache Medication,2019,G,c-,solo,men,white,Nashville,B2Bmen
7/29/22,"Friday, regular",PMD,Cumulus,WKDF-FM,4:39 PM,"YOUNG, CHRIS/TENPENNY, MITCHELL",At The End Of A Bar,2021,R,c-,collab,men,white,Nashville,B2Bmen
1/28/22,"Friday, regular",OVN,Cumulus,WKDF-FM,5:48 AM,"SHANE, ELVIE",My Boy,2020,R,c-,solo,men,white,Nashville,B2Bmen
1/28/22,"Friday, regular",OVN,Cumulus,WKDF-FM,5:53 AM,"SHELTON, BLAKE",Come Back As A Country Boy,2021,R,c-,solo,men,white,Nashville,B2Bmen
1/28/22,"Friday, regular",OVN,Cumulus,WKDF-FM,5:56 AM,"YOUNG, CHRIS",Tomorrow,2011,G,c-,solo,men,white,Nashville,B2Bmen
7/29/22,"Friday, regular",EVE,Cumulus,WKDF-FM,9:29 PM,"YOUNG, CHRIS/TENPENNY, MITCHELL",At The End Of A Bar,2021,R,c-,collab,men,white,Nashville,B2Bmen
1/28/22,"Friday, regular",AMD,Cumulus,WKDF-FM,6:06 AM,OLD DOMINION,One Man Band,2019,G,c-,group,men,white,Nashville,B2Bmen
1/28/22,"Friday, regular",AMD,Cumulus,WKDF-FM,6:09 AM,"JONES, GEORGE",Finally Friday,1993,G,c-,solo,men,white,Nashville,B2Bmen
1/28/22,"Friday, regular",AMD,Cumulus,WKDF-FM,6:11 AM,"JOHNSON, CODY",Til You Can't,2021,R,c-,solo,men,white,Nashville,B2Bmen
8/26/22,"Friday, regular",OVN,Cumulus,WKDF-FM,12:15 AM,"YOUNG, CHRIS/TENPENNY, MITCHELL",At The End Of A Bar,2021,R,c-,collab,men,white,Nashville,B2Bmen
1/28/22,"Friday, regular",AMD,Cumulus,WKDF-FM,6:23 AM,"COMBS, LUKE",Cold As You,2020,R,c-,solo,men,white,Nashville,B2Bmen
8/26/22,"Friday, regular",OVN,Cumulus,WKDF-FM,3:17 AM,"YOUNG, CHRIS/TENPENNY, MITCHELL",At The End Of A Bar,2021,R,c-,collab,men,white,Nashville,B2Bmen
1/28/22,"Friday, regular",AMD,Cumulus,WKDF-FM,6:32 AM,"HAYES, WALKER",Fancy Like,2021,R,c-,solo,men,white,Nashville,B2Bmen
2/25/22,"Friday, regular",OVN,Cumulus,WKDF-FM,1:56 AM,"ALDEAN, JASON/UNDERWOOD, CARRIE",If I Didn't Love You,2021,R,c-,collab,male-female,white,Nashville,X
8/26/22,"Friday, regular",OVN,Cumulus,WKDF-FM,4:20 AM,"YOUNG, CHRIS/TENPENNY, MITCHELL",At The End Of A Bar,2021,R,c-,collab,men,white,Nashville,X
1/28/22,"Friday, regular",AMD,Cumulus,WKDF-FM,6:48 AM,"MOORE, JUSTIN",Small Town USA,2009,G,c-,solo,men,white,Nashville,B2Bmen
1/28/22,"Friday, regular",AMD,Cumulus,WKDF-FM,6:53 AM,MADDIE & TAE,Girl In A Country Song,2014,G,c-,duo,women,white,Nashville,X
1/28/22,"Friday, regular",AMD,Cumulus,WKDF-FM,6:56 AM,"WALLEN, MORGAN",Sand In My Boots,2021,R,c-,solo,men,white,Nashville,X
8/26/22,"Friday, regular",AMD,Cumulus,WKDF-FM,7:48 AM,"YOUNG, CHRIS/TENPENNY, MITCHELL",At The End Of A Bar,2021,R,c-,collab,men,white,Nashville,B2Bmen
2/25/22,"Friday, regular",OVN,Cumulus,WKDF-FM,5:22 AM,"ALDEAN, JASON/UNDERWOOD, CARRIE",If I Didn't Love You,2021,R,c-,collab,male-female,white,Nashville,X
1/28/22,"Friday, regular",AMD,Cumulus,WKDF-FM,7:10 AM,"JONES, GEORGE",Finally Friday,1993,G,c-,solo,men,white,Nashville,X
1/28/22,"Friday, regular",AMD,Cumulus,WKDF-FM,7:13 AM,HARDY,Give Heaven Some Hell,2020,R,c-,solo,men,white,Nashville,B2Bmen
8/26/22,"Friday, regular",MID,Cumulus,WKDF-FM,10:17 AM,"YOUNG, CHRIS/TENPENNY, MITCHELL",At The End Of A Bar,2021,R,c-,collab,men,white,Nashville,B2Bmen
1/28/22,"Friday, regular",AMD,Cumulus,WKDF-FM,7:24 AM,"GILBERT, BRANTLEY",Bottoms Up,2013,G,c-,solo,men,white,Nashville,B2Bmen
1/28/22,"Friday, regular",AMD,Cumulus,WKDF-FM,7:29 AM,"BROWN, KANE",One Mississippi,2021,R,c-,solo,men,multiethnic,Nashville,B2Bmen
1/28/22,"Friday, regular",AMD,Cumulus,WKDF-FM,7:32 AM,"BRICE, LEE",Memory I Don't Mess With,2020,R,c-,solo,men,white,Nashville,B2Bmen
1/28/22,"Friday, regular",AMD,Cumulus,WKDF-FM,7:38 AM,"MCGRAW, TIM",7500 OBO,2020,R,c-,solo,men,white,Nashville,B2Bmen
8/26/22,"Friday, regular",PMD,Cumulus,WKDF-FM,4:19 PM,"YOUNG, CHRIS/TENPENNY, MITCHELL",At The End Of A Bar,2021,R,c-,collab,men,white,Nashville,B2Bmen
1/28/22,"Friday, regular",AMD,Cumulus,WKDF-FM,7:48 AM,"PARDI, JON",Tequila Little Time,2019,R,c-,solo,men,white,Nashville,B2Bmen
8/26/22,"Friday, regular",EVE,Cumulus,WKDF-FM,8:29 PM,"YOUNG, CHRIS/TENPENNY, MITCHELL",At The End Of A Bar,2021,R,c-,collab,men,white,Nashville,B2Bmen
1/28/22,"Friday, regular",AMD,Cumulus,WKDF-FM,7:57 AM,"JANSON, CHRIS",Buy Me A Boat,2015,G,c-,solo,men,white,Nashville,B2Bmen
9/30/22,"Friday, regular",OVN,Cumulus,WKDF-FM,2:56 AM,"YOUNG, CHRIS/TENPENNY, MITCHELL",At The End Of A Bar,2021,R,c-,collab,men,white,Nashville,B2Bmen
9/30/22,"Friday, regular",PMD,Cumulus,WKDF-FM,6:44 PM,"YOUNG, CHRIS/TENPENNY, MITCHELL",At The End Of A Bar,2021,R,c-,collab,men,white,Nashville,B2Bmen
1/28/22,"Friday, regular",AMD,Cumulus,WKDF-FM,8:12 AM,"JONES, GEORGE",Finally Friday,1993,G,c-,solo,men,white,Nashville,B2Bmen
1/28/22,"Friday, regular",AMD,Cumulus,WKDF-FM,8:14 AM,"COMBS, LUKE",Forever After All,2020,R,c-,solo,men,white,Nashville,B2Bmen
9/30/22,"Friday, regular",EVE,Cumulus,WKDF-FM,11:33 PM,"YOUNG, CHRIS/TENPENNY, MITCHELL",At The End Of A Bar,2021,R,c-,collab,men,white,Nashville,B2Bmen
1/28/22,"Friday, regular",AMD,Cumulus,WKDF-FM,8:27 AM,"SHELTON, BLAKE",Home,2008,G,c-,solo,men,white,Nashville,B2Bmen
2/25/22,"Friday, regular",MID,Cumulus,WKDF-FM,10:08 AM,"ALDEAN, JASON/UNDERWOOD, CARRIE",If I Didn't Love You,2021,R,c-,collab,male-female,white,Nashville,X
1/28/22,"Friday, regular",AMD,Cumulus,WKDF-FM,8:38 AM,"RAY, MICHAEL",Whiskey And Rain,2020,R,c-,solo,men,white,Nashville,X
11/25/22,"Friday, regular",PMD,Cumulus,WKDF-FM,5:10 PM,"YOUNG, CHRIS/TENPENNY, MITCHELL",At The End Of A Bar,2021,R,c-,collab,men,white,Nashville,B2Bmen
1/28/22,"Friday, regular",AMD,Cumulus,WKDF-FM,8:48 AM,"STAPLETON, CHRIS",You Should Probably Leave,2020,R,c-,solo,men,white,Nashville,B2Bmen
1/28/22,"Friday, regular",AMD,Cumulus,WKDF-FM,8:53 AM,"ALDEAN, JASON",Got What I Got,2019,G,c-,solo,men,white,Nashville,B2Bmen
1/28/22,"Friday, regular",AMD,Cumulus,WKDF-FM,8:56 AM,"MCCOLLUM, PARKER",To Be Loved By You,2020,R,c-,solo,men,white,Nashville,B2Bmen
11/25/22,"Friday, regular",EVE,Cumulus,WKDF-FM,11:06 PM,"YOUNG, CHRIS/TENPENNY, MITCHELL",At The End Of A Bar,2021,R,c-,collab,men,white,Nashville,B2Bmen
1/28/22,"Friday, regular",AMD,Cumulus,WKDF-FM,9:07 AM,"BENTLEY, DIERKS",Gone,2020,R,c-,solo,men,white,Nashville,B2Bmen
1/28/22,"Friday, regular",AMD,Cumulus,WKDF-FM,9:11 AM,"BROWN, KANE",Cool Again,2020,G,c-,solo,men,multiethnic,Nashville,B2Bmen
2/25/22,"Friday, regular",MID,Cumulus,WKDF-FM,12:21 PM,"ALDEAN, JASON/UNDERWOOD, CARRIE",If I Didn't Love You,2021,R,c-,collab,male-female,white,Nashville,X
1/28/22,"Friday, regular",AMD,Cumulus,WKDF-FM,9:17 AM,LITTLE BIG TOWN,Girl Crush,2014,G,c-,group,male-female,white,Nashville,B2Bmixed
1/28/22,"Friday, regular",AMD,Cumulus,WKDF-FM,9:21 AM,"COMBS, LUKE",Cold As You,2020,R,c-,solo,men,white,Nashville,X
1/7/22,"Friday, Morris",OVN,Cumulus,WKDF-FM,1:22 AM,"YOUNG, CHRIS/TENPENNY, MITCHELL",At The End Of A Bar,2021,R,c-,collab,men,white,Nashville,B2Bmen
1/24/22,"Monday, Block",OVN,Cumulus,WKDF-FM,3:36 AM,"YOUNG, CHRIS/TENPENNY, MITCHELL",At The End Of A Bar,2021,R,c-,collab,men,white,Nashville,B2Bmen
1/28/22,"Friday, regular",AMD,Cumulus,WKDF-FM,9:31 AM,"SHELTON, BLAKE",Come Back As A Country Boy,2021,R,c-,solo,men,white,Nashville,B2Bmen
1/28/22,"Friday, regular",AMD,Cumulus,WKDF-FM,9:34 AM,"JANSON, CHRIS",Done,2019,G,c-,solo,men,white,Nashville,B2Bmen
2/25/22,"Friday, regular",MID,Cumulus,WKDF-FM,2:20 PM,"ALDEAN, JASON/UNDERWOOD, CARRIE",If I Didn't Love You,2021,R,c-,collab,male-female,white,Nashville,X
1/28/22,"Friday, regular",AMD,Cumulus,WKDF-FM,9:41 AM,"CURRINGTON, BILLY",That's How Country Boys Roll,2008,G,c-,solo,men,white,Nashville,X
1/28/22,"Friday, regular",AMD,Cumulus,WKDF-FM,9:45 AM,"BARRETT, GABBY",The Good Ones,2019,R,c-,solo,women,white,Nashville,X
1/28/22,"Friday, regular",AMD,Cumulus,WKDF-FM,9:48 AM,"STAPLETON, CHRIS",Broken Halos,2016,G,c-,solo,men,white,Nashville,X
1/24/22,"Monday, Block",OVN,Cumulus,WKDF-FM,4:13 AM,"YOUNG, CHRIS/TENPENNY, MITCHELL",At The End Of A Bar,2021,R,c-,collab,men,white,Nashville,B2Bmen
1/28/22,"Friday, regular",MID,Cumulus,WKDF-FM,10:01 AM,"BRICE, LEE",Parking Lot Party,2012,G,c-,solo,men,white,Nashville,B2Bmen
2/7/22,"Monday, Barrett",OVN,Cumulus,WKDF-FM,2:24 AM,"YOUNG, CHRIS/TENPENNY, MITCHELL",At The End Of A Bar,2021,R,c-,collab,men,white,Nashville,B2Bmen
2/25/22,"Friday, regular",PMD,Cumulus,WKDF-FM,4:44 PM,"ALDEAN, JASON/UNDERWOOD, CARRIE",If I Didn't Love You,2021,R,c-,collab,male-female,white,Nashville,X
1/28/22,"Friday, regular",MID,Cumulus,WKDF-FM,10:10 AM,"MCCOLLUM, PARKER",To Be Loved By You,2020,R,c-,solo,men,white,Nashville,X
1/28/22,"Friday, regular",MID,Cumulus,WKDF-FM,10:13 AM,"COMBS, LUKE",Even Though I'm Leaving,2019,G,c-,solo,men,white,Nashville,B2Bmen
2/25/22,"Friday, regular",EVE,Cumulus,WKDF-FM,7:21 PM,"ALDEAN, JASON/UNDERWOOD, CARRIE",If I Didn't Love You,2021,R,c-,collab,male-female,white,Nashville,X
1/28/22,"Friday, regular",MID,Cumulus,WKDF-FM,10:19 AM,"ALDEAN, JASON",Burnin' It Down,2014,G,c-,solo,men,white,Nashville,X
3/18/22,"Friday, Underwood",OVN,Cumulus,WKDF-FM,1:54 AM,"YOUNG, CHRIS/TENPENNY, MITCHELL",At The End Of A Bar,2021,R,c-,collab,men,white,Nashville,B2Bmen
1/28/22,"Friday, regular",MID,Cumulus,WKDF-FM,10:31 AM,"MCGRAW, TIM",7500 OBO,2020,R,c-,solo,men,white,Nashville,B2Bmen
