bin,KAJA-FM_count,KASE-FM_count,KBEQ-FM_count,KCYY-FM_count,KFKF-FM_count,KILT-FM_count,KKBQ-FM_count,KKGO-FMC_count,KPLX-FM_count,KSCS-FM_count,KVET-FM_count,WCOL-FM_count,WDAF-FM_count,WFMS-FM_count,WFUS-FM_count,WKDF-FM_count,WKKT-FM_count,WLHK-FM_count,WMZQ-FM_count,WNNF-FM_count,WPAW-FM_count,WQYK-FM_count,WSM-FM_count,WSOC-FM_count,WTQR-FM_count,WUBE-FM_count,WUSN-FM_count,WXTU-FM_count,WYGY-FM_count
90,0,0,56,169,0,0,9,52,134,0,164,0,107,0,0,15,0,0,0,7,11,0,0,0,0,12,187,190,172
95,0,0,18,119,0,0,3,103,87,0,178,0,154,0,0,0,0,0,0,0,3,1,0,0,0,6,178,168,135
100,0,0,6,94,0,0,2,155,41,0,158,0,186,0,0,0,0,0,0,0,2,0,0,0,0,3,154,131,82
105,0,0,3,40,0,0,0,159,18,0,142,0,159,0,0,0,0,0,0,0,1,0,0,0,0,0,128,86,23
110,0,0,0,19,0,0,0,187,8,0,82,0,154,0,0,0,0,0,0,0,0,0,1,0,0,0,63,45,10
115,0,0,0,6,0,0,0,129,5,0,54,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,36,11,5
120,0,0,0,3,0,0,0,95,0,0,20,0,35,0,0,0,0,0,0,0,0,0,2,0,0,0,16,4,1
125,0,0,0,1,0,0,0,38,0,0,9,0,21,0,0,0,0,0,0,0,0,0,1,0,0,0,5,3,0
130,0,0,0,0,0,0,0,32,0,0,2,0,7,0,0,0,0,0,0,0,0,0,13,0,0,0,1,1,0
135,0,0,0,0,0,0,0,5,0,0,1,0,4,0,0,0,0,0,0,0,0,0,15,0,0,0,1,0,0
140,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0
145,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0
150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0
155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0
160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,141,0,0,0,0,0,0
165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0,0,0,0,0
170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0,0
175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,0,0,0
180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0
185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0
190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0
195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0
200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0
205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
