date,weekday,dayparts,owner,station,time,artist,title,release,grc,genre,ensemble,gender,race,city,b2b_gender,b2b_combinedGender
1/7/22,"Friday, Morris",OVN,iHeartMedia,WMZQ-FM,12:01:00 AM,"JONES, GEORGE",Finally Friday,1993,G,c-,solo,men,white,WashingtonDC,X,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,WMZQ-FM,12:03:00 AM,"LYNCH, DUSTIN/PORTER, MACKENZIE",Thinking 'Bout You,2020,R,c-,collab,male-female,white,WashingtonDC,X,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,WMZQ-FM,12:06:00 AM,"COMBS, LUKE",Cold As You,2020,R,c-,solo,men,white,WashingtonDC,X,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,WMZQ-FM,12:08:00 AM,"PARMALEE/BROWN, BLANCO",Just The Way,2019,R,c-,collab,men,multiethnic,WashingtonDC,B2Bmen,B2BCombMen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WMZQ-FM,12:12:00 AM,"MORRIS, MAREN",Circles Around This Town,2022,R,c-,solo,women,white,WashingtonDC,X,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,WMZQ-FM,12:19:00 AM,"ALAINA, LAUREN/PARDI, JON",Getting Over Him,2020,R,c-,collab,male-female,white,WashingtonDC,X,B2BCombWomen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WMZQ-FM,12:23:00 AM,"SHELTON, BLAKE",Come Back As A Country Boy,2021,R,c-,solo,men,white,WashingtonDC,X,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,WMZQ-FM,12:27:00 AM,LADY ANTEBELLUM,Bartender,2014,G,c-,trio,male-female,white,WashingtonDC,X,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,WMZQ-FM,12:30:00 AM,"CHURCH, ERIC",Heart On Fire,2021,R,c-,solo,men,white,WashingtonDC,X,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,WMZQ-FM,12:34:00 AM,"RHETT, THOMAS",T-Shirt,2015,G,c-,solo,men,white,WashingtonDC,B2Bmen,B2BCombMen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WMZQ-FM,12:37:00 AM,"DAVIS, JORDAN/BRYAN, LUKE",Buy Dirt,2021,R,c-,collab,men,white,WashingtonDC,B2Bmen,B2BCombMen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WMZQ-FM,12:40:00 AM,"RODGERS, JAMESON",Some Girls,2017,G,c-,solo,men,white,WashingtonDC,B2Bmen,B2BCombMen
