date,weekday,dayparts,owner,station,time,artist,title,release,grc,genre,ensemble,gender,race,city,b2b_gender
1/7/22,"Friday, Morris",OVN,Cumulus,WSM-FM,12:03 AM,ALABAMA,Mountain Music,1982,G,c-,group,men,white,Nashville,X
1/7/22,"Friday, Morris",OVN,Cumulus,WSM-FM,12:06 AM,"MOORE, KIP",Somethin' 'Bout A Truck,2011,G,c-,solo,men,white,Nashville,B2Bmen
1/7/22,"Friday, Morris",OVN,Cumulus,WSM-FM,12:09 AM,"HILL, FAITH",Breathe,1999,G,c-,solo,women,white,Nashville,X
1/7/22,"Friday, Morris",OVN,Cumulus,WSM-FM,12:13 AM,"BRICE, LEE",I Don't Dance,2014,G,c-,solo,men,white,Nashville,X
1/7/22,"Friday, Morris",OVN,Cumulus,WSM-FM,12:18 AM,"BROOKS, GARTH",Two Pina Coladas,1997,G,c-,solo,men,white,Nashville,B2Bmen
1/7/22,"Friday, Morris",OVN,Cumulus,WSM-FM,12:21 AM,"ALLAN, GARY",Every Storm (Runs Out Of Rain),2012,G,c-,solo,men,white,Nashville,B2Bmen
1/7/22,"Friday, Morris",OVN,Cumulus,WSM-FM,12:25 AM,"LYNCH, DUSTIN",Momma's House,2019,R,c-,solo,men,white,Nashville,B2Bmen
1/7/22,"Friday, Morris",OVN,Cumulus,WSM-FM,12:28 AM,"GRACIN, JOSH",Nothin' To Lose,2004,G,c-,solo,men,white,Nashville,B2Bmen
1/7/22,"Friday, Morris",OVN,Cumulus,WSM-FM,12:31 AM,"MESSINA, JO DEE",Bye Bye,1997,G,c-,solo,women,white,Nashville,X
1/7/22,"Friday, Morris",OVN,Cumulus,WSM-FM,12:34 AM,RASCAL FLATTS,Bless The Broken Road,2004,G,c-,trio,men,white,Nashville,X
1/7/22,"Friday, Morris",OVN,Cumulus,WSM-FM,12:38 AM,"JACKSON, ALAN",Summertime Blues,1994,G,c-,solo,men,white,Nashville,B2Bmen
1/7/22,"Friday, Morris",OVN,Cumulus,WSM-FM,12:41 AM,ZAC BROWN BAND,Colder Weather,2010,G,c-,group,men,white,Nashville,B2Bmen
1/7/22,"Friday, Morris",OVN,Cumulus,WSM-FM,12:49 AM,"MCBRIDE, MARTINA",Wild Angels,1995,G,c-,solo,women,white,Nashville,X
1/7/22,"Friday, Morris",OVN,Cumulus,WSM-FM,12:52 AM,"PAISLEY, BRAD",I'm Gonna Miss Her,2001,G,c-,solo,men,white,Nashville,X
1/7/22,"Friday, Morris",OVN,Cumulus,WSM-FM,12:55 AM,"MURPHY, DAVID LEE",Party Crowd,1995,G,c-,solo,men,white,Nashville,B2Bmen
1/7/22,"Friday, Morris",OVN,Cumulus,WSM-FM,12:59 AM,"MCGRAW, TIM",Where The Green Grass Grows,1997,G,c-,solo,men,white,Nashville,B2Bmen
1/7/22,"Friday, Morris",OVN,Cumulus,WSM-FM,1:02 AM,"UNDERWOOD, CARRIE",Blown Away,2012,G,c-,solo,women,white,Nashville,X
1/7/22,"Friday, Morris",OVN,Cumulus,WSM-FM,1:06 AM,DIAMOND RIO,Meet In The Middle,1991,G,c-,group,men,white,Nashville,X
1/7/22,"Friday, Morris",OVN,Cumulus,WSM-FM,1:09 AM,"STELL, MATT",Prayed For You,2018,G,c-,solo,men,white,Nashville,B2Bmen
1/7/22,"Friday, Morris",OVN,Cumulus,WSM-FM,1:15 AM,"MORGAN, LORRIE",What Part Of No,1992,G,c-,solo,women,white,Nashville,X
1/7/22,"Friday, Morris",OVN,Cumulus,WSM-FM,1:18 AM,"CURRINGTON, BILLY",Pretty Good At Drinkin' Beer,2010,G,c-,solo,men,white,Nashville,X
1/7/22,"Friday, Morris",OVN,Cumulus,WSM-FM,1:21 AM,"BRYAN, LUKE",What She Wants Tonight,2019,G,c-,solo,men,white,Nashville,B2Bmen
1/7/22,"Friday, Morris",OVN,Cumulus,WSM-FM,1:24 AM,"URBAN, KEITH",Days Go By,2004,G,c-,solo,men,white,Nashville,B2Bmen
1/7/22,"Friday, Morris",OVN,Cumulus,WSM-FM,1:27 AM,"KEITH, TOBY",Should've Been A Cowboy,1993,G,c-,solo,men,white,Nashville,B2Bmen
1/7/22,"Friday, Morris",OVN,Cumulus,WSM-FM,1:30 AM,"BRICE, LEE",Hard To Love,2012,G,c-,solo,men,white,Nashville,B2Bmen
1/7/22,"Friday, Morris",OVN,Cumulus,WSM-FM,1:34 AM,DIXIE CHICKS,Ready To Run,1999,G,c-,trio,women,white,Nashville,X
1/7/22,"Friday, Morris",OVN,Cumulus,WSM-FM,1:37 AM,"NICHOLS, JOE",Tequila Makes Her Clothes ...,2005,G,c-,solo,men,white,Nashville,X
1/7/22,"Friday, Morris",OVN,Cumulus,WSM-FM,1:43 AM,"GILL, VINCE",One More Last Chance,1993,G,c-,solo,men,white,Nashville,B2Bmen
1/7/22,"Friday, Morris",OVN,Cumulus,WSM-FM,1:45 AM,ZAC BROWN BAND,Keep Me In Mind,2010,G,c-,group,men,white,Nashville,B2Bmen
1/7/22,"Friday, Morris",OVN,Cumulus,WSM-FM,1:49 AM,"DIFFIE, JOE",Prop Me Up Beside The...(If..),1993,G,c-,solo,men,white,Nashville,B2Bmen
1/7/22,"Friday, Morris",OVN,Cumulus,WSM-FM,1:52 AM,"MONTGOMERY, JOHN MICHAEL",I Can Love You Like That,1995,G,c-,solo,men,white,Nashville,B2Bmen
1/7/22,"Friday, Morris",OVN,Cumulus,WSM-FM,1:56 AM,"LAMBERT, MIRANDA",White Liar,2009,G,c-,solo,women,white,Nashville,X
1/7/22,"Friday, Morris",OVN,Cumulus,WSM-FM,2:00 AM,"JACKSON, ALAN",Wanted,1990,G,c-,solo,men,white,Nashville,X
1/7/22,"Friday, Morris",OVN,Cumulus,WSM-FM,2:03 AM,"CHESNEY, KENNY",Beer In Mexico,2005,G,c-,solo,men,white,Nashville,B2Bmen
1/7/22,"Friday, Morris",OVN,Cumulus,WSM-FM,2:07 AM,"MCGRAW, TIM/HILL, FAITH",It's Your Love,1997,G,c-,collab,male-female,white,Nashville,X
1/7/22,"Friday, Morris",OVN,Cumulus,WSM-FM,2:10 AM,"HOUSER, RANDY",Runnin' Outta Moonlight,2013,G,c-,solo,men,white,Nashville,X
1/7/22,"Friday, Morris",OVN,Cumulus,WSM-FM,2:15 AM,"WALKER, CLAY",Live Until I Die,1993,G,c-,solo,men,white,Nashville,B2Bmen
1/7/22,"Friday, Morris",OVN,Cumulus,WSM-FM,2:18 AM,"WILSON, GRETCHEN",Redneck Woman,2004,G,c-,solo,women,white,Nashville,X
1/7/22,"Friday, Morris",OVN,Cumulus,WSM-FM,2:21 AM,"MOORE, JUSTIN",The Ones That Didn't Make It..,2018,G,c-,solo,men,white,Nashville,X
1/7/22,"Friday, Morris",OVN,Cumulus,WSM-FM,2:24 AM,FLORIDA GEORGIA LINE,Round Here,2012,G,c-,duo,men,white,Nashville,B2Bmen
1/7/22,"Friday, Morris",OVN,Cumulus,WSM-FM,2:27 AM,"BROOKS, GARTH",What She's Doing Now,1992,G,c-,solo,men,white,Nashville,B2Bmen
1/7/22,"Friday, Morris",OVN,Cumulus,WSM-FM,2:31 AM,"CHURCH, ERIC",Springsteen,2011,G,c-,solo,men,white,Nashville,B2Bmen
1/7/22,"Friday, Morris",OVN,Cumulus,WSM-FM,2:35 AM,"MCENTIRE, REBA",Fancy,1990,G,c-,solo,women,white,Nashville,X
1/7/22,"Friday, Morris",OVN,Cumulus,WSM-FM,2:38 AM,RASCAL FLATTS,Fast Cars And Freedom,2004,G,c-,trio,men,white,Nashville,X
