date,weekday,dayparts,owner,station,time,artist,title,release,grc,genre,ensemble,gender,race,city,b2b_gender,b2b_combinedGender
1/7/22,"Friday, Morris",OVN,iHeartMedia,KVET-FM,12:02 AM,"MESSINA, JO DEE","Heads Carolina, Tails Calif.",1995,G,c-,solo,women,white,Austin,X,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,KVET-FM,12:05 AM,"STRAIT, GEORGE",Troubadour,2008,G,c-,solo,men,white,Austin,X,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,KVET-FM,12:08 AM,"UNDERWOOD, CARRIE",Blown Away,2012,G,c-,solo,women,white,Austin,X,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,KVET-FM,12:12 AM,"BROOKS, GARTH",Rodeo,1991,G,c-,solo,men,white,Austin,X,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,KVET-FM,12:16 AM,"LYNCH, DUSTIN",Small Town Boy,2017,G,c-,solo,men,white,Austin,B2Bmen,B2BCombMen
1/7/22,"Friday, Morris",OVN,iHeartMedia,KVET-FM,12:19 AM,EAGLES,Take It Easy,1972,G,c-,group,men,white,Austin,B2Bmen,B2BCombMen
1/7/22,"Friday, Morris",OVN,iHeartMedia,KVET-FM,12:22 AM,"PAISLEY, BRAD",Wrapped Around,2001,G,c-,solo,men,white,Austin,B2Bmen,B2BCombMen
1/7/22,"Friday, Morris",OVN,iHeartMedia,KVET-FM,12:30 AM,"AKINS, RHETT",That Ain't My Truck,1994,G,c-,solo,men,white,Austin,B2Bmen,B2BCombMen
1/7/22,"Friday, Morris",OVN,iHeartMedia,KVET-FM,12:34 AM,ZAC BROWN BAND,Colder Weather,2010,G,c-,group,men,white,Austin,B2Bmen,B2BCombMen
1/7/22,"Friday, Morris",OVN,iHeartMedia,KVET-FM,12:38 AM,RASCAL FLATTS,Fast Cars And Freedom,2004,G,c-,trio,men,white,Austin,B2Bmen,B2BCombMen
1/7/22,"Friday, Morris",OVN,iHeartMedia,KVET-FM,12:42 AM,"FOSTER, RADNEY",Just Call Me Lonesome,1992,G,c-,solo,men,white,Austin,B2Bmen,B2BCombMen
1/7/22,"Friday, Morris",OVN,iHeartMedia,KVET-FM,12:45 AM,"CHESNEY, KENNY",Save It For A Rainy Day,2014,G,c-,solo,men,white,Austin,B2Bmen,B2BCombMen
1/7/22,"Friday, Morris",OVN,iHeartMedia,KVET-FM,12:48 AM,"ALLAN, GARY",Watching Airplanes,2007,G,c-,solo,men,white,Austin,B2Bmen,B2BCombMen
1/7/22,"Friday, Morris",OVN,iHeartMedia,KVET-FM,12:52 AM,"MONTGOMERY, JOHN MICHAEL",I Can Love You Like That,1995,G,c-,solo,men,white,Austin,B2Bmen,B2BCombMen
1/7/22,"Friday, Morris",OVN,iHeartMedia,KVET-FM,12:56 AM,"SHELTON, BLAKE",A Guy With A Girl,2016,G,c-,solo,men,white,Austin,B2Bmen,B2BCombMen
1/7/22,"Friday, Morris",OVN,iHeartMedia,KVET-FM,1:02 AM,"COMBS, LUKE",When It Rains It Pours,2017,G,c-,solo,men,white,Austin,B2Bmen,B2BCombMen
1/7/22,"Friday, Morris",OVN,iHeartMedia,KVET-FM,1:07 AM,"STRAIT, GEORGE",All My Ex's Live In Texas,1987,G,c-,solo,men,white,Austin,B2Bmen,B2BCombMen
1/7/22,"Friday, Morris",OVN,iHeartMedia,KVET-FM,1:10 AM,"LAWRENCE, TRACY",I See It Now,1994,G,c-,solo,men,white,Austin,B2Bmen,B2BCombMen
1/7/22,"Friday, Morris",OVN,iHeartMedia,KVET-FM,1:13 AM,"BENTLEY, DIERKS",Free And Easy (Down The...),2006,G,c-,solo,men,white,Austin,B2Bmen,B2BCombMen
1/7/22,"Friday, Morris",OVN,iHeartMedia,KVET-FM,1:17 AM,"MCDANIEL, MEL",Baby's Got Her Blue Jeans On,1984,G,c-,solo,men,white,Austin,B2Bmen,B2BCombMen
1/7/22,"Friday, Morris",OVN,iHeartMedia,KVET-FM,1:20 AM,"LAMBERT, MIRANDA",Mama's Broken Heart,2011,G,c-,solo,women,white,Austin,X,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,KVET-FM,1:22 AM,BROOKS & DUNN,Lost And Found,1992,G,c-,duo,men,white,Austin,X,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,KVET-FM,1:30 AM,"ATKINS, RODNEY",If You're Going Through Hell,2005,G,c-,solo,men,white,Austin,B2Bmen,B2BCombMen
1/7/22,"Friday, Morris",OVN,iHeartMedia,KVET-FM,1:34 AM,"JACKSON, ALAN",Pop A Top,1999,G,c-,solo,men,white,Austin,B2Bmen,B2BCombMen
1/7/22,"Friday, Morris",OVN,iHeartMedia,KVET-FM,1:37 AM,"MORRIS, MAREN",My Church,2015,G,c-,solo,women,white,Austin,X,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,KVET-FM,1:40 AM,"BRYAN, LUKE",All My Friends Say,2006,G,c-,solo,men,white,Austin,X,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,KVET-FM,1:44 AM,"BROOKS, GARTH",The Dance,1990,G,c-,solo,men,white,Austin,B2Bmen,B2BCombMen
1/7/22,"Friday, Morris",OVN,iHeartMedia,KVET-FM,1:48 AM,"CHURCH, ERIC",Springsteen,2011,G,c-,solo,men,white,Austin,B2Bmen,B2BCombMen
1/7/22,"Friday, Morris",OVN,iHeartMedia,KVET-FM,1:51 AM,"MCENTIRE, REBA",Fancy,1990,G,c-,solo,women,white,Austin,X,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,KVET-FM,1:55 AM,"PAISLEY, BRAD",Mud On The Tires,2003,G,c-,solo,men,white,Austin,X,X
