date,stationName,cityName,ownerName,total_COUNT,onlyWomenSongs_COUNT,onlyWomenSongs_PERCENT,b2bWomenSongs_COUNT,b2bWomenSongs_PERCENT,onlyCombinedGenderSongs_COUNT,onlyCombinedGenderSongs_PERCENT,b2bCombinedGenderSongs_COUNT,b2bCombinedGenderSongs_PERCENT
1/7/22,KASE-FM,Austin,iHeartMedia,321,51,15.887850467289718,5,1.557632398753894,77,23.98753894080997,7,2.1806853582554515
1/24/22,KASE-FM,Austin,iHeartMedia,299,30,10.033444816053512,2,0.6688963210702341,62,20.735785953177256,4,1.3377926421404682
1/28/22,KASE-FM,Austin,iHeartMedia,310,36,11.612903225806452,2,0.6451612903225806,68,21.935483870967744,10,3.225806451612903
2/7/22,KASE-FM,Austin,iHeartMedia,301,26,8.637873754152823,3,0.9966777408637874,58,19.269102990033225,8,2.6578073089700998
2/25/22,KASE-FM,Austin,iHeartMedia,316,28,8.860759493670885,3,0.949367088607595,60,18.9873417721519,6,1.89873417721519
3/18/22,KASE-FM,Austin,iHeartMedia,303,50,16.5016501650165,6,1.9801980198019802,84,27.722772277227726,12,3.9603960396039604
3/25/22,KASE-FM,Austin,iHeartMedia,301,35,11.627906976744185,1,0.33222591362126247,70,23.25581395348837,7,2.3255813953488373
4/8/22,KASE-FM,Austin,iHeartMedia,303,53,17.491749174917494,6,1.9801980198019802,78,25.742574257425744,14,4.62046204620462
4/29/22,KASE-FM,Austin,iHeartMedia,299,21,7.023411371237458,1,0.33444816053511706,47,15.719063545150503,4,1.3377926421404682
5/20/22,KASE-FM,Austin,iHeartMedia,309,27,8.737864077669903,3,0.9708737864077669,54,17.475728155339805,9,2.912621359223301
5/27/22,KASE-FM,Austin,iHeartMedia,312,27,8.653846153846153,4,1.282051282051282,54,17.307692307692307,6,1.9230769230769231
6/13/22,KASE-FM,Austin,iHeartMedia,303,22,7.2607260726072615,1,0.33003300330033003,42,13.861386138613863,3,0.9900990099009901
6/24/22,KASE-FM,Austin,iHeartMedia,298,19,6.375838926174497,2,0.6711409395973155,35,11.74496644295302,3,1.006711409395973
7/29/22,KASE-FM,Austin,iHeartMedia,304,25,8.223684210526317,1,0.3289473684210526,48,15.789473684210526,3,0.9868421052631579
8/26/22,KASE-FM,Austin,iHeartMedia,314,17,5.414012738853503,0,0,38,12.101910828025478,1,0.3184713375796179
9/30/22,KASE-FM,Austin,iHeartMedia,298,33,11.073825503355705,4,1.342281879194631,49,16.44295302013423,6,2.013422818791946
10/28/22,KASE-FM,Austin,iHeartMedia,317,24,7.570977917981073,1,0.31545741324921134,41,12.933753943217665,2,0.6309148264984227
11/25/22,KASE-FM,Austin,iHeartMedia,333,24,7.207207207207207,1,0.3003003003003003,40,12.012012012012011,3,0.9009009009009009
12/30/22,KASE-FM,Austin,iHeartMedia,335,33,9.850746268656717,3,0.8955223880597015,50,14.925373134328357,6,1.791044776119403
