date,weekday,dayparts,owner,station,time,artist,title,release,grc,genre,ensemble,gender,race,city,lgbtq,b2b_gender,b2b_combinedGender,b2b_collabGender,b2b_lgbtq,b2b_raceGender
1/7/22,"Friday, Morris",OVN,iHeartMedia,WKKT-FM,1:38:00 AM,"OWEN, JAKE",The One That Got Away,2011,G,c-,solo,men,white,Charlotte,false,B2Bmen,B2BCombMen,B2BCollabMen,B2BStraight,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WKKT-FM,1:47:00 AM,"OWEN, JAKE",Best Thing Since Backroads,2021,R,c-,solo,men,white,Charlotte,false,B2Bmen,B2BCombMen,B2BCollabMen,B2BStraight,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WKKT-FM,1:50:00 AM,"ALLEN, JIMMIE/PAISLEY, BRAD",Freedom Was A Highway,2020,R,c-,collab,men,multiethnic,Charlotte,false,B2Bmen,B2BCombMen,B2BCollabMen,B2BStraight,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,WKKT-FM,1:53:00 AM,"ALDEAN, JASON",Lights Come On,2016,G,c-,solo,men,white,Charlotte,false,B2Bmen,B2BCombMen,B2BCollabMen,B2BStraight,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,WKKT-FM,1:56:00 AM,"JANSON, CHRIS",Fix A Drink,2017,G,c-,solo,men,white,Charlotte,false,B2Bmen,B2BCombMen,B2BCollabMen,B2BStraight,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WKKT-FM,2:00:00 AM,"HAYES, WALKER",Fancy Like,2021,R,c-,solo,men,white,Charlotte,false,B2Bmen,B2BCombMen,B2BCollabMen,B2BStraight,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WKKT-FM,2:02:00 AM,"LAMBERT, MIRANDA",If I Was A Cowboy,2021,R,c-,solo,women,white,Charlotte,false,X,X,X,B2BStraight,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,WKKT-FM,2:06:00 AM,"MCCREERY, SCOTTY",See You Tonight,2013,G,c-,solo,men,white,Charlotte,false,X,X,X,B2BStraight,X
1/7/22,"Friday, Morris",OVN,iHeartMedia,WKKT-FM,2:09:00 AM,"WALLEN, MORGAN",Sand In My Boots,2021,R,c-,solo,men,white,Charlotte,false,B2Bmen,B2BCombMen,B2BCollabMen,B2BStraight,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WKKT-FM,2:18:00 AM,"MOON, NIKO",Paradise To Me,2020,C,c-,solo,men,white,Charlotte,false,B2Bmen,B2BCombMen,B2BCollabMen,B2BStraight,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,iHeartMedia,WKKT-FM,2:21:00 AM,"BRICE, LEE",Memory I Don't Mess With,2020,R,c-,solo,men,white,Charlotte,false,B2Bmen,B2BCombMen,B2BCollabMen,B2BStraight,B2BwhiteMen
