date,weekday,dayparts,owner,station,time,artist,title,release,grc,genre,ensemble,gender,race,city,lgbtq,b2b_gender,b2b_combinedGender,b2b_collabGender,b2b_lgbtq,b2b_raceGender
1/7/22,"Friday, Morris",OVN,Cumulus,KPLX-FM,12:00:00 AM,"DAVIS, JORDAN",Slow Dance In A Parking Lot,2017,G,c-,solo,men,white,Dallas,false,X,X,X,X,X
1/7/22,"Friday, Morris",OVN,Cumulus,KPLX-FM,12:03:00 AM,"BROWN, KANE",One Mississippi,2021,R,c-,solo,men,multiethnic,Dallas,false,B2Bmen,B2BCombMen,B2BCollabMen,B2BStraight,X
1/7/22,"Friday, Morris",OVN,Cumulus,KPLX-FM,12:07:00 AM,"KEITH, TOBY",Old School,2021,C,c-,solo,men,white,Dallas,false,B2Bmen,B2BCombMen,B2BCollabMen,B2BStraight,X
1/7/22,"Friday, Morris",OVN,Cumulus,KPLX-FM,12:13:00 AM,"CURRINGTON, BILLY",Pretty Good At Drinkin' Beer,2010,G,c-,solo,men,white,Dallas,false,B2Bmen,B2BCombMen,B2BCollabMen,B2BStraight,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Cumulus,KPLX-FM,12:16:00 AM,"PARDI, JON",Tequila Little Time,2019,R,c-,solo,men,white,Dallas,false,B2Bmen,B2BCombMen,B2BCollabMen,B2BStraight,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Cumulus,KPLX-FM,12:20:00 AM,FLORIDA GEORGIA LINE,This Is How We Roll,2013,G,c-,duo,men,white,Dallas,false,B2Bmen,B2BCombMen,B2BCollabMen,B2BStraight,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Cumulus,KPLX-FM,12:23:00 AM,"ALDEAN, JASON",Blame It On You,2019,R,c-,solo,men,white,Dallas,false,B2Bmen,B2BCombMen,B2BCollabMen,B2BStraight,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Cumulus,KPLX-FM,12:27:00 AM,"MCCOLLUM, PARKER",To Be Loved By You,2020,R,c-,solo,men,white,Dallas,false,B2Bmen,B2BCombMen,B2BCollabMen,B2BStraight,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Cumulus,KPLX-FM,12:30:00 AM,"MOORE, JUSTIN",We Didn't Have Much,2020,R,c-,solo,men,white,Dallas,false,B2Bmen,B2BCombMen,B2BCollabMen,B2BStraight,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Cumulus,KPLX-FM,12:33:00 AM,"MCGRAW, TIM",7500 OBO,2020,R,c-,solo,men,white,Dallas,false,B2Bmen,B2BCombMen,B2BCollabMen,B2BStraight,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Cumulus,KPLX-FM,12:37:00 AM,"HURD, RYAN/MORRIS, MAREN",Chasing After You,2021,R,c-,collab,male-female,white,Dallas,false,X,X,X,B2BStraight,X
1/7/22,"Friday, Morris",OVN,Cumulus,KPLX-FM,12:40:00 AM,"MCCREERY, SCOTTY",Damn Strait,2021,R,c-,solo,men,white,Dallas,false,X,X,X,B2BStraight,X
1/7/22,"Friday, Morris",OVN,Cumulus,KPLX-FM,12:47:00 AM,"LAWRENCE, TRACY",Can't Break It To My Heart,1993,G,c-,solo,men,white,Dallas,false,B2Bmen,B2BCombMen,B2BCollabMen,B2BStraight,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Cumulus,KPLX-FM,12:50:00 AM,"LYNCH, DUSTIN/PORTER, MACKENZIE",Thinking 'Bout You,2020,R,c-,collab,male-female,white,Dallas,false,X,X,X,B2BStraight,X
1/7/22,"Friday, Morris",OVN,Cumulus,KPLX-FM,12:54:00 AM,"OWEN, JAKE",Best Thing Since Backroads,2021,R,c-,solo,men,white,Dallas,false,X,X,X,B2BStraight,X
1/7/22,"Friday, Morris",OVN,Cumulus,KPLX-FM,12:57:00 AM,ZAC BROWN BAND,Same Boat,2021,R,c-,group,men,white,Dallas,false,B2Bmen,B2BCombMen,B2BCollabMen,B2BStraight,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Cumulus,KPLX-FM,1:00:00 AM,"ALLEN, JIMMIE/PAISLEY, BRAD",Freedom Was A Highway,2020,R,c-,collab,men,multiethnic,Dallas,false,B2Bmen,B2BCombMen,B2BCollabMen,B2BStraight,X
1/7/22,"Friday, Morris",OVN,Cumulus,KPLX-FM,1:03:00 AM,"BLOCK, PRISCILLA",Just About Over You,2020,R,c-,solo,women,white,Dallas,false,X,X,X,B2BStraight,X
1/7/22,"Friday, Morris",OVN,Cumulus,KPLX-FM,1:06:00 AM,KID ROCK,All Summer Long,2007,G,c-,solo,men,white,Dallas,false,X,X,X,B2BStraight,X
1/7/22,"Friday, Morris",OVN,Cumulus,KPLX-FM,1:14:00 AM,LONESTAR,No News,1995,G,c-,group,men,white,Dallas,false,B2Bmen,B2BCombMen,B2BCollabMen,B2BStraight,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Cumulus,KPLX-FM,1:17:00 AM,"ARTS, TENILLE","Back Then, Right Now",2021,R,c-,solo,women,white,Dallas,false,X,X,X,B2BStraight,X
1/7/22,"Friday, Morris",OVN,Cumulus,KPLX-FM,1:20:00 AM,"DAVIS, JORDAN/BRYAN, LUKE",Buy Dirt,2021,R,c-,collab,men,white,Dallas,false,X,X,X,B2BStraight,X
1/7/22,"Friday, Morris",OVN,Cumulus,KPLX-FM,1:23:00 AM,"YOUNG, CHRIS/TENPENNY, MITCHELL",At The End Of A Bar,2021,R,c-,collab,men,white,Dallas,false,B2Bmen,B2BCombMen,B2BCollabMen,B2BStraight,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Cumulus,KPLX-FM,1:27:00 AM,"SHANE, ELVIE",My Boy,2020,R,c-,solo,men,white,Dallas,false,B2Bmen,B2BCombMen,B2BCollabMen,B2BStraight,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Cumulus,KPLX-FM,1:31:00 AM,"HUNT, SAM",23,2021,R,c-,solo,men,white,Dallas,false,B2Bmen,B2BCombMen,B2BCollabMen,B2BStraight,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Cumulus,KPLX-FM,1:34:00 AM,MADDIE & TAE,Die From A Broken Heart,2018,G,c-,duo,women,white,Dallas,false,X,X,X,B2BStraight,X
1/7/22,"Friday, Morris",OVN,Cumulus,KPLX-FM,1:37:00 AM,"ELDREDGE, BRETT",Don't Ya,2012,G,c-,solo,men,white,Dallas,false,X,X,X,B2BStraight,X
1/7/22,"Friday, Morris",OVN,Cumulus,KPLX-FM,1:40:00 AM,"CHURCH, ERIC",Heart On Fire,2021,R,c-,solo,men,white,Dallas,false,B2Bmen,B2BCombMen,B2BCollabMen,B2BStraight,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Cumulus,KPLX-FM,1:49:00 AM,"MCCOY, NEAL",Wink,1994,G,c-,solo,men,filipino,Dallas,false,B2Bmen,B2BCombMen,B2BCollabMen,B2BStraight,X
1/7/22,"Friday, Morris",OVN,Cumulus,KPLX-FM,1:52:00 AM,"RAY, MICHAEL",Whiskey And Rain,2020,R,c-,solo,men,white,Dallas,false,B2Bmen,B2BCombMen,B2BCollabMen,B2BStraight,X
1/7/22,"Friday, Morris",OVN,Cumulus,KPLX-FM,1:55:00 AM,"MCGRAW, TIM",Live Like You Were Dying,2004,G,c-,solo,men,white,Dallas,false,B2Bmen,B2BCombMen,B2BCollabMen,B2BStraight,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Cumulus,KPLX-FM,2:00:00 AM,LADY ANTEBELLUM,Champagne Night,2020,R,c-,trio,male-female,white,Dallas,false,X,X,X,B2BStraight,X
1/7/22,"Friday, Morris",OVN,Cumulus,KPLX-FM,2:03:00 AM,HARDY,Give Heaven Some Hell,2020,R,c-,solo,men,white,Dallas,false,X,X,X,B2BStraight,X
1/7/22,"Friday, Morris",OVN,Cumulus,KPLX-FM,2:07:00 AM,"STAPLETON, CHRIS",You Should Probably Leave,2020,R,c-,solo,men,white,Dallas,false,B2Bmen,B2BCombMen,B2BCollabMen,B2BStraight,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Cumulus,KPLX-FM,2:14:00 AM,"KERSHAW, SAMMY",She Don't Know She's Beautiful,1993,G,c-,solo,men,white,Dallas,false,B2Bmen,B2BCombMen,B2BCollabMen,B2BStraight,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Cumulus,KPLX-FM,2:17:00 AM,ZAC BROWN BAND,Chicken Fried,2008,G,c-,group,men,white,Dallas,false,B2Bmen,B2BCombMen,B2BCollabMen,B2BStraight,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Cumulus,KPLX-FM,2:21:00 AM,"CLARK, CALLISTA",It's 'Cause I Am,2021,R,c-,solo,women,white,Dallas,false,X,X,X,B2BStraight,X
1/7/22,"Friday, Morris",OVN,Cumulus,KPLX-FM,2:23:00 AM,"WALLEN, MORGAN",Sand In My Boots,2021,R,c-,solo,men,white,Dallas,false,X,X,X,B2BStraight,X
1/7/22,"Friday, Morris",OVN,Cumulus,KPLX-FM,2:27:00 AM,"PARDI, JON",Tequila Little Time,2019,R,c-,solo,men,white,Dallas,false,B2Bmen,B2BCombMen,B2BCollabMen,B2BStraight,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Cumulus,KPLX-FM,2:31:00 AM,"BRYAN, LUKE",Waves,2021,R,c-,solo,men,white,Dallas,false,B2Bmen,B2BCombMen,B2BCollabMen,B2BStraight,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Cumulus,KPLX-FM,2:34:00 AM,"JANSON, CHRIS",Bye Mom,2021,R,c-,solo,men,white,Dallas,false,B2Bmen,B2BCombMen,B2BCollabMen,B2BStraight,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Cumulus,KPLX-FM,2:38:00 AM,"PEARCE, CARLY/MCBRYDE, ASHLEY",Never Wanted To Be That Girl,2021,R,c-,collab,women,white,Dallas,false,X,X,X,B2BStraight,X
1/7/22,"Friday, Morris",OVN,Cumulus,KPLX-FM,2:48:00 AM,"ALDEAN, JASON/UNDERWOOD, CARRIE",If I Didn't Love You,2021,R,c-,collab,male-female,white,Dallas,false,X,B2BCombWomen,B2BCollabWomen,B2BStraight,X
1/7/22,"Friday, Morris",OVN,Cumulus,KPLX-FM,2:52:00 AM,"COMBS, LUKE",Better Together,2019,R,c-,solo,men,white,Dallas,false,X,X,X,B2BStraight,X
1/7/22,"Friday, Morris",OVN,Cumulus,KPLX-FM,2:56:00 AM,"BENTLEY, DIERKS",Come A Little Closer,2005,G,c-,solo,men,white,Dallas,false,B2Bmen,B2BCombMen,B2BCollabMen,B2BStraight,B2BwhiteMen
1/7/22,"Friday, Morris",OVN,Cumulus,KPLX-FM,3:00:00 AM,"ATKINS, RODNEY",Watching You,2006,G,c-,solo,men,white,Dallas,false,B2Bmen,B2BCombMen,B2BCollabMen,B2BStraight,B2BwhiteMen
